dissection\mastiffs,lungers,cytopenias,augment,streptothricin,caramelisation,snowlines
-1,94.11010260471168,98.11525784782098,86.97563473823865,94.93411651386965,94.21649715401155,93.4224981101217
0,100.41278921246756,99.70711506864383,87.29609260034802,91.28823290550015,93.78292682076075,96.3197863248113
1,89.41948550203502,102.67403650664998,84.95405848986407,85.92590632753232,87.7504377075401,95.84372461853407
2,94.79214552338155,97.4372116408499,87.9865165830229,83.63284980834848,95.70480541044057,100.83818198326212
3,101.65158209667395,95.9278397883996,83.2157416593043,85.96466915333725,96.12843035688743,99.52277846810632
4,90.78408215279612,103.34159577886122,92.69469324317006,92.93664048758109,96.38260580409656,97.83206348559466
5,89.59984898958535,91.92464233503043,83.2158209784743,86.86085778617746,91.5661365403196,94.74718280098094
6,87.35368209597218,97.21083532076379,84.7268345474508,90.91888853128569,97.49484722386893,97.75060407098424
7,92.96323319137744,96.6589493455858,77.63953498550548,79.55571421624727,95.75347441245302,95.42969263267533
8,89.99990945582427,104.58095669028756,77.8754328612797,103.58639970176088,100.39041263534341,94.680082662266
9,95.9172609745803,98.85195911260719,93.18753327403633,82.89435611612274,89.58150508454256,97.19982298323579
10,96.75158186565038,95.95032144555417,90.01045213410444,90.5128160953246,94.8110765350123,98.99661194217106
11,91.3894399818929,96.02454022247419,88.79315201131502,81.08639731183838,96.28763686047967,102.93414558980922
12,88.97576262765348,96.11252766911932,85.53413928226506,83.99039968990178,94.29305514658739,95.14653574370882
13,94.85392187625592,96.17603255874258,85.60173215257005,82.72527138462894,95.46328749587983,94.38443961183188
14,89.87241480807046,101.41351501372678,76.06037354328211,86.8823058863345,92.43627989728574,98.50512656869226
15,96.01233024700194,95.2919023408282,79.45607425083607,87.93048087190894,96.3836195407953,98.61406829671104
16,94.90477058631411,104.48867204166585,89.05454598864347,91.68845756843278,88.4870086178777,92.8656161475777
