0,rhomboids,bull-tongue,Judaea,cytopenias,limey,streptothricin,mastiffs,snowlines,biblioclast,caramelisation
cytopenias,-16.3,11.3,-9.3,-20.4,11.4,-15.9,3.5,-18.9,5.0,8.8
fluor-spar,15.9,-8.5,18.1,-5.4,-15.4,-0.0,6.7,-14.8,15.6,23.5
limey,-0.8,13.4,14.3,17.4,-3.4,-30.9,5.8,-5.1,-18.4,47.1
caramelisation,17.4,19.3,9.9,17.1,18.6,-10.3,-0.6,7.9,9.7,-5.7
substitutes,18.8,-11.7,-20.3,4.8,-11.2,6.9,20.6,-35.8,-3.3,1.2
perennibranch,6.8,11.2,8.2,21.5,3.1,-13.9,-4.4,37.1,7.5,-7.5
filibusters,3.5,-13.8,-28.9,20.3,-5.6,-10.6,2.0,-10.9,4.0,-2.9
snowlines,15.0,7.4,23.8,5.3,-13.1,-14.6,-7.2,-10.9,9.5,0.4
biblioclast,-11.7,27.3,-29.0,-2.5,-23.9,19.8,12.1,-62.7,-6.0,-22.9
dissection,4.8,-5.0,6.1,-3.7,8.7,-0.8,-45.8,-25.6,-0.9,6.3
