rhomboids,substitutes
streptothricin,-14.389896404020645
streptothricin,-13.7836556747738
streptothricin,-9.594642919140243
streptothricin,-9.223480085931342
streptothricin,-8.36768631641734
streptothricin,-7.303159146319207
streptothricin,-6.666939009605311
streptothricin,-6.5815064934851435
streptothricin,-6.122151800972171
streptothricin,-6.090463448393399
streptothricin,-5.274983408280659
streptothricin,-4.899292967460294
streptothricin,-4.859623086595492
streptothricin,-3.5084069118598027
streptothricin,-3.445521217038596
streptothricin,-3.4169368572588317
streptothricin,-3.2610760552530373
streptothricin,-3.2261338052472137
streptothricin,-3.125039208942879
streptothricin,-2.971928504800775
streptothricin,-2.964972036404897
streptothricin,-2.563618606265556
streptothricin,-2.3489246504158396
streptothricin,-2.194462632819948
streptothricin,-2.1682338038556574
streptothricin,-2.0002657944084965
streptothricin,-1.6585504844207786
streptothricin,-1.5974745017581085
streptothricin,-1.5328361205166832
streptothricin,-1.2553890103345027
streptothricin,-1.0714208224910375
streptothricin,-1.0700080574917963
streptothricin,-0.8880042951095941
streptothricin,-0.8587386373780731
streptothricin,-0.8089875209969061
streptothricin,-0.38149137427979973
streptothricin,-0.21532942580836123
streptothricin,-0.20361747593533794
streptothricin,-0.19539648246455626
streptothricin,-0.1634519708177677
streptothricin,0.0021389192659848695
streptothricin,0.06711973095591811
streptothricin,0.06740579553684556
streptothricin,0.1255139365220482
streptothricin,0.4038742599146791
streptothricin,0.48353254645457305
streptothricin,0.5592820171092411
streptothricin,0.7703457559688606
streptothricin,0.8662279446003727
streptothricin,1.239158106797459
streptothricin,1.3229913613910793
streptothricin,1.5662172814136495
streptothricin,1.8005891789134916
streptothricin,1.8674493608423572
streptothricin,2.153724999345814
streptothricin,2.1763565122682382
streptothricin,2.3094431792517014
streptothricin,2.3333800313168678
streptothricin,2.3471333270578
streptothricin,2.505950090664975
streptothricin,2.891257435566518
streptothricin,2.9707627986057634
streptothricin,2.9796044005514544
streptothricin,3.077167837324809
streptothricin,3.652834509088
streptothricin,3.667433416218844
streptothricin,4.021721391800353
streptothricin,4.133093521513349
streptothricin,4.263464379113165
streptothricin,4.42194904109544
streptothricin,4.505415574668798
streptothricin,4.5827511717355005
streptothricin,4.590629782416122
streptothricin,4.771014383188455
streptothricin,4.776769828730892
streptothricin,4.832745419393047
streptothricin,5.0781056408123115
streptothricin,5.50282324930699
streptothricin,5.5825325290083985
streptothricin,5.811219731893779
streptothricin,5.8608831169999585
streptothricin,6.158126389043349
streptothricin,6.191141732344045
streptothricin,6.278290959344527
streptothricin,6.523601166327698
streptothricin,7.4082525149672955
streptothricin,7.854667012904506
streptothricin,8.551718443186047
streptothricin,8.769967262287905
streptothricin,9.193801246754253
streptothricin,9.357303547309659
streptothricin,9.978796893936549
streptothricin,13.410640054176087
streptothricin,15.438224596330967
snowlines,-6.056623463528954
snowlines,-4.80271361403102
snowlines,-3.9692032982361716
snowlines,-3.9644931695310253
snowlines,-3.806166228490526
snowlines,-3.7141209639469834
snowlines,-3.625472554009547
snowlines,-3.5667738858376286
snowlines,-3.5493888869530537
snowlines,-3.4711824781103022
snowlines,-2.851624127905486
snowlines,-2.7501697664199165
snowlines,-2.501952882876351
snowlines,-2.4776514932681883
snowlines,-1.9202684042873657
snowlines,-1.8766450815778317
snowlines,-1.812127098077183
snowlines,-1.8028767996437158
snowlines,-1.7487119105092703
snowlines,-1.5968561270320891
snowlines,-1.5635717176994766
snowlines,-1.348797906811835
snowlines,-1.3085965592166
snowlines,-1.2829739923147967
snowlines,-1.2724437461020053
snowlines,-1.0363021608840128
snowlines,-1.0300981952239618
snowlines,-0.9965728820177147
snowlines,-0.9045040207847965
snowlines,-0.8894153354140085
snowlines,-0.8754412341293752
snowlines,-0.849682924051722
snowlines,-0.8101100143687278
snowlines,-0.7518889912602505
snowlines,-0.7364474022977086
snowlines,-0.724150363674584
snowlines,-0.7199933317768642
snowlines,-0.5376800389594407
snowlines,-0.5077232793130027
snowlines,-0.5001361064149891
snowlines,-0.43830340259666734
snowlines,-0.38414336878691546
snowlines,-0.38325137197210013
snowlines,-0.38089136193007395
snowlines,-0.3120754847143841
snowlines,-0.28841405250134855
snowlines,-0.24871775128990853
snowlines,-0.24319016728493864
snowlines,-0.23084922605159966
snowlines,-0.22149349144431368
snowlines,-0.1605379218848572
snowlines,-0.13639822617026012
snowlines,-0.047787013179038926
snowlines,0.07446337891488226
snowlines,0.10085935369789079
snowlines,0.11924164210704884
snowlines,0.18462416550419022
snowlines,0.2622926500499926
snowlines,0.32393379940505307
snowlines,0.41331353170988766
snowlines,0.5325109461893792
snowlines,0.5989732613303124
snowlines,0.6375870801933889
snowlines,0.827128684577516
snowlines,0.8664342246040272
snowlines,0.9640027620091611
snowlines,1.2884865359945241
snowlines,1.4009590715087843
snowlines,1.5081484264944953
snowlines,1.5873304864910744
snowlines,1.6251483564063616
snowlines,1.7144744218049717
snowlines,1.728961445145759
snowlines,1.840655649440556
snowlines,1.9358558911715675
snowlines,1.9938809734715763
snowlines,2.0016911124406613
snowlines,2.071972531161099
snowlines,2.2147296564096326
snowlines,2.2534746525298868
snowlines,2.324582088323675
snowlines,2.44232374963139
snowlines,2.4753508953656733
snowlines,2.5992934265723715
snowlines,2.6057366397759525
snowlines,3.2769936390158554
snowlines,3.7112771388751016
snowlines,3.835350334008505
snowlines,4.443876413511576
snowlines,6.3994773432805845
snowlines,6.575626359288165
snowlines,7.682028168922431
limey,-18.363939277114365
limey,-18.15861243647253
limey,-13.987984992969563
limey,-13.584255542057223
limey,-13.003515043996277
limey,-12.227638347322008
limey,-12.200230889030284
limey,-12.006969372346642
limey,-11.676734485210728
limey,-11.50422066975821
limey,-11.323115979211808
limey,-11.260887836413948
limey,-10.612647616639974
limey,-10.537070013394361
limey,-10.291284371333482
limey,-10.262170162149996
limey,-9.839867901166174
limey,-8.83523178308872
limey,-8.718238713174431
limey,-8.29792606517091
limey,-8.26602349550475
limey,-7.924988712043857
limey,-7.807488835301007
limey,-7.6552063985606935
limey,-7.600279923435057
limey,-7.188443019544376
limey,-6.652288865564408
limey,-6.565337972776108
limey,-6.49315667114761
limey,-6.2631572670792295
limey,-5.6748696356899595
limey,-5.57312144216336
limey,-5.502408870436956
limey,-5.037157808300882
limey,-4.568710900636217
limey,-4.390329312453994
limey,-4.001258797697893
limey,-3.967467902234441
limey,-3.901757440098505
limey,-3.4896584196906764
limey,-3.434598443427834
limey,-3.277763351951699
limey,-3.2466903388660167
limey,-2.923374175914403
limey,-2.8415874346104153
limey,-2.809781471857338
limey,-2.5521630115435765
limey,-2.100080772643814
limey,-1.9756697893978101
limey,-1.9309599242102364
limey,-1.4649137909778198
limey,-1.3744915757232996
limey,-1.0207740854489198
limey,-0.7838495712858926
limey,-0.7800955388412274
limey,-0.45830662998455923
limey,-0.2061973300179282
limey,-0.0991078524079588
limey,0.25336550703606575
limey,0.2693111793689334
limey,1.1658241485946825
limey,1.254127781184861
limey,1.4311655229049782
limey,1.4458257909732992
limey,1.7632103502916903
limey,1.7836529357343198
limey,1.9728954583883025
limey,2.0781307966762164
limey,2.1452977800576387
limey,2.6362737285450746
limey,2.7735282869707887
limey,3.1865853860861875
limey,3.2512374272999742
limey,3.5172338245610395
limey,4.017839046544069
limey,4.196531612305899
limey,4.476095143528331
limey,4.70930966670269
limey,4.732765929249038
limey,5.010622138698978
limey,5.221310179048878
limey,6.032711639766407
limey,6.315737085508817
limey,6.418398801965894
limey,6.661423082469193
limey,7.339419998968931
limey,7.756021941279453
limey,8.133627065724802
limey,8.207760367681848
limey,8.693334393749701
limey,9.566988881957363
limey,10.140934450745213
limey,10.311564858036494
limey,10.940680262054718
limey,11.55452585302452
limey,11.573548100582888
limey,12.89522734024835
limey,14.076302760996844
limey,14.203306701033137
limey,14.402395572378527
limey,16.44315558295756
limey,17.087785303048143
limey,17.582833904660788
augment,-7.092981806742176
augment,-7.015085164770869
augment,-6.830533013547096
augment,-6.439832616397276
augment,-6.251532741222659
augment,-6.089262821617732
augment,-6.012569471145223
augment,-5.462950048207479
augment,-5.343649925300921
augment,-5.1831773622031045
augment,-5.006924071949969
augment,-4.731667939452903
augment,-4.192223799671175
augment,-4.0169873498716875
augment,-3.8319457145758613
augment,-3.7059357352523414
augment,-3.5297904667187097
augment,-3.402762311584009
augment,-3.284594862351195
augment,-3.1501863657256055
augment,-3.145314315923428
augment,-2.5697837301156197
augment,-2.5642791406245933
augment,-2.5615475568262522
augment,-2.5554233745933863
augment,-2.498853152537425
augment,-2.46728370245458
augment,-2.3897181703024524
augment,-2.270021441001915
augment,-1.9900140723485742
augment,-1.9150409093227705
augment,-1.5050292292869885
augment,-1.4274009872697133
augment,-1.3617205184798604
augment,-1.1802839296644234
augment,-1.141012835255418
augment,-1.134544940124582
augment,-1.0443253938028605
augment,-1.0030327233005687
augment,-0.9732678843705328
augment,-0.9331843341517501
augment,-0.9229954304984921
augment,-0.8564556541083529
augment,-0.7085599790883073
augment,-0.7057555798165167
augment,-0.6832114472000284
augment,-0.6783790168614671
augment,-0.6186934387376406
augment,-0.37155135209110807
augment,-0.3153745375882819
augment,-0.30117700663248037
augment,-0.2736588790344082
augment,-0.2630517605032052
augment,-0.1142919621020068
augment,-0.006947509579346665
augment,0.013622685553071803
augment,0.1693771934770057
augment,0.18480799418361238
augment,0.25422194251617397
augment,0.31397677257319806
augment,0.5129001127430031
augment,0.6057834427298517
augment,0.6920431902886357
augment,0.7586329489096983
augment,0.7937743998101687
augment,0.8401064917959593
augment,0.8721552008922284
augment,0.9464470421131298
augment,0.9551929757904086
augment,0.9677376217158237
augment,0.9692052633117851
augment,1.000036938839391
augment,1.0335189201574466
augment,1.1391957699082735
augment,1.1577622769295526
augment,1.1783754035187768
augment,1.230195917868972
augment,1.4411189247401888
augment,1.5311482320702168
augment,1.5373326463550738
augment,1.5881445335471012
augment,1.6981720369813633
augment,1.7439645185534467
augment,1.9115664506784265
augment,2.0957978906157377
augment,2.20433692911234
augment,2.446077687797392
augment,2.5364534333964324
augment,2.6828903557260064
augment,2.6999663521834103
augment,2.7765546372750136
augment,2.8776065377783078
augment,2.9314949128866035
augment,2.956327372258583
augment,3.0686522867069015
augment,3.1192758068449518
augment,3.1416027641401625
augment,3.2172930183277715
augment,3.3205874590487134
augment,3.509594053571039
augment,3.5284586798542503
augment,3.5371601026476904
augment,3.8964369899492004
augment,3.948436070630619
augment,4.048779757886165
augment,4.053716948427873
augment,4.316106241134616
augment,4.318884250829955
augment,6.0570810712673655
augment,6.063693230390784
cytopenias,-9.352307957347055
cytopenias,-9.017598192008426
cytopenias,-8.128342071354037
cytopenias,-7.260202082606677
cytopenias,-7.198695003709911
cytopenias,-7.074739129986551
cytopenias,-6.956557991943429
cytopenias,-6.788415809865121
cytopenias,-6.559795572078707
cytopenias,-6.122551214642751
cytopenias,-5.868150303767659
cytopenias,-5.620955590725174
cytopenias,-5.445199348289151
cytopenias,-4.746293261220227
cytopenias,-4.585630857225467
cytopenias,-4.508873232562775
cytopenias,-4.1668367469652345
cytopenias,-3.5867798242785507
cytopenias,-3.5358589495310757
cytopenias,-3.3898628923587935
cytopenias,-3.2381560434523458
cytopenias,-3.1990410413697385
cytopenias,-2.9066422652179673
cytopenias,-2.740123882704715
cytopenias,-2.639438383522002
cytopenias,-2.6223994190280298
cytopenias,-2.529991918617182
cytopenias,-1.857457302765877
cytopenias,-1.850273395055721
cytopenias,-1.8428687858631874
cytopenias,-1.8193683091552975
cytopenias,-1.4154562984928498
cytopenias,-1.3254651520863425
cytopenias,-0.9653030456775178
cytopenias,-0.9519240706409692
cytopenias,-0.9357288837434155
cytopenias,-0.8873323448533246
cytopenias,-0.8342073073839696
cytopenias,-0.7075031982101382
cytopenias,-0.6879071902432567
cytopenias,-0.5710722362550988
cytopenias,-0.5430829262425432
cytopenias,-0.44569836826035875
cytopenias,-0.41624072437732645
cytopenias,-0.16634061313138188
cytopenias,-0.040624957386090066
cytopenias,0.10587176311563125
cytopenias,0.28743917512341133
cytopenias,0.4673992943589127
cytopenias,0.5670452545100377
cytopenias,0.6300277761725886
cytopenias,0.8233219014273488
cytopenias,0.8409562227429146
cytopenias,0.892226988061075
cytopenias,0.9501578682880262
cytopenias,1.0541892981928291
cytopenias,1.0574623514917747
cytopenias,1.085489811506546
cytopenias,1.169136469924212
cytopenias,1.1736090952698883
cytopenias,1.1919861573155384
cytopenias,1.2668214410541374
cytopenias,1.3040824396259336
cytopenias,1.3412030063981477
cytopenias,1.3557708484198117
cytopenias,1.3806933344309238
cytopenias,1.5117835145606484
cytopenias,1.5319750903210867
cytopenias,1.6310656945784014
cytopenias,1.6717104101091786
cytopenias,1.7055244070427316
cytopenias,2.045674942820828
cytopenias,2.312784832822175
cytopenias,2.4118792656180372
cytopenias,2.488601987333913
cytopenias,2.6038938158731093
cytopenias,2.6043321945658353
cytopenias,2.6069027932991684
cytopenias,2.6625283953654004
cytopenias,2.8186340724824093
cytopenias,2.884967297738808
cytopenias,2.9504744101120335
cytopenias,2.952329037820908
cytopenias,3.0185818311477157
cytopenias,3.07776814575043
cytopenias,3.280076472232203
cytopenias,3.4247115929433947
cytopenias,3.5902898364020976
cytopenias,3.7581002814890687
cytopenias,3.7587986990247706
cytopenias,3.8282611497321004
cytopenias,4.144857136852782
cytopenias,4.297147790935142
cytopenias,4.667360937105422
cytopenias,4.772801999822249
cytopenias,5.129773345249308
cytopenias,5.396687197794241
cytopenias,6.244942766899126
cytopenias,6.288408829378843
cytopenias,6.315187770746574
cytopenias,8.001590781342413
cytopenias,8.260648971488184
cytopenias,8.826999648666401
