filibusters\mastiffs,streptothricin,snowlines,limey,augment,cytopenias,dissection
-9,43.11979463229029,33.448345482804555,21.03861898961405,42.043971007335195,39.435845649321664,28.864483922631802
-8,63.31361455456626,30.696249906051843,36.24521036510589,55.18614531572101,25.241288512503,19.76817838408569
-7,46.092062177709096,31.29532526118063,30.232211821183107,43.59590500793207,44.8608246294356,36.60536996817037
-6,52.545910597506264,35.93364735783727,25.351857368337807,45.39273649034652,20.786205242485273,30.78535210541693
-5,43.954931701640426,40.960198667963965,22.767252794337086,38.02504571439526,31.943282337551928,39.9395404194584
-4,56.31822377061032,34.908049677980785,26.680349648176573,49.197402066896224,26.749677665438632,41.56515542946132
-3,52.744571822630135,32.077541931220544,26.331496921501955,47.37040413880886,20.39312208889329,37.25579844580635
-2,44.015630921835886,29.80734666892264,28.928636972455624,41.05835896706589,40.26486912590407,28.303501851007578
-1,42.21122851993297,34.951035836172984,22.838438220232067,42.56358768689896,43.642517378747094,32.06780231676872
0,57.84497960137797,33.5239683328779,23.802652036193443,47.50474664286904,17.217689176856616,26.95473484731688
1,45.674697401552535,33.831904722766744,32.35018675937826,50.90698379906249,32.12264307940105,31.168130363208554
2,39.668525345233775,32.176508343060014,25.630671206328472,37.1517240509362,29.753611317253032,33.538161531527294
3,55.16681665717135,34.3543821643907,20.53914119520313,49.306883734608846,23.36960921614156,47.534305950171166
