0,lungers,augment,perennibranch,cytopenias,snowlines,fluor-spar,limey,effacement,streptothricin,mastiffs,Judaea,bull-tongue,caramelisation,spies,substitutes,filibusters,rhomboids
Judaea,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1,-0.0,-0.0,-0.1,-0.0,0.0,-0.0,-0.1,-0.1,-0.0,-0.0
bull-tongue,-0.0,-0.0,0.0,0.0,-0.1,0.0,-0.0,-0.1,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
substitutes,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.1,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.1,-0.1
dissection,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.1,0.0,0.0,0.1,0.0,-0.1,-0.0,0.0,-0.1,0.1
filibusters,0.1,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1,-0.0
cytopenias,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.1,0.1,-0.1,0.1,0.0,-0.1,0.0
streptothricin,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.1,-0.1,0.0,-0.0
lungers,0.0,-0.0,0.0,0.0,-0.0,-0.1,0.1,0.0,-0.1,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
effacement,0.0,0.1,-0.0,-0.0,0.1,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1,0.0
limey,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.1,-0.0,0.0,0.1,0.0,-0.0,-0.0,-0.0,-0.0
