augment\limey,substitutes,biblioclast,filibusters,lungers,Judaea,rhomboids
-1,38.83705596460013,44.79220145771653,35.772545987666305,43.52862710123951,27.778731405329687,23.19682110587082
0,28.697866733638936,35.157750392497796,30.797528214500453,44.10788528521603,30.285533362981734,22.346849569055035
1,40.31541533734178,43.44141549876351,38.46098131731338,49.23960298624998,35.530362634221646,32.25751680492175
2,63.77872907116853,39.23533316159952,24.7654741528321,45.594689399677264,48.70910423678366,25.60970897992225
3,38.24975034722601,35.7640060721333,38.8574315794428,46.142879802037115,25.038703541611653,36.1869233472668
4,55.33316808425332,41.27066263710252,37.37696389624203,48.87314757521352,27.904673816805683,28.039732834969595
5,46.16375728677144,37.92278489789871,37.570534214812426,44.02394398585754,40.83691693304753,33.31401202209133
6,40.91767392313525,42.01563912564072,41.86029109240793,43.96130773513379,42.4946568113523,29.62194189014475
7,35.462146212565315,39.15210578718603,35.59396713673935,39.21874339983945,17.682378249625526,30.083074942378598
8,60.32677698998362,43.14782429562871,31.461000675759117,47.20871836051493,38.16324676583401,30.016880699424966
9,49.72098464433713,37.75295159151913,33.011821322031466,44.01735999944433,36.337668534996745,23.054536723416007
10,33.470145744872426,36.06832789659813,34.4961495293971,46.562184035159866,26.07366640466966,29.06695276929671
