effacement\limey,augment,fluor-spar,spies,filibusters,dissection
0,25.103173094411964,22.63898055766372,26.271422770158495,45.60628815864024,29.692941059855116
1,21.891290512601365,26.403921521732485,24.22905601760919,46.909198227610666,30.711574629292517
2,18.55787115944611,29.956423647217527,27.171796864982674,47.441922524062655,31.700119115723965
3,27.229958631453265,33.64810164754928,24.950012884677346,39.691924511757755,28.714982262397264
4,30.56544574969164,30.792878338803504,22.757567748977962,43.488061947355575,43.218332999940586
5,25.412904001560243,23.682163158411917,26.49493695073681,44.17347956369218,33.4741607419858
6,21.03715895901691,20.81265801261396,27.764262038377538,47.245796990717125,29.14998811308753
7,23.913151219908347,22.13073612663711,31.017893970873427,45.92014279458658,36.038889887914344
8,26.7204604907695,31.55849286017318,26.34972436870322,44.07023127263505,34.90439849782708
9,27.679605266607613,24.74607701415058,24.034165935148756,44.779837907404406,31.30898579157228
10,25.767438375430118,37.48469119447606,22.24447626528294,48.03737501472606,35.379437682317075
11,22.16252697794939,14.736718995638881,30.80937848792732,42.63813971233025,32.483341664295345
12,26.547052055059897,26.560072381433088,29.033886618037172,43.48867856027131,39.9238619786387
13,25.47716439944511,29.920128560591355,29.453785433520366,46.124481965667684,30.16010664115013
14,27.000867439846676,33.21618633538853,24.40870587412492,42.41348710817406,28.372817384026206
