rhomboids,limey
filibusters,-3.2492916901786524
filibusters,-3.0699504131208664
filibusters,-2.9871961577004615
filibusters,-2.6927786882188567
filibusters,-2.664673355359321
filibusters,-2.5587382079837075
filibusters,-2.5584739215145444
filibusters,-2.4779138141937924
filibusters,-2.3468720529599936
filibusters,-2.2852220708968494
filibusters,-2.25785694977845
filibusters,-2.149317584324287
filibusters,-2.1272426474666806
filibusters,-2.0625136623023783
filibusters,-1.8127129303914362
filibusters,-1.5993804273976053
filibusters,-1.5430943077301689
filibusters,-1.468942676379354
filibusters,-1.395179927473692
filibusters,-1.3655527366414142
filibusters,-1.3271821520485274
filibusters,-1.3231220041863954
filibusters,-1.169581926117754
filibusters,-1.1518587603278756
filibusters,-1.1510806267577172
filibusters,-1.1314191452105233
filibusters,-1.0887810193937049
filibusters,-1.042587791178827
filibusters,-1.0216137432483798
filibusters,-1.004868348406762
filibusters,-0.8963315686005106
filibusters,-0.8913110420795024
filibusters,-0.8645581076086308
filibusters,-0.8389098916634335
filibusters,-0.8083621978487884
filibusters,-0.7822738872829959
filibusters,-0.706505940673999
filibusters,-0.6451667323074793
filibusters,-0.626492976482748
filibusters,-0.6205198297010333
filibusters,-0.6204827668961803
filibusters,-0.6160878132759106
filibusters,-0.6118311924717834
filibusters,-0.6090463121027029
filibusters,-0.6044767011756852
filibusters,-0.5484072455927407
filibusters,-0.5328577532625829
filibusters,-0.3919625650164247
filibusters,-0.3363211763900929
filibusters,-0.16944528717855337
filibusters,-0.1602355079230436
filibusters,-0.13068282259041963
filibusters,-0.022536628394356183
filibusters,0.03728075469809197
filibusters,0.08752579182443182
filibusters,0.12918997851175024
filibusters,0.14293252668055872
filibusters,0.20278320659039797
filibusters,0.275099105660919
filibusters,0.28788911313051985
filibusters,0.31218250453478924
filibusters,0.3432904753242151
filibusters,0.3783783777195074
filibusters,0.41310268666138056
filibusters,0.4721719765661826
filibusters,0.4725366864279055
filibusters,0.47272362790712835
filibusters,0.5312462363820094
filibusters,0.5434293803388893
filibusters,0.6426903538536259
filibusters,0.6591883363430017
filibusters,0.666205780607841
filibusters,0.693456180154226
filibusters,0.7018948263526023
filibusters,0.7522539543367179
filibusters,0.7579797666066534
filibusters,0.9325759056215503
filibusters,0.9768967565053237
filibusters,1.058967768623687
filibusters,1.0705633219868942
filibusters,1.1731402128675452
filibusters,1.1998595369723597
filibusters,1.2457853252048037
filibusters,1.3126286357282757
filibusters,1.3483811079012185
filibusters,1.4431989939471543
filibusters,1.5211982369452375
filibusters,1.5302429260437045
filibusters,1.6106522183739176
filibusters,1.7390935356361448
filibusters,1.792575366411358
filibusters,1.9696570861386844
filibusters,2.0139575938665257
filibusters,2.08925308156423
filibusters,2.275343386749846
filibusters,2.291833360581439
filibusters,2.320140521291637
filibusters,2.5315314271460583
filibusters,2.628659244543241
filibusters,2.938589538516334
filibusters,3.0744789687239527
filibusters,3.1106506047572178
filibusters,3.2126545374748385
filibusters,3.5246875909649593
filibusters,3.6010603369920355
filibusters,3.7725878928797196
filibusters,3.895959276838049
filibusters,4.040651847204947
filibusters,4.160582035257535
filibusters,4.222165978225101
lungers,-7.176685715927853
lungers,-6.989447101465455
lungers,-6.8284225070698295
lungers,-6.088550774109629
lungers,-6.03675388530528
lungers,-6.019342177736911
lungers,-5.881285211012074
lungers,-5.74375962868308
lungers,-5.660937743251289
lungers,-5.5237199154751
lungers,-5.010552723369615
lungers,-4.890380810990476
lungers,-4.415308432716649
lungers,-4.373038199338398
lungers,-4.202287230608682
lungers,-4.079776176228716
lungers,-3.7417895654164903
lungers,-3.416472624440137
lungers,-3.2078770443268345
lungers,-2.78983987703486
lungers,-2.7882343901110005
lungers,-2.786064728372331
lungers,-2.5458887539504733
lungers,-2.385535467464559
lungers,-2.3593407067532075
lungers,-2.29363842441558
lungers,-2.264875924388208
lungers,-2.134499890298253
lungers,-2.1022665946166104
lungers,-1.8154450159455884
lungers,-1.6045018905880963
lungers,-1.4875074839157227
lungers,-1.4770867880995713
lungers,-1.4676302807583947
lungers,-1.061580112224903
lungers,-1.0502988538495075
lungers,-0.9824070941854984
lungers,-0.8365106290740291
lungers,-0.7746892528131116
lungers,-0.6779216520407325
lungers,-0.6276453739235001
lungers,-0.5736990200330601
lungers,-0.53415830075593
lungers,-0.5061200766118983
lungers,-0.44209463375091496
lungers,-0.37333810500282166
lungers,-0.3302048872766587
lungers,-0.22516597485402376
lungers,-0.20693045395974993
lungers,-0.18437042825419026
lungers,-0.04208591068675765
lungers,0.032182964907711095
lungers,0.05014282066840217
