rhomboids,lungers
augment,-13.900700287990377
augment,-13.803293775466193
augment,-11.424114474328135
augment,-10.598259382985441
augment,-10.11243513518047
augment,-9.290668754135897
augment,-8.830003002806196
augment,-8.313079828472857
augment,-8.126911156092339
augment,-7.568062736589851
augment,-7.146878534952599
augment,-6.988138700639586
augment,-6.570593366249369
augment,-6.232460570473805
augment,-5.9284093988872835
augment,-5.787337411342373
augment,-5.782153928305983
augment,-5.70512943020175
augment,-4.889506066847288
augment,-4.77768864224678
augment,-4.443433597157349
augment,-4.391589374423761
augment,-4.388679600276646
augment,-4.039456488050623
augment,-3.2856284047217583
augment,-3.1896566027626307
augment,-3.1199369311806056
augment,-2.901305066357421
augment,-2.765826594682602
augment,-2.727914892962625
augment,-2.444457358180444
augment,-2.1888529874666434
augment,-2.1796066250156443
augment,-1.7791878087061612
augment,-1.5845428221963682
augment,-1.0882825376001934
augment,-1.0356778284702635
augment,-1.0074162409807779
augment,-0.8440266120056303
augment,-0.7664835548055333
augment,-0.5643623379560001
augment,-0.3964061754712258
augment,-0.3196246778860734
augment,-0.30557371691743296
augment,-0.21720466365886756
augment,-0.19916348725057337
augment,-0.16694688716663006
augment,-0.11618618228244243
augment,-0.014550002086004656
augment,0.2572474189858035
augment,0.6459654525702444
augment,0.7028685896135001
augment,1.0965669798056819
augment,1.1178662826327561
augment,1.3228569327420072
augment,2.7298304734577745
augment,2.8188126912473908
augment,3.1737079871521483
augment,3.3259751826686594
augment,3.4715390350381274
augment,3.7037273702672535
augment,3.9180424386793566
augment,3.9689354751870427
augment,4.346969869519004
augment,4.683456824976978
augment,4.754260864664173
augment,5.1160437959673635
augment,5.253350669846471
augment,5.329966311153632
augment,5.3575518311093235
augment,5.574916759521557
augment,5.735829477888888
augment,5.769657301744331
augment,6.293935493283104
augment,6.3761369897060804
augment,6.465830177544977
augment,6.620501218116185
augment,6.91152632330758
augment,7.094594183728274
augment,7.3330264348464445
augment,7.687817501211832
augment,7.7934615744808795
augment,8.020645086641737
augment,8.772842968773476
augment,8.996244765505734
augment,9.276848045877243
augment,9.4527762225985
augment,10.00934240533553
augment,10.586482674904321
augment,10.66736485417303
augment,11.428540867356
augment,12.239895164568063
augment,13.167306420989465
augment,13.770429972865676
augment,15.452550687800198
fluor-spar,-1.7426759850643654
fluor-spar,-1.6600181141559507
fluor-spar,-1.4579506314110056
fluor-spar,-1.414844918869869
fluor-spar,-1.3803399742536733
fluor-spar,-1.3685153598481692
fluor-spar,-1.3275672136231411
fluor-spar,-1.245346961358331
fluor-spar,-1.1064175856254086
fluor-spar,-1.0924431758463333
fluor-spar,-0.9422557255242182
fluor-spar,-0.8422374834065411
fluor-spar,-0.7879515562130076
fluor-spar,-0.7818727524670566
fluor-spar,-0.7385338164343149
fluor-spar,-0.674799891071115
fluor-spar,-0.6632763705257417
fluor-spar,-0.6534681443162884
fluor-spar,-0.6500477741757118
fluor-spar,-0.6272532088398693
fluor-spar,-0.6178699125313737
fluor-spar,-0.6044159447205859
fluor-spar,-0.5862809065229221
fluor-spar,-0.5815757761503729
fluor-spar,-0.577025060184843
fluor-spar,-0.5543938307541748
fluor-spar,-0.5306132703359959
fluor-spar,-0.51085058012744
fluor-spar,-0.49047771818716124
fluor-spar,-0.4879278479387959
fluor-spar,-0.4761214917150765
fluor-spar,-0.43651554062626874
fluor-spar,-0.39747773016964827
fluor-spar,-0.3787841040807671
fluor-spar,-0.3616713514204524
fluor-spar,-0.35549908953103804
fluor-spar,-0.3504667181027977
fluor-spar,-0.30821337921783365
fluor-spar,-0.30299703646742265
fluor-spar,-0.2943224506408369
fluor-spar,-0.2900843648356045
fluor-spar,-0.2867580954358319
fluor-spar,-0.2717875383165509
fluor-spar,-0.2615238564667071
fluor-spar,-0.187765180753259
fluor-spar,-0.17465395590593732
fluor-spar,-0.15011787672414303
fluor-spar,-0.1220880088043211
fluor-spar,-0.11844340011656478
fluor-spar,-0.10740402332526593
fluor-spar,-0.1046158613711452
fluor-spar,-0.08641720383293408
fluor-spar,-0.06079553892345112
fluor-spar,-0.059690427366052304
fluor-spar,-0.0502482752360331
fluor-spar,-0.01991282197866822
fluor-spar,-0.015758283212418914
fluor-spar,0.017115986584776244
fluor-spar,0.02932197806039306
fluor-spar,0.03738833602771961
fluor-spar,0.06032321420311408
fluor-spar,0.061326646956114644
fluor-spar,0.08221650435869339
fluor-spar,0.08642769652490583
fluor-spar,0.0916059598743031
fluor-spar,0.11155394282542555
fluor-spar,0.15243357970877905
fluor-spar,0.15475532484755378
fluor-spar,0.1744527235086408
fluor-spar,0.17483829599600745
fluor-spar,0.18812452520377407
fluor-spar,0.21786260678160613
fluor-spar,0.2547008596357346
fluor-spar,0.2627250730274174
fluor-spar,0.27002866877006787
fluor-spar,0.336206268774065
fluor-spar,0.3860960346323104
fluor-spar,0.41106940882196785
fluor-spar,0.4131771400768896
fluor-spar,0.45806154201557797
fluor-spar,0.4682472839746486
fluor-spar,0.47167411245511615
fluor-spar,0.4829914047241613
fluor-spar,0.48857610659899603
fluor-spar,0.4984832573206223
fluor-spar,0.5013580344578737
fluor-spar,0.5979789745516343
fluor-spar,0.6472536423354404
fluor-spar,0.6735503804721821
fluor-spar,0.7119827394603804
fluor-spar,0.7730612320999413
fluor-spar,0.7810264217125413
fluor-spar,0.8163592193447108
fluor-spar,0.8899814826638401
fluor-spar,0.9481513789591589
fluor-spar,1.0411141734302394
fluor-spar,1.0412014894541382
fluor-spar,1.0684475580936288
fluor-spar,1.0727988569940186
fluor-spar,1.0752034656625993
fluor-spar,1.1878463498198988
fluor-spar,1.2375529647472603
fluor-spar,1.247546408010886
fluor-spar,1.2974638100240499
fluor-spar,1.4923157495193062
fluor-spar,1.5093816448843855
fluor-spar,1.527692432174422
fluor-spar,1.7375105456351738
fluor-spar,1.7976119995854847
fluor-spar,2.052992307737035
spies,-24.223334227977944
spies,-23.718982540045456
spies,-23.42253009886058
spies,-21.51624153560711
spies,-18.113313567010152
spies,-18.10595921854378
spies,-17.396987138938776
spies,-17.11812749998806
spies,-15.083071715697864
spies,-14.778397939487396
spies,-14.595826004381841
spies,-12.426388519628699
spies,-12.158458772297344
spies,-12.111756528932716
spies,-11.448212277660813
spies,-11.007899789032994
spies,-10.874944594583884
spies,-9.605648849103664
spies,-9.575026070653397
spies,-8.798667434142068
spies,-8.589276772602139
spies,-7.436673967920626
spies,-7.385933929740936
spies,-6.562349639121689
spies,-6.494316293525507
spies,-6.3107094122181415
spies,-5.990039805881544
spies,-5.895130730879189
spies,-5.873353894949181
spies,-5.736592699055504
spies,-5.704554316697946
spies,-5.626298398916822
spies,-5.619428360476727
spies,-5.28669116018161
spies,-5.249488100401605
spies,-5.160188701310258
spies,-3.95417359634751
spies,-3.951724775749191
spies,-3.6270322948258356
spies,-3.5702729214976716
spies,-3.4425344404445717
spies,-3.341920602296308
spies,-2.8562096206536505
spies,-2.8346519582111194
spies,-2.724085673211825
spies,-2.67850680453231
spies,-2.3131308544319276
spies,-2.2545084093790306
spies,-1.8515600636223848
spies,-1.7915435148694927
spies,-1.7858950973114966
spies,-1.4674011280232282
spies,-1.1799983609209568
spies,-0.830156215638391
spies,-0.7701112472024075
spies,-0.753209175479891
spies,-0.7360332528128061
spies,-0.1837529144568588
spies,0.41935533008966674
spies,0.4648914048899824
spies,0.564498376080146
spies,0.805133358135446
spies,1.0800787193772463
spies,1.2156905164852108
spies,1.5947818128847422
spies,1.8249074048040823
spies,1.8444539198299663
spies,2.07179581267189
spies,2.1067834439508064
spies,3.2518893788830634
spies,3.3814356565413526
spies,4.69470357447874
spies,5.395815263712553
spies,5.90231915227565
spies,6.427538575060428
spies,6.630689831178583
spies,7.34129706677242
spies,7.408445543907005
spies,7.537671892301113
spies,7.666282508911846
spies,7.845128748539129
spies,8.470901979652965
spies,8.952529502703342
spies,9.378165936672827
spies,9.771882874406813
spies,9.77938090532038
spies,9.782589415440128
spies,9.86657881466643
spies,10.171704455944038
spies,10.866221744051078
spies,12.006692662600704
spies,12.587849942308816
spies,13.63566159351632
spies,14.072218915986108
spies,14.732271868710278
spies,15.798363203911594
spies,15.846268607816759
spies,16.286894056960694
spies,16.46178678706559
spies,17.77172119094692
spies,17.91470793463697
spies,19.55468810466095
spies,20.05938188938456
spies,22.983002897212717
filibusters,-2.617541312868152
filibusters,-1.8979540468695513
filibusters,-1.4771501410279277
filibusters,-1.4538094115256077
filibusters,-1.3993706687681184
filibusters,-1.2913202807409507
filibusters,-1.2216641591058492
filibusters,-1.2198029829218264
filibusters,-1.181000495565784
filibusters,-1.1665643316167877
filibusters,-1.1654552945387722
filibusters,-1.1383591557662556
filibusters,-1.0662188434397533
filibusters,-0.9137945743561804
filibusters,-0.8836044341959685
filibusters,-0.8458874007445184
filibusters,-0.8170700889825177
filibusters,-0.7615400183970161
filibusters,-0.6859369019189896
filibusters,-0.6711014232042142
filibusters,-0.6710041926283711
filibusters,-0.6290360215183948
filibusters,-0.6258487397640424
filibusters,-0.6244580279706466
filibusters,-0.6031332238853584
filibusters,-0.6008618288024623
filibusters,-0.5989658685187961
filibusters,-0.567774456569236
filibusters,-0.5362499841583133
filibusters,-0.532734086288168
filibusters,-0.48424997382278223
filibusters,-0.4286689801281171
filibusters,-0.3933683587550235
filibusters,-0.35581454517560884
filibusters,-0.3554631482978725
filibusters,-0.3318325701771282
filibusters,-0.3297258721854245
filibusters,-0.2982840148410472
filibusters,-0.2944871915850287
filibusters,-0.2688760874308695
filibusters,-0.18198943013458144
filibusters,-0.17090519016023242
filibusters,-0.16315224744038004
filibusters,-0.16137566044245039
filibusters,-0.1606254420030092
filibusters,-0.1502722200404719
filibusters,-0.14539583451391733
filibusters,-0.09679432871889847
filibusters,-0.09172676186573439
filibusters,-0.08440294360424491
filibusters,-0.07546641474261034
filibusters,-0.07404119946614074
filibusters,-0.06290370191709901
filibusters,-0.019669004161859387
filibusters,0.07009403705145756
filibusters,0.07109290944630957
filibusters,0.07586006427528474
filibusters,0.11814146442471903
filibusters,0.12072140185270265
filibusters,0.1249170564749038
filibusters,0.12504228543704263
filibusters,0.14556272348542434
filibusters,0.17379322654796742
filibusters,0.1748559553511757
filibusters,0.21723801305630508
filibusters,0.23428927353699733
filibusters,0.2479061755082395
filibusters,0.2711357199899908
filibusters,0.2735707891932255
filibusters,0.29674088621646305
filibusters,0.3175778069920454
filibusters,0.3410255860149098
filibusters,0.34836624198290805
filibusters,0.3573578576112947
filibusters,0.3793689649293496
filibusters,0.4007611237361563
filibusters,0.4020415492988578
filibusters,0.41721884105051826
filibusters,0.4782918557756116
filibusters,0.48816598314942106
filibusters,0.5016701078448643
filibusters,0.5239141355354583
filibusters,0.5527285922291488
filibusters,0.5612955809414932
filibusters,0.5860927552552279
filibusters,0.7337560694667797
filibusters,0.7700956190957299
filibusters,0.7935766788905686
filibusters,0.8063322763443992
filibusters,0.8224508568245751
filibusters,0.8289759743501918
filibusters,0.8731651587535293
filibusters,0.9741007408762458
filibusters,1.0528457233890394
filibusters,1.1485678548805953
filibusters,1.1871023383260673
filibusters,1.2558414492826666
filibusters,1.2806892683100826
filibusters,1.3005693769031024
filibusters,1.3945815175995315
filibusters,1.4441193792527045
filibusters,1.719328964339144
filibusters,2.2193383457177616
dissection,-15.749927080112816
dissection,-8.942485428027446
dissection,-8.48820582665178
dissection,-8.395585030298937
dissection,-8.274184056620165
dissection,-8.223230827171273
dissection,-8.057232132582545
dissection,-7.837244125680166
dissection,-7.601205963627039
dissection,-7.410847300692462
dissection,-6.768729213431787
dissection,-6.662264803805241
dissection,-6.197646400642798
dissection,-5.813579473542477
dissection,-5.272077415231422
dissection,-5.1848093355738865
dissection,-5.10294655996228
dissection,-5.0601663243777955
dissection,-5.008651767814284
dissection,-4.880664349999161
dissection,-4.768514897465617
dissection,-4.67080240352553
dissection,-4.658386224462298
dissection,-3.999273885119668
dissection,-3.9449131940903848
dissection,-3.751716524617897
dissection,-3.738304433996995
dissection,-3.636320174294387
dissection,-2.970138046872591
dissection,-2.881450428258329
dissection,-2.664513433126221
dissection,-2.589057492105977
dissection,-2.567959385737497
dissection,-2.5201240188305625
dissection,-2.2589967255186787
dissection,-1.9091120409304847
dissection,-1.8734599017784876
dissection,-1.7708586416463663
dissection,-1.7078726632706993
dissection,-1.5809959938817015
dissection,-1.463025671101939
dissection,-1.1447658818752136
dissection,-1.1252506531196778
dissection,-1.0047827583401
dissection,-0.7443907734711435
dissection,-0.6894646431248749
dissection,-0.42262693138893437
dissection,-0.3367954537499829
dissection,-0.2842800906179513
dissection,-0.2635170551639286
dissection,-0.22771129493507608
dissection,-0.0640269359303648
dissection,-0.02253789191561011
dissection,0.03448284304715208
dissection,0.28461538191931546
dissection,0.38851430584064184
dissection,0.7460406610897632
dissection,1.5757000985584582
dissection,2.050623948954692
dissection,2.0508871310113124
dissection,2.087952949064593
dissection,2.2345244120892302
dissection,2.2733943090493725
dissection,2.385233371446537
dissection,2.433716355651533
dissection,2.4352758367586524
dissection,2.4933422328028882
dissection,2.5927556083923347
dissection,2.5972867515536775
dissection,2.668926438671075
dissection,2.7151710978898684
dissection,2.9028936126372233
dissection,2.9120209599801434
dissection,3.1092799203503474
dissection,3.143266492324363
dissection,3.149490078401119
dissection,3.2677639297784156
dissection,3.81498597112474
dissection,4.259200039656306
dissection,4.491596306107332
dissection,4.496569335589078
dissection,4.610057825881041
dissection,4.749716342332487
dissection,4.97441607590076
dissection,5.215293196000789
dissection,5.996590122394146
dissection,6.766352142374412
dissection,6.872847626940512
dissection,7.154004653218563
dissection,7.294907242026273
dissection,7.344817358177734
dissection,7.594344163571446
dissection,8.035996081001398
dissection,8.042330273500182
dissection,8.335091377255248
dissection,8.869962238168073
dissection,9.30388481642327
dissection,9.56941370562334
dissection,10.09407691111972
dissection,10.651501603409079
dissection,12.154893631845836
dissection,13.608192482157644
dissection,19.6377288848104
limey,-4.520371654642976
limey,-4.138572057380289
limey,-4.033089662316083
limey,-3.609149183157568
limey,-3.327126447263639
limey,-3.2943546742037726
limey,-2.828216100323262
limey,-2.8056305020572245
limey,-2.717987423612361
limey,-2.6376924490919396
limey,-2.529637419683596
limey,-2.42168523756698
limey,-2.3190327930353587
limey,-2.0107472439863763
limey,-1.9085999876909017
limey,-1.8204071977879859
limey,-1.7896889908217135
limey,-1.7563254987125867
limey,-1.6103158372196666
limey,-1.5231387469957565
limey,-1.435501579406286
limey,-1.2961392401279115
limey,-1.1904968164252092
limey,-0.9872911775655517
limey,-0.9761507343868158
limey,-0.9339402659349664
limey,-0.9225482412976047
limey,-0.847707613437685
limey,-0.7398992248429439
limey,-0.6134584317637114
limey,-0.5716917871568117
limey,-0.5522525614218926
limey,-0.37840082616902615
limey,-0.28796841592943007
limey,-0.2719261816435305
limey,-0.27168363263610695
limey,-0.2621006257169104
limey,-0.26039326338922797
limey,-0.21325237028544658
limey,-0.18081031294961275
limey,-0.13391295651461477
limey,-0.0775980721543511
limey,-0.06589928682118605
limey,-0.008625523624511978
limey,0.004394288511268275
limey,0.005951931858072721
limey,0.00863294884435463
limey,0.05726387718859505
limey,0.07999376388923522
limey,0.09697914922892552
limey,0.14407809725670626
limey,0.21587423450528084
limey,0.26327320334130794
limey,0.26698352001532394
limey,0.2897923013992185
limey,0.4183908579592992
limey,0.4430753703022103
limey,0.4670141042518554
limey,0.5141749112645033
limey,0.5287841507360387
limey,0.5444907664317247
limey,0.5850596974826405
limey,0.6781849972666941
limey,0.7448630978466103
limey,0.7970227526037437
limey,0.8848446011614918
limey,0.9080084643354115
limey,0.9364234131576585
limey,1.116586145200611
limey,1.205935324534013
limey,1.2515195341611784
limey,1.321127445278164
limey,1.3418349370227711
limey,1.5206722486239828
limey,1.5611755586371026
limey,1.5928002285534897
limey,1.6498555873902472
limey,1.6564178362064137
limey,1.767482029414236
limey,1.833622169424978
limey,1.8851279885755214
limey,1.89447560742647
limey,1.921139288476412
limey,1.9719329098855805
limey,2.127311267912242
limey,2.1997997474044597
limey,2.488011917521139
limey,2.5028283994166323
limey,2.542807044806401
limey,2.669776230593941
limey,2.678148656476175
limey,2.883390409969234
limey,3.3553146223958517
limey,3.5830640852605162
limey,5.181963621985309
effacement,-13.590537233157152
effacement,-10.55356916120363
effacement,-9.163156743462954
effacement,-8.95519336949543
effacement,-8.243010996458818
effacement,-8.151970966291158
effacement,-7.976838705074603
effacement,-7.9488134570238875
effacement,-7.918486541105001
effacement,-7.72855739319666
effacement,-7.379104320038042
effacement,-7.328114733975175
effacement,-7.105210534149799
effacement,-6.889891216342695
effacement,-6.79090382975343
effacement,-6.231083198795357
effacement,-6.11525701358598
effacement,-5.811644533044613
effacement,-5.7652900805575085
effacement,-5.432536776059976
effacement,-5.200397666159252
effacement,-5.177523416636317
effacement,-5.133365278279976
effacement,-4.887740767099058
effacement,-4.661072490991076
effacement,-4.458562280618068
effacement,-4.032823218560327
effacement,-3.85276999456209
effacement,-3.650892781793321
effacement,-3.639855115063955
effacement,-3.3993531194052755
effacement,-3.3956542482168013
effacement,-3.2901435936705514
effacement,-3.1657127395478195
effacement,-3.1439587620869958
effacement,-3.1278167210588386
effacement,-3.0505361842167273
effacement,-2.921273472661198
effacement,-2.6334854802840626
effacement,-2.5363929236248945
effacement,-2.4302923687290243
effacement,-2.376516347673284
effacement,-1.7514923029666094
effacement,-1.5878836204749547
effacement,-1.2036835938601562
effacement,-0.906576228538645
effacement,-0.2303525700160352
effacement,-0.09277710652325306
effacement,0.33333756702003636
effacement,0.541276910699371
effacement,0.7485213097553263
effacement,1.2909311651944089
effacement,1.3693758381198051
effacement,1.5288185225733149
effacement,1.538791572141678
effacement,2.0461647902886324
effacement,2.184640827110029
effacement,2.328733270688506
effacement,2.3918874963682484
effacement,2.428588769242532
effacement,2.455252623870376
effacement,2.6417109488188224
effacement,2.7262657427952983
effacement,2.8663139251813408
effacement,3.0297870212145015
effacement,3.1060530056412525
effacement,3.269042137447797
effacement,3.5412057697249812
effacement,3.8106297983645554
effacement,3.9321174857433485
effacement,4.149100040180924
effacement,4.442982131638655
effacement,4.685668022025385
effacement,4.919234924932714
effacement,4.980586337785917
effacement,5.458212056372515
effacement,5.479076981427212
effacement,5.712064167700993
effacement,5.762453026997525
effacement,5.82149524146851
effacement,6.635282226820961
effacement,6.810826694489873
effacement,6.82442570126978
effacement,7.287712387716098
effacement,7.48467884562648
effacement,7.605597013161835
effacement,7.619553652641282
effacement,7.679046587233803
effacement,8.15990227575274
effacement,8.277491803042405
effacement,8.858865234674457
effacement,9.725154331230637
effacement,10.289936320390598
effacement,10.855410103446847
effacement,11.421103807545208
effacement,12.15369627265167
effacement,13.610218854119578
effacement,17.953238283518353
streptothricin,-6.402468296918201
streptothricin,-6.372623658953261
streptothricin,-6.29042249117415
streptothricin,-6.277563622388795
streptothricin,-5.042649776051742
streptothricin,-4.692765536325541
streptothricin,-4.334156986321879
streptothricin,-4.2525534632956346
streptothricin,-4.131886823843397
streptothricin,-3.5116801383437495
streptothricin,-3.398104448784653
streptothricin,-3.3298987451200532
streptothricin,-3.2597223937819044
streptothricin,-3.2132680846823582
streptothricin,-3.1570342298432
streptothricin,-3.0878731718622956
streptothricin,-2.6591097729477866
streptothricin,-2.626905536689871
streptothricin,-2.45391932490217
streptothricin,-2.222953543518152
streptothricin,-2.2192526228344738
streptothricin,-2.183440227109556
streptothricin,-2.1655696742937884
streptothricin,-2.0760018808893754
streptothricin,-2.0558747284082792
streptothricin,-2.0231186332716553
streptothricin,-1.9855563778067764
streptothricin,-1.698613744496488
streptothricin,-1.6954014871819352
streptothricin,-1.6159183056768816
streptothricin,-1.5342363798561076
streptothricin,-1.3844057831344032
streptothricin,-1.3821133437929858
streptothricin,-1.2496086383575071
streptothricin,-1.1449481945714075
streptothricin,-1.1309002698061517
streptothricin,-1.1180479185643366
streptothricin,-1.0953483408502394
streptothricin,-1.0813935133887738
streptothricin,-1.0549940708992755
streptothricin,-0.9939273807883129
streptothricin,-0.9840674450945228
streptothricin,-0.960088267347226
streptothricin,-0.9336617287627405
streptothricin,-0.7074533361561431
streptothricin,-0.6976894459443905
streptothricin,-0.642225171575302
streptothricin,-0.5308165336861619
streptothricin,-0.5095568888454892
streptothricin,-0.4262528672610371
streptothricin,-0.4060623677506453
streptothricin,-0.3968571294250279
streptothricin,-0.2774884590252316
streptothricin,-0.06003320590860932
streptothricin,-0.023633101024270558
streptothricin,0.02708568260804971
streptothricin,0.06557928238203663
streptothricin,0.08473216125058275
streptothricin,0.16522068906329873
streptothricin,0.177788967763749
streptothricin,0.3562990291032388
streptothricin,0.3863978011236231
streptothricin,0.45646559874340326
streptothricin,0.45739535307397094
streptothricin,0.4635833791792409
streptothricin,0.6286968121409318
streptothricin,0.7137963994389168
streptothricin,0.7878242074542741
streptothricin,0.8195924811689612
streptothricin,0.9386288549262327
streptothricin,0.997481145191122
streptothricin,1.0373594896544753
streptothricin,1.153361161858189
streptothricin,1.1671817573999475
streptothricin,1.3773088142042236
streptothricin,1.4087583550124148
streptothricin,1.4895467926136032
streptothricin,1.5072654529327754
streptothricin,1.5394000442955083
streptothricin,1.589878027723929
streptothricin,1.7310044006580938
streptothricin,1.8400638810434395
streptothricin,1.932677994535426
streptothricin,1.9692635328579762
streptothricin,2.075948172719188
streptothricin,2.127809455853955
streptothricin,2.1412811535243685
streptothricin,2.1808674518449838
streptothricin,2.3103974360258137
streptothricin,2.3212996273572144
streptothricin,2.4148198412476822
streptothricin,2.4657422685294685
streptothricin,2.5637195142644904
streptothricin,2.721326207026519
streptothricin,2.8363787491604544
streptothricin,3.0059363672901243
streptothricin,3.099372312778164
streptothricin,3.1535744507035983
streptothricin,3.2121907222532364
streptothricin,3.417422800099782
streptothricin,3.9123559244301824
streptothricin,3.9901125364374783
streptothricin,4.062208707574285
streptothricin,4.073141259528828
streptothricin,4.154037088603252
streptothricin,4.442147115795691
streptothricin,4.652013876302494
streptothricin,4.852997252984586
streptothricin,4.903413611345642
streptothricin,11.072426487085476
