x_mastiffs,y_mastiffs,x_azithromycin,y_azithromycin,x_dissection,y_dissection,x_effacement,y_effacement,x_caramelisation,y_caramelisation
1.092,-46.172994531265765,-3.732,-16.078,7.482,-0.1317005399775124,4.735,-192.039,-0.391,-27.098579907204638
-16.101,8.64840692560789,2.172,17.489,-8.082,-20.15893299383604,-0.36,17.506,3.325,9.464535326334223
-0.739,12.780582748094915,-1.378,-26.858,1.451,-13.641436016265327,-8.713,39.766,0.102,-23.07737651468472
-0.028,18.994564986434018,5.879,18.446,8.041,-6.589958817451148,-0.774,20.879,0.016,17.566966652598808
1.163,8.142074522588624,-0.103,-18.466,-4.492,2.2983266579216233,-7.531,25.787,0.003,-2.1189053416657995
1.113,-14.48443681018925,7.618,-34.781,-2.126,8.660550586706012,-0.479,184.286,9.269,-11.867654740477933
1.029,37.14653407943121,0.382,25.548,11.887,-4.7282775529892405,-2.59,-26.234,1.853,41.34907150743135
4.879,-24.462076049590017,5.185,-3.309,-6.905,-11.924212046520354,0.115,-55.735,-2.655,24.248546315608234
-0.19,-0.38072959325607947,-3.058,-20.107,0.759,-5.374183201770443,1.411,38.574,-6.999,47.89847828296655
11.662,-45.48813779333578,0.703,14.685,-9.806,0.47994977888611245,2.978,31.38,1.601,-13.320846371791681
8.058,8.301853237607384,4.174,28.806,5.512,-4.576149108501107,-0.823,37.912,0.861,17.976845644030817
-0.165,0.818011701961936,0.492,33.685,5.51,6.591051394478507,-9.848,-120.069,2.57,-21.28967971171093
10.486,2.8871239707422616,2.947,-24.371,2.911,-3.8042432254414926,-0.936,-45.353,-2.342,13.481972186166619
-1.297,-42.196818594544865,3.083,13.617,0.055,-7.666425757514826,5.639,-17.135,11.494,-20.871018416850852
0.416,3.92546030395744,-10.241,-19.604,10.458,-0.8041219709092898,-4.02,-104.779,0.009,14.175946689345823
-0.048,-4.887635052795561,-6.551,-0.462,-0.099,-6.783715010778057,-8.381,57.573,-3.933,-16.87463683286767
0.541,-13.126849361729743,-9.673,10.495,1.482,-8.443892801960466,-0.122,-6.799,0.814,38.361274722698425
10.293,6.565033164011919,6.194,3.193,5.226,-1.0547324654559933,-2.235,75.69,-0.071,72.23866269877875
4.237,-17.658850013856597,-2.231,-19.672,-0.74,-6.515013694838884,-2.291,1.631,2.139,-36.178629875210355
3.419,2.340270449530439,-0.262,-17.922,1.674,23.240057369328895,1.43,191.48,3.939,40.18386678732717
4.32,56.9535563162912,-0.08,6.528,-5.675,1.6645120202057146,-14.732,-43.891,-0.047,40.67607763245337
-0.273,-7.636121260525561,-13.124,9.082,1.359,8.63514016858631,-1.047,58.913,3.125,2.004023745720321
11.319,4.884977488371291,1.697,-8.623,-2.356,21.93935029689388,2.57,39.341,3.996,49.158156848566875
0.38,20.926798519546843,5.787,-23.158,2.87,3.5294147484236444,2.904,-90.102,-1.564,-31.046371123625047
-1.993,-28.404320240299814,0.23,-8.081,-4.852,-4.183158723274884,0.222,-29.637,0.032,29.165784788547732
-1.935,7.7452922206671175,-0.883,-21.615,-2.474,-8.466725119344728,0.05,-14.49,7.151,-41.714011807672264
0.01,-3.0102665417155974,-3.761,-10.344,3.374,-1.5724706726898527,-1.326,-18.608,1.832,5.622824931895581
-3.792,16.729256847516908,-0.441,18.571,5.744,-11.378164324661222,-0.498,-64.613,7.879,31.915829765564432
-4.485,61.39676982826148,-2.274,18.309,-1.747,16.090747988842054,-9.108,-91.604,0.506,2.889964883651924
-0.744,8.967023760934152,-0.539,18.542,1.881,6.105154262075041,12.7,-110.101,-4.485,-17.562328611769225
0.381,28.735391162630194,-6.731,10.212,1.458,-2.749118782994943,4.394,-43.836,0.278,18.486320637616977
0.377,-37.45326171356114,7.383,-19.43,0.95,0.9025616037672108,27.313,-218.318,1.224,15.588270998184838
1.193,5.07373260670704,-16.005,-7.678,2.484,-13.372870631180014,11.311,-92.884,-3.319,-12.96851537057153
-1.71,34.411480242613806,3.085,-30.952,-0.419,-6.95098458560357,-0.078,61.459,1.021,-60.04198488343763
-1.528,-41.15728289004053,6.761,31.232,2.85,-0.5476261120054677,-7.219,-59.061,0.331,-85.04720475492738
2.271,18.722858545858717,-0.282,3.821,-0.086,-9.552605239682363,-3.739,30.513,8.831,25.245891435133686
-3.496,-15.676201802253306,16.291,-23.052,-0.241,2.704539765602211,0.001,48.932,0.139,34.832781398945905
-6.46,2.7237916588332416,4.584,5.991,3.213,-34.99612514112914,-5.266,132.417,1.979,58.63338128512946
