0,bull-tongue,filibusters,snowlines,cytopenias,caramelisation,effacement,limey
caramelisation,3.1,-11.3,10.5,-3.8,3.9,7.3,-3.1
bull-tongue,-8.1,3.2,4.0,-9.0,-12.7,-1.6,0.1
fluor-spar,-1.4,10.2,3.7,8.2,4.9,-2.0,-1.4
limey,1.0,8.4,-8.3,-3.2,-3.9,3.8,7.7
dissection,-5.1,-3.8,3.5,-5.4,6.2,9.0,-3.2
filibusters,-9.7,0.3,0.2,5.6,11.7,-2.2,7.9
perennibranch,4.8,-1.1,12.5,-10.8,-3.6,-1.8,-1.3
rhomboids,-7.5,-5.1,3.4,10.4,-11.3,8.9,-6.7
azithromycin,6.4,-3.9,3.1,6.7,-8.1,-15.2,4.8
Judaea,-3.5,-2.6,0.9,4.0,5.4,-7.5,-1.7
