0,Judaea,streptothricin,effacement,dissection,mastiffs,biblioclast,bull-tongue,lungers,fluor-spar,substitutes,spies,caramelisation,azithromycin,cytopenias,limey,snowlines,perennibranch,filibusters,augment,rhomboids
effacement,-8.8,-6.1,-3.6,-2.6,-0.0,2.8,8.5,-3.8,-4.2,-36.4,8.0,-0.7,-21.3,6.2,-5.0,5.2,1.1,-4.0,5.3,21.4
mastiffs,-16.1,2.3,18.1,25.4,-2.5,12.1,14.7,6.1,0.5,-5.4,8.5,15.4,-7.6,0.9,-1.3,-5.6,-3.0,9.5,-2.9,-3.4
azithromycin,17.2,7.2,-20.1,-20.2,-16.3,14.3,6.3,1.5,-14.8,-8.6,-4.5,-6.5,6.3,-10.0,-6.2,-4.2,1.6,-10.2,2.0,6.3
streptothricin,-10.7,15.5,-23.7,10.4,-2.3,-11.0,0.2,4.3,-4.1,-5.6,-11.2,-13.9,2.3,7.6,20.9,-2.8,-4.6,-2.1,9.7,-15.0
substitutes,17.1,-3.6,-16.1,3.5,-6.7,-12.1,-20.7,7.1,6.5,-11.3,0.2,0.7,5.0,17.1,-2.3,-3.5,0.0,20.5,-9.0,22.5
snowlines,3.5,-15.3,4.0,8.4,0.9,27.6,0.6,3.5,-9.7,10.6,1.4,0.3,-1.6,-3.8,-17.6,-13.3,20.2,8.0,9.6,-3.2
spies,-16.2,-14.1,12.0,-9.2,20.9,-7.5,-3.7,14.7,-2.4,-8.9,1.3,17.7,16.4,16.6,-2.9,-2.6,15.2,-3.8,6.2,-7.2
caramelisation,5.4,-23.0,8.8,-14.1,3.1,-18.6,-0.9,-9.9,5.8,-5.3,-15.9,-1.5,-17.1,-3.3,19.1,12.7,17.2,-3.0,5.9,-0.2
lungers,-15.5,10.7,-2.4,-11.3,-20.5,-12.4,14.6,4.3,-13.9,17.5,-10.7,9.7,-14.0,-25.6,1.8,14.5,12.2,-23.2,5.0,18.3
Judaea,-28.3,-13.4,-22.8,-1.3,16.5,5.4,4.3,-1.7,-3.7,16.5,-0.6,-13.2,3.6,20.0,2.0,-4.0,-4.0,-14.6,-23.1,-11.4
rhomboids,-4.5,4.1,13.6,-20.2,-9.8,-3.4,12.4,1.8,5.3,1.3,24.7,-7.4,5.7,20.8,14.3,-0.1,25.1,11.8,5.7,5.8
dissection,16.3,7.5,35.9,7.5,-12.8,-7.4,-6.2,12.9,11.6,19.8,0.7,-9.7,-22.6,-10.4,-20.6,-3.5,3.2,-12.3,-3.0,8.3
biblioclast,-3.2,29.4,3.5,-2.6,17.5,20.6,2.7,11.4,2.1,-14.5,4.0,3.6,22.7,-10.9,-13.4,7.9,9.3,-11.2,-17.2,11.2
