spies,filibusters
mastiffs,-21.288627568577972
mastiffs,-21.077159715345623
mastiffs,-18.054328387450997
mastiffs,-17.076110876807935
mastiffs,-16.278725569272716
mastiffs,-15.486465590850734
mastiffs,-15.155168471832823
mastiffs,-14.198878756319644
mastiffs,-12.788983149222172
mastiffs,-11.156513010821861
mastiffs,-10.62471392812084
mastiffs,-10.464962256363245
mastiffs,-10.369101932817237
mastiffs,-10.234914126908903
mastiffs,-9.862374482261274
mastiffs,-9.412100361750648
mastiffs,-8.854316047296548
mastiffs,-8.771482496747153
mastiffs,-8.729222427549844
mastiffs,-7.7013730151785555
mastiffs,-7.675953464449396
mastiffs,-6.731040586600256
mastiffs,-6.337280163787641
mastiffs,-6.164600303868607
mastiffs,-5.898259904220053
mastiffs,-5.625762936919203
mastiffs,-5.601673379974401
mastiffs,-5.199381816607248
mastiffs,-4.928155074263764
mastiffs,-4.669783504941358
mastiffs,-4.29900701965101
mastiffs,-4.2459207115518875
mastiffs,-3.578398849089255
mastiffs,-3.561939930550196
mastiffs,-3.4795873985403594
mastiffs,-3.4269085392223464
mastiffs,-3.3457180189369
mastiffs,-3.113112937962554
mastiffs,-2.8336355340920005
mastiffs,-2.653827923801639
mastiffs,-2.593547846950551
mastiffs,-2.557971991521672
mastiffs,-2.509847594186509
mastiffs,-2.3427726942774343
mastiffs,-2.233093692641756
mastiffs,-1.7629570822974863
mastiffs,-1.563188897703462
mastiffs,-0.6979826273365115
mastiffs,-0.6795930729017198
mastiffs,-0.6272905705534473
mastiffs,-0.48445154220994624
mastiffs,-0.47286970699569536
mastiffs,-0.19240974485973023
mastiffs,-0.009701835586681496
mastiffs,0.3896961425711946
mastiffs,0.5724531063554508
mastiffs,0.5820560780628402
mastiffs,0.5946873917022257
mastiffs,1.352778671390171
mastiffs,1.4404022662249394
mastiffs,1.52440164055614
mastiffs,1.8378853341840873
mastiffs,2.008551762695446
mastiffs,2.0799616554295963
mastiffs,2.1171070413594504
mastiffs,2.134898585274373
mastiffs,2.2060255479750563
mastiffs,2.2406844739286638
mastiffs,2.8322824110645795
mastiffs,3.026067125066828
mastiffs,3.203033539406157
mastiffs,3.291109922191084
mastiffs,4.151755228533208
mastiffs,4.3161833394252485
mastiffs,4.516464388142578
mastiffs,5.06965464217599
mastiffs,5.231120587147837
mastiffs,5.687834930815257
mastiffs,6.571987695841321
mastiffs,7.634621987821699
mastiffs,8.466847482382422
mastiffs,8.489184804646442
mastiffs,10.289119274866511
mastiffs,10.53610732582476
mastiffs,10.74055803085497
mastiffs,11.564319332151772
mastiffs,14.112029463937683
mastiffs,14.192232644680999
mastiffs,14.575580168667004
mastiffs,14.799429545295798
mastiffs,15.193816643655083
mastiffs,16.18185152762217
mastiffs,16.27184921911015
mastiffs,16.979972966218043
mastiffs,17.01798680837131
mastiffs,18.134065625208642
mastiffs,20.57551244080718
fluor-spar,-15.408726965875275
fluor-spar,-12.222528482897681
fluor-spar,-12.168328156161563
fluor-spar,-11.14430366354363
fluor-spar,-10.707329477187017
fluor-spar,-8.409202391424692
fluor-spar,-8.291378835368477
fluor-spar,-8.18222391233353
fluor-spar,-7.591941653639052
fluor-spar,-7.4680200201841265
fluor-spar,-7.340015837007279
fluor-spar,-7.2133627474808275
fluor-spar,-7.076592871061577
fluor-spar,-7.035412346419276
fluor-spar,-6.6356551319480355
fluor-spar,-6.2139567228127595
fluor-spar,-5.685101996516491
fluor-spar,-5.369643440345373
fluor-spar,-4.842011930076239
fluor-spar,-4.814731763747732
fluor-spar,-4.634524115303285
fluor-spar,-4.463429414666791
fluor-spar,-4.174022805263165
fluor-spar,-4.1087132560459185
fluor-spar,-4.0555902956879795
fluor-spar,-3.904084372806312
fluor-spar,-3.7710706463153874
fluor-spar,-3.3965805573474865
fluor-spar,-3.0083813380511963
fluor-spar,-2.8683620576274302
fluor-spar,-2.8213051874464066
fluor-spar,-2.6083293630050433
fluor-spar,-2.4661584264587297
fluor-spar,-2.354876440726472
fluor-spar,-2.2902861843940108
fluor-spar,-2.179114298253017
fluor-spar,-1.9593489376712765
fluor-spar,-1.4993663810754394
fluor-spar,-1.4850570197762842
fluor-spar,-1.4586268386622518
fluor-spar,-1.3760404023586859
fluor-spar,-1.3496132742362836
fluor-spar,-1.3214591102747142
fluor-spar,-1.223790482527366
fluor-spar,-0.8928268688504876
fluor-spar,-0.8916552715385262
fluor-spar,-0.8377655518025404
fluor-spar,-0.3753799517513504
fluor-spar,-0.3562978340609435
fluor-spar,-0.26679248784773507
fluor-spar,-0.20378215557040322
fluor-spar,-0.05086705023190461
fluor-spar,0.02045806172820606
fluor-spar,0.4826652609042976
fluor-spar,0.8554814716098501
fluor-spar,1.04799742876713
fluor-spar,1.1668559740978428
fluor-spar,1.3842785358189125
fluor-spar,1.8295891821369856
fluor-spar,2.1374382470876787
fluor-spar,2.291810426018457
fluor-spar,2.335946416077873
fluor-spar,2.4797769684727426
fluor-spar,2.8306275624757022
fluor-spar,2.8763705697354363
fluor-spar,3.2281186373974164
fluor-spar,3.310484103355108
fluor-spar,3.6827385960823733
fluor-spar,3.7033920977039934
fluor-spar,4.132584389526176
fluor-spar,4.5473439905871205
fluor-spar,4.631878343193009
fluor-spar,4.683860307734793
fluor-spar,5.179902939251784
fluor-spar,5.204711557702378
fluor-spar,5.286354366903495
fluor-spar,5.854534438027625
fluor-spar,6.45094214144673
fluor-spar,6.509807938520758
