0,caramelisation,bull-tongue,fluor-spar,limey,dissection,filibusters,perennibranch,rhomboids,azithromycin,Judaea,streptothricin,substitutes,augment,snowlines,lungers,biblioclast
substitutes,-19.5,8.4,23.4,14.0,-11.2,-22.0,-10.4,-3.8,-12.7,-13.0,17.8,25.1,-33.8,-16.3,-11.7,-2.1
perennibranch,4.3,23.9,2.1,-14.4,4.5,18.0,-13.0,-13.7,-15.6,-8.8,18.0,9.3,-15.7,-8.8,2.5,22.7
filibusters,-23.9,18.4,-4.0,-3.4,0.3,-3.1,-10.5,14.6,-3.4,-10.4,37.4,-17.2,-2.2,-3.0,-1.6,8.0
effacement,25.3,-7.2,19.0,-21.9,18.0,15.8,0.1,-4.2,-12.9,7.9,-9.9,6.0,4.6,10.6,16.3,-41.2
Judaea,20.0,-2.8,-5.1,-1.8,-14.4,14.8,0.9,-2.1,4.1,-3.6,-12.4,2.9,19.6,-7.1,19.1,19.5
streptothricin,12.2,-4.6,14.9,-3.0,-25.8,-13.6,-1.6,-4.5,13.3,14.7,-9.2,3.0,20.3,8.7,-3.9,17.6
cytopenias,-0.4,11.1,30.3,-6.6,-20.3,27.5,-11.2,-29.8,-0.8,-7.9,-19.1,4.0,-5.0,-27.9,3.6,-8.1
fluor-spar,-2.2,-10.1,-8.8,-20.9,18.1,20.8,12.4,12.9,-11.2,4.0,6.5,3.2,-15.8,-2.3,2.9,-11.5
spies,-20.3,-11.9,-8.1,-0.7,2.2,8.7,-29.3,-6.1,-2.5,14.6,10.1,-2.5,26.5,-11.2,-15.5,4.4
biblioclast,-8.0,6.5,10.1,11.4,20.5,19.8,6.9,-31.4,-0.5,17.4,21.5,2.8,21.4,-0.3,8.1,-3.4
dissection,3.0,-1.9,-9.3,-0.3,11.6,18.1,16.9,15.7,-12.8,-34.0,17.5,-7.6,-1.9,-5.0,-3.4,-3.5
snowlines,-14.1,0.3,-0.7,10.3,7.2,4.0,13.2,3.3,11.8,13.2,5.5,20.0,-18.0,15.5,10.8,-11.2
