snowlines,caramelisation
perennibranch,-4.08906623757964
perennibranch,-3.8483626556453183
perennibranch,-3.0840032371698807
perennibranch,-2.8231313269240195
perennibranch,-2.78910474431812
perennibranch,-2.634117670729811
perennibranch,-2.5934365969970736
perennibranch,-2.505294306353512
perennibranch,-2.430533522837347
perennibranch,-2.4158124215505645
perennibranch,-2.314624589119453
perennibranch,-2.1763007425514007
perennibranch,-2.0678110741560642
perennibranch,-2.0260118575475143
perennibranch,-2.020018187345309
perennibranch,-2.019943178863183
perennibranch,-1.7587562169222808
perennibranch,-1.6783186892660795
perennibranch,-1.581009138483452
perennibranch,-1.5017404387450748
perennibranch,-1.4007772836355605
perennibranch,-1.4004000965828036
perennibranch,-1.3787279541631436
perennibranch,-1.3440670918229494
perennibranch,-1.2937131694305712
perennibranch,-1.1051687448852898
perennibranch,-1.0929935680504372
perennibranch,-1.069154037336494
perennibranch,-1.0563828296993325
perennibranch,-0.9791223748928732
perennibranch,-0.9658623085465233
perennibranch,-0.9404285829533514
perennibranch,-0.866608460436867
perennibranch,-0.6580965766917604
perennibranch,-0.6306391511843344
perennibranch,-0.6284739059988315
perennibranch,-0.6076068541673082
perennibranch,-0.6069499989430854
perennibranch,-0.5965281646071999
perennibranch,-0.5683551275388459
perennibranch,-0.5396301873947997
perennibranch,-0.5095731668432426
perennibranch,-0.5060940395522321
perennibranch,-0.47555428361143653
perennibranch,-0.3363200682009812
perennibranch,-0.27570035889583666
perennibranch,-0.2738715286474029
perennibranch,-0.25643233223919926
perennibranch,-0.18290711556010175
perennibranch,-0.1739204035830409
perennibranch,-0.03869411999230818
perennibranch,-0.033494523997853146
perennibranch,0.04312582253691166
perennibranch,0.09104667643571505
perennibranch,0.09396535385560997
perennibranch,0.24196113672566338
perennibranch,0.25613891274303147
perennibranch,0.2865673978869
perennibranch,0.2884904280882427
perennibranch,0.29595828427939974
perennibranch,0.3089782217725635
perennibranch,0.3245302889015094
perennibranch,0.5117175533912396
perennibranch,0.5659684023746164
perennibranch,0.5782556783553959
perennibranch,0.6589807234180153
perennibranch,0.7467255085131973
perennibranch,0.7641717236100968
perennibranch,0.9979657572545146
perennibranch,1.1192199999813965
perennibranch,1.1964980732910986
perennibranch,1.2854641006610763
perennibranch,1.3489235151666057
perennibranch,1.4091480143918151
perennibranch,1.4750335110675141
perennibranch,1.5278276691036712
perennibranch,1.5440464601753698
perennibranch,1.5877387913616317
perennibranch,1.64214215947963
perennibranch,1.7468568129513868
perennibranch,1.78939233166689
perennibranch,1.870707549178036
perennibranch,1.924203763615297
perennibranch,1.9516750346579446
perennibranch,2.0462251481998557
perennibranch,2.214220619767663
perennibranch,2.329795352977088
perennibranch,2.566462352809351
perennibranch,2.7003594247124036
perennibranch,2.819310628506723
perennibranch,2.83134731839006
perennibranch,2.903190472907591
perennibranch,2.9417890925047723
perennibranch,3.108093604212177
perennibranch,3.603790994851058
perennibranch,3.8476818707698763
perennibranch,3.8924631249551496
dissection,-11.812954876267174
dissection,-9.354819109213897
dissection,-7.968131193917046
dissection,-7.9513520921179355
dissection,-7.534468997645885
dissection,-7.519204781662156
dissection,-7.375456191111886
dissection,-6.965418931180194
dissection,-6.945641493141639
dissection,-6.225420472817469
dissection,-6.191756707013444
dissection,-6.103135679588336
dissection,-5.766397598402662
dissection,-5.640601750269288
dissection,-5.537290359721404
dissection,-4.832419945576904
dissection,-4.799053663914293
dissection,-4.768501163653155
dissection,-4.413207242995521
dissection,-4.2694928655951205
dissection,-4.216664966889878
dissection,-4.204508303574862
dissection,-3.8872875286512785
dissection,-3.7206853687065506
dissection,-3.593925111785003
dissection,-3.329752074330851
dissection,-3.0576209286236056
dissection,-3.048218225375142
dissection,-2.9978730534299665
dissection,-2.8741111895233806
dissection,-2.7634460567761905
dissection,-2.6831326633097112
dissection,-2.494729392626035
dissection,-2.4941582945368688
dissection,-2.137397136248147
dissection,-2.136853992591161
dissection,-1.9635151129541548
dissection,-1.469470225050616
dissection,-1.1705976885451341
dissection,-1.1358494222719415
dissection,-1.076617816794077
dissection,-1.0373484950285732
dissection,-0.9021314754391203
