0,substitutes,perennibranch,filibusters,effacement,Judaea,streptothricin,cytopenias,fluor-spar,spies,biblioclast,dissection,snowlines,bull-tongue,caramelisation,augment,lungers
caramelisation,2.3,1.6,3.4,1.2,1.9,1.4,-7.9,1.0,1.3,6.1,1.9,5.2,-1.8,1.2,-1.0,-1.4
perennibranch,-5.1,-2.2,-3.9,-1.1,2.8,3.3,-7.0,4.0,-1.6,3.6,-0.3,8.4,-3.4,-2.9,-9.2,-7.5
filibusters,1.3,0.6,1.0,-3.0,6.2,-1.6,-0.3,-3.8,-5.2,-3.7,-4.4,3.2,-3.7,-4.5,-0.8,2.9
fluor-spar,-7.7,0.5,2.3,0.4,3.8,-0.0,-3.4,0.6,-6.4,3.6,-8.5,0.7,-2.9,-1.5,-2.8,-7.4
Judaea,-0.5,2.6,-0.2,-3.0,1.4,-5.7,6.4,4.5,2.1,-5.2,-2.1,-0.4,2.8,6.1,-10.4,-2.8
cytopenias,-5.7,-2.9,6.1,-5.3,4.2,-5.2,1.0,0.7,-0.0,-1.9,-6.1,-4.5,3.9,1.4,-2.1,-4.7
lungers,-9.0,-6.9,2.1,-2.4,2.3,-2.5,-7.9,-1.0,-0.1,-5.1,1.0,-4.4,-0.6,2.8,-2.2,3.3
mastiffs,0.9,1.5,0.8,0.5,-3.4,1.9,-3.5,-6.9,-2.9,0.4,4.3,-2.1,-5.4,4.4,6.5,-1.0
dissection,2.0,3.2,3.3,-0.1,0.6,-2.1,-3.6,-9.9,-3.2,-2.7,1.5,-1.0,-7.0,-2.2,2.3,1.7
limey,4.7,4.7,-5.8,0.3,1.0,7.3,0.7,-3.1,1.9,6.1,5.5,3.1,-4.1,5.7,-4.3,2.9
streptothricin,3.5,3.4,8.1,1.2,-6.1,-6.5,8.0,0.0,6.6,0.2,1.0,-0.1,-0.6,1.1,6.7,5.2
augment,-2.4,-5.6,-3.0,6.0,1.0,-0.2,6.1,-0.1,-0.6,5.1,-5.5,4.9,-3.5,-4.8,2.8,5.0
azithromycin,0.8,7.1,4.5,0.6,-0.5,-1.2,-4.8,8.6,-7.9,1.9,-8.7,0.4,-4.4,0.0,6.9,2.8
snowlines,10.9,2.2,6.3,0.7,-0.7,-3.6,1.2,7.2,-1.8,-2.0,-11.1,-7.4,10.1,-1.9,4.1,-0.5
effacement,6.3,1.6,1.8,-5.4,1.1,-3.3,0.2,-0.5,4.3,3.5,-0.1,-0.9,2.9,5.2,6.0,1.6
biblioclast,11.6,-0.8,3.1,1.9,6.6,-5.5,0.5,3.2,1.1,8.5,-5.3,0.2,2.4,0.7,-3.7,4.4
spies,-2.3,-0.6,0.1,6.8,3.5,-1.9,3.9,-3.1,-6.1,1.0,-2.9,-7.4,-2.8,2.4,-3.2,-8.1
substitutes,8.3,3.5,0.3,2.8,0.9,4.5,1.4,-0.5,-1.6,1.1,0.8,2.5,-2.8,0.6,-0.7,-11.0
rhomboids,-1.4,-7.2,-4.9,-2.9,-7.6,-3.9,-3.2,4.3,0.6,1.8,3.0,8.5,0.2,-5.7,-3.5,3.9
