0,caramelisation,perennibranch,filibusters,fluor-spar,Judaea,cytopenias,lungers,mastiffs,dissection,limey,streptothricin,augment,azithromycin,snowlines,effacement,biblioclast,spies,substitutes,rhomboids
snowlines,9.0,-2.7,-2.4,-3.3,-2.3,3.4,2.8,2.4,1.3,0.6,-1.9,-0.6,-0.2,-0.1,-0.6,-5.3,0.2,4.3,0.4
bull-tongue,-0.7,6.2,-10.5,-1.0,-1.3,-5.9,-5.9,-3.0,-0.6,-9.4,-5.4,5.6,-4.8,12.3,2.6,-11.6,1.8,3.1,-0.1
limey,6.5,2.1,8.0,-9.9,-3.1,-12.5,-3.5,0.1,0.5,-4.9,5.6,-11.0,9.1,0.1,9.1,-1.8,-8.5,3.4,4.5
spies,8.7,3.6,3.3,16.4,3.4,2.3,1.7,3.8,2.3,4.4,12.2,-4.6,-2.4,-4.3,-4.0,12.0,-2.3,-3.1,12.8
effacement,-4.5,-1.5,4.7,-12.2,4.7,7.4,1.5,-0.6,-1.1,4.4,-3.7,6.2,0.0,3.4,-8.2,-8.5,-10.2,11.4,10.2
rhomboids,-0.9,-0.3,-3.9,-4.3,-3.9,2.5,-2.0,-5.0,2.4,-12.3,-3.7,5.0,-7.1,-1.2,8.3,-6.7,-10.4,6.1,3.0
augment,5.1,-11.1,12.9,2.5,-2.4,-13.4,3.3,1.5,8.9,-9.7,-16.9,-4.5,-4.7,3.0,6.3,1.0,-4.6,-3.1,-3.7
cytopenias,5.6,3.0,-1.6,4.6,-9.9,5.3,-5.8,3.0,-7.7,-8.3,2.5,2.6,0.8,0.0,2.9,-2.8,2.6,-2.2,-7.0
lungers,12.0,8.5,3.6,1.8,15.2,1.5,-5.2,-4.6,-6.1,-6.2,0.7,1.1,0.5,0.5,-0.5,-7.6,0.4,-9.3,-2.8
Judaea,-2.7,5.4,-6.8,-3.9,-1.1,7.4,-1.3,-3.6,5.6,2.2,6.3,-9.2,3.9,-3.3,-2.8,-2.6,3.5,-7.8,4.1
caramelisation,5.1,-0.4,-0.6,7.0,1.2,-1.8,4.8,-4.8,-3.6,8.6,-2.7,-5.7,4.3,4.7,2.4,-4.5,-0.3,4.0,-7.6
streptothricin,-9.7,0.2,-15.7,8.6,3.8,-1.1,-3.4,9.5,-0.7,-3.5,1.4,-0.9,1.0,-1.3,4.4,-4.3,-1.5,-1.1,-10.8
