augment\perennibranch,biblioclast,dissection,effacement,cytopenias,spies
0,59.45855236611344,61.402350799116334,62.71633237125333,62.621444812287244,69.65626542699643
1,63.51155527931995,67.67127332322974,58.79196120758609,65.55821203133067,69.85293813434369
2,64.6814543249224,54.60154768301434,62.9783585165426,61.243835044069094,67.08497476372861
3,60.98061594621406,58.3164093829971,62.15317229521957,59.19488336867201,62.3873717422142
4,66.73555362984514,74.0758465552354,63.493117775411946,64.54557329085462,68.40070674012135
5,59.47993068279745,59.293325362795684,58.077876243674865,60.766236727140125,70.96889242466796
6,58.79958468671911,66.25785221450197,63.82422295497517,68.70465182011937,63.29697601668369
7,57.9433255059686,66.5396302209132,66.18451072856547,60.081162723261706,69.33363398815767
8,64.55484474979457,80.4625483576618,62.98551176973896,65.59988841260905,66.93526658212429
9,66.10439569202305,60.98951750091298,61.73488476188127,59.6299654511356,69.53205752607452
10,59.414622338072334,50.46988162999635,65.46426178688309,60.698629094271155,70.41837440586933
11,58.572461188672214,67.85930515222505,63.675476692415685,62.6423201942017,70.68267126724898
12,54.059560755169535,63.74035164426503,61.37849515312873,71.67508457664704,67.5815190555617
13,57.23714994429256,77.31138301310035,60.36260322168796,61.9551093631717,70.7216679459305
14,60.06309656650525,58.19955982465399,62.12118796694267,62.69576318869295,68.43014320105667
15,62.24958714726024,76.23750048908143,63.924506953366716,59.07300534557088,65.07295518576586
16,58.9580065220766,52.6988573108252,67.11096683002222,62.82449091925404,64.39982145718587
17,70.3805808435333,63.89560206443048,67.14573999251071,57.42165038178788,66.83225283470094
