substitutes,dissection
limey,-19.052746738470677
limey,-17.571237487061378
limey,-16.42846144504629
limey,-16.344922205004146
limey,-15.520735105501556
limey,-15.159730417691057
limey,-14.714612959779117
limey,-14.496540991142346
limey,-13.864039285295123
limey,-12.92638337299871
limey,-11.336687199796248
limey,-11.309189842783976
limey,-10.30452567687568
limey,-10.078300535043255
limey,-10.045074431338794
limey,-8.424654543774317
limey,-8.274190162993259
limey,-7.945867277568555
limey,-7.6890222549315155
limey,-7.300172300787749
limey,-7.241123590145939
limey,-5.671354786731752
limey,-5.437713089259602
limey,-5.329188237891488
limey,-4.532826946482306
limey,-4.530627273023921
limey,-4.412610806493797
limey,-4.389911705208387
limey,-4.082593802929175
limey,-4.050693739942514
limey,-3.7131286770640233
limey,-3.5825282060974635
limey,-3.332047203123503
limey,-3.2705674762962746
limey,-2.9692239536800344
limey,-2.722203762980465
limey,-2.620943944281651
limey,-2.4567602746519728
limey,-2.3277265030827645
limey,-2.060377988591564
limey,-1.999023540898036
limey,-1.8144086629668998
limey,-1.6588442599333073
limey,-1.214975554335587
limey,-1.036212084963022
limey,-0.7786426835233424
limey,-0.6432690697821096
limey,-0.6308692833447401
limey,-0.5615008220452424
limey,-0.23711848876299535
limey,0.20576146263137407
limey,1.2138824974310247
limey,1.2625063414680484
limey,1.5401549930294023
limey,1.6691198068278545
limey,2.2350332100394588
limey,2.3814714088981557
limey,2.387554010143548
limey,2.426070512610911
limey,2.5971866487547097
limey,2.6328730307359844
limey,2.743064993676261
limey,2.826152490972253
limey,3.5177518987834095
limey,3.561297969316363
limey,4.120876591832699
limey,4.9465816677789345
limey,5.06818044287341
limey,5.711326610282906
limey,5.87445837038821
limey,5.970038939515584
limey,6.0597727685414275
limey,6.277437060068648
limey,6.39294134271218
limey,7.221324577116232
limey,7.330051398223161
limey,7.560109585016615
limey,7.61331054431266
limey,7.633133504981866
limey,7.66673400993548
limey,7.984723017979517
limey,8.031449321412524
limey,8.342402459665802
limey,8.50920426667146
limey,8.73434489450448
limey,8.895376735054787
limey,9.056749576323137
limey,9.237234825913106
limey,9.414966532039497
limey,9.777470068974464
limey,10.360603628314182
limey,10.506751589551257
limey,12.351808982783187
limey,12.818169263414923
limey,12.94749625044768
limey,13.703998951554412
limey,14.559713829366776
limey,18.64336233902272
limey,24.035984589511582
limey,24.395958593826894
cytopenias,-0.15286364381510845
cytopenias,-0.14222489585415424
cytopenias,-0.13207367236452522
cytopenias,-0.11713873939487768
cytopenias,-0.10420736814651854
cytopenias,-0.09771918613323702
cytopenias,-0.08894587684735342
cytopenias,-0.08829241121842281
cytopenias,-0.08505685669412141
cytopenias,-0.08098098265482441
cytopenias,-0.07876780227554697
cytopenias,-0.07690969237857637
cytopenias,-0.07324969018285812
cytopenias,-0.06642095599444006
cytopenias,-0.06462561951885377
cytopenias,-0.06373446452988829
cytopenias,-0.06296390901400249
cytopenias,-0.06239119592775625
cytopenias,-0.06164680264189822
cytopenias,-0.05624481416678121
cytopenias,-0.05606216813445394
cytopenias,-0.053614448287903606
cytopenias,-0.05360839364450682
cytopenias,-0.05263646927682493
cytopenias,-0.05103758721032816
cytopenias,-0.04733442382069363
cytopenias,-0.04582075013671932
cytopenias,-0.045725997527756794
cytopenias,-0.04272409285570653
cytopenias,-0.04018420319482984
cytopenias,-0.036485240556677914
cytopenias,-0.0358314204273168
cytopenias,-0.035611298104711676
cytopenias,-0.031031325327828752
cytopenias,-0.030077142338172682
cytopenias,-0.028889720137926456
cytopenias,-0.027375926497268988
cytopenias,-0.026568436370119655
cytopenias,-0.02509546791514363
cytopenias,-0.024741589136984248
cytopenias,-0.024211319298963866
cytopenias,-0.021480162477238964
cytopenias,-0.014169300485313535
cytopenias,-0.010904278765388868
