0,snowlines,bull-tongue,limey,spies,effacement,rhomboids,augment,cytopenias,lungers,Judaea
dissection,6.1,-1.3,-15.2,0.7,12.4,14.8,-5.8,-4.5,1.6,7.4
effacement,-13.9,1.1,-0.0,3.8,-9.2,1.9,-3.9,-2.5,7.5,-7.2
cytopenias,-11.8,-14.1,17.5,-0.9,-3.0,7.6,-17.6,-26.0,-0.2,-18.1
streptothricin,-18.4,24.4,-7.6,14.3,-11.3,-8.0,2.9,9.2,12.2,17.9
augment,-3.8,10.5,-12.2,12.8,-8.8,5.9,6.1,20.5,12.7,7.5
rhomboids,-3.1,5.9,11.4,2.2,-8.7,-7.2,-12.2,-4.8,-14.2,-10.1
substitutes,1.1,-1.0,-9.7,-12.6,2.8,10.7,-2.9,1.7,11.1,21.9
biblioclast,-24.0,4.0,6.2,0.7,-4.2,6.2,1.1,7.4,5.5,1.5
azithromycin,-14.6,9.4,-8.5,18.1,-16.5,-3.9,8.2,3.4,21.2,16.3
fluor-spar,4.0,-1.4,-0.3,9.9,-2.6,-11.2,-5.5,-0.5,19.0,-7.1
filibusters,8.3,2.5,-7.1,9.4,-1.4,11.2,-11.3,2.8,4.1,-11.3
