dissection\fluor-spar,limey,cytopenias,filibusters,bull-tongue,caramelisation,mastiffs
4,27.537646038560393,26.510793149827936,21.872355806209068,31.525400375399734,23.60911308524654,31.13340964172274
5,10.839201393253212,25.565957259511514,19.778589520861303,25.23803151127415,33.841697399861125,32.106370156030344
6,17.528159806204975,41.312620993995054,18.142292174909254,27.050263301089057,19.20644982448806,25.928588192445574
7,15.029977412836786,20.829282601996475,15.084070456311853,26.92642708512799,21.420084916742148,33.77538892226026
8,21.538356637570697,26.775357616032558,22.225765149470497,28.611690151844225,23.807641480078612,31.623028631410584
9,12.629683285243866,28.047747547583725,18.434075034279477,23.51561948574919,27.681999276941887,26.511032475191122
10,32.71194132211022,20.153872161970646,20.880226988227534,29.078539690278593,26.90944393042265,26.968341153225193
11,12.280855628272597,39.60866855481976,23.367117228611686,26.187270310384005,23.023579857486666,43.54959464174253
12,28.147078040476124,30.206798970625215,16.654672189777646,21.60272974616506,27.74049134313638,45.51285361829417
13,41.16313122420762,29.170964953486035,15.1331859542844,31.31219328183706,27.52794907054462,43.34620276643162
14,32.9872962187101,29.461690268531,18.648880241865363,27.014589846855152,40.74865638623103,35.42050022327645
15,25.25247226460038,23.458514956644194,18.979938935030646,31.175746883855574,19.250702031695162,54.78214727447195
16,7.710912366563814,29.925610961410325,20.005044373891096,33.39694141123997,28.50336589175612,22.362420644967507
17,12.624855262048648,47.71854796779718,17.904950090951452,30.25548337120168,27.374459165181776,34.50806552418864
18,28.12419552212898,27.99937381443197,19.384609172967888,26.781292412348375,21.309374955259948,39.469744281140095
19,24.321330469211464,11.338370604491189,21.43287963198347,31.583447274382657,26.32897886794344,28.47052433536081
20,17.99602352178205,22.729087709865297,14.512584448183578,24.132432747751363,30.073403318259494,35.34020218832229
21,11.638496395672504,19.21727921519949,15.383906953420867,24.74996295137274,41.12858276566482,26.96252416318401
22,31.138411159929383,24.966160359240753,12.752131172834684,26.163722546955615,29.91065539762387,24.50564238455971
