cytopenias\lungers,fluor-spar,biblioclast,bull-tongue,rhomboids,azithromycin
-5,52.44388979900755,43.31819617254761,43.10083944585722,48.44185373214904,53.422077137013034
-4,56.040466787667846,41.66076578781495,34.5639981669298,42.58070993388942,53.998235452744886
-3,57.2195872220654,46.127017478610455,44.60708670315374,50.09312130149133,47.76625112355486
-2,47.65706218514839,47.46064431814351,44.093462922504905,40.82816023258187,41.728011838739704
-1,51.11200703780718,39.9541780383875,50.92066329976168,34.299025003348554,47.073039176516545
0,55.38733289081643,40.29835363389166,38.56974395949703,52.65351166366531,50.23803149379606
1,41.483518830129185,42.69149293639584,41.04352288528707,46.86235696018996,57.19398206234948
2,59.13033031651179,47.76736494018399,49.16761420970977,38.25409795524186,52.543224411979054
3,55.82198174400721,44.404503763625286,43.9987731558331,38.81690810798019,36.5828152162915
4,44.778572692398406,39.01645266264322,44.42168031699081,46.35514743851326,52.32214334663748
5,57.29057387726483,44.15345550065389,44.93199033393942,52.74958041868612,50.84589368097443
6,57.04459991481855,44.560850507207284,41.68950542491857,45.31491022978532,38.312495671868305
7,58.708779431402185,43.998388713736375,45.7022996988415,47.28673681961598,41.50109298292287
8,44.32763134453498,47.112338908986004,43.43329660418218,24.228324637127752,44.97697281841223
9,52.403626792907055,44.29588399509139,41.00229278360472,49.89002511818515,63.508577824523286
