0,fluor-spar,filibusters,substitutes,augment,cytopenias,caramelisation,Judaea,rhomboids,snowlines,limey,lungers,effacement,bull-tongue,perennibranch,dissection,spies,streptothricin
Judaea,-0.1,-0.7,-1.2,0.7,0.3,-0.1,-1.2,0.6,0.8,0.5,-0.5,0.7,-0.4,1.2,0.3,-0.5,-0.2
streptothricin,-0.4,-0.0,-0.4,0.8,-0.5,0.3,-0.4,-1.0,0.4,0.6,-0.3,-0.8,0.9,-1.1,0.2,-0.1,0.1
effacement,-0.0,0.2,0.3,-0.3,-0.4,0.1,0.3,0.4,0.9,-1.0,-0.4,0.0,0.5,0.4,0.7,0.0,0.3
dissection,-1.0,0.5,0.0,-0.2,-0.3,-0.5,-0.7,-0.5,-0.5,-0.5,-0.4,0.6,0.4,0.6,0.4,-0.7,0.1
mastiffs,0.5,0.1,0.9,0.2,-0.7,-1.2,-0.4,0.6,0.8,0.6,-0.5,0.0,0.6,1.1,-0.1,0.3,0.2
biblioclast,-0.1,-0.6,-0.4,-0.3,0.3,-0.2,0.5,0.0,0.7,-0.4,-1.1,0.9,-0.0,0.0,0.5,-0.8,0.8
bull-tongue,0.9,-0.5,-0.1,-0.4,1.4,-0.4,-0.5,0.6,0.1,0.6,-0.3,0.1,0.1,0.8,-0.0,0.0,-0.5
lungers,0.5,-0.4,-0.1,-0.4,1.5,-0.1,0.1,0.0,-0.1,0.4,-0.5,-0.6,0.0,1.5,0.7,-0.4,0.9
fluor-spar,-1.1,-0.1,0.4,0.3,-0.3,0.1,0.8,-1.3,0.4,0.1,-0.2,-0.5,-1.3,-0.1,0.1,0.1,0.1
substitutes,-0.4,-0.0,-0.0,0.2,-0.7,-0.5,-0.8,-0.1,0.4,-0.4,0.1,0.0,1.3,0.3,-1.1,-0.3,-0.6
spies,0.4,0.4,-0.9,0.3,0.3,-0.6,0.2,-0.6,0.4,-0.2,-0.4,0.3,-0.7,1.2,0.4,0.5,-0.6
caramelisation,-0.5,0.5,0.3,1.1,-1.0,0.2,-0.1,0.7,0.9,-0.6,0.5,-0.9,-0.0,0.5,-0.6,-0.2,0.4
azithromycin,0.6,0.2,0.4,-0.3,-0.0,0.7,0.4,0.7,0.3,0.6,0.3,0.5,0.3,0.5,0.1,-0.5,0.4
cytopenias,0.2,0.0,0.1,0.3,-0.1,0.8,0.1,-0.5,-0.6,-0.1,-0.5,-0.6,-0.0,0.3,-0.2,0.7,0.2
