x_fluor-spar,y_fluor-spar,x_biblioclast,y_biblioclast
-71.702,-10266.423,-70.99,1505.435
-70.691,-9969.865,-69.984,1795.928
-69.681,-9646.479,-68.978,1584.759
-68.67,-9369.477,-67.972,1582.671
-67.659,-9108.957,-66.966,1057.144
-66.649,-8832.785,-65.96,1600.924
-65.638,-8546.359,-64.953,1027.498
-64.627,-8257.441,-63.947,1199.247
-63.617,-8005.082,-62.941,923.115
-62.606,-7722.483,-61.935,1477.922
-61.596,-7535.256,-60.929,1557.667
-60.585,-7172.729,-59.922,1118.264
-59.574,-6990.101,-58.916,1075.272
-58.564,-6690.733,-57.91,972.554
-57.553,-6374.89,-56.904,997.65
-56.542,-6209.957,-55.898,1203.281
-55.532,-5854.848,-54.891,873.778
-54.521,-5707.592,-53.885,1116.432
-53.51,-5496.87,-52.879,792.02
-52.5,-5331.833,-51.873,688.937
-51.489,-5072.046,-50.867,684.685
-50.479,-4881.907,-49.86,698.188
-49.468,-4606.357,-48.854,1135.87
-48.457,-4431.306,-47.848,662.089
-47.447,-4268.464,-46.842,544.084
-46.436,-4035.047,-45.836,1137.337
-45.425,-3863.412,-44.83,948.37
-44.415,-3666.942,-43.823,1054.393
-43.404,-3554.832,-42.817,633.694
-42.393,-3275.138,-41.811,579.882
-41.383,-3141.892,-40.805,451.171
-40.372,-2949.184,-39.799,145.068
-39.362,-2752.783,-38.792,350.899
-38.351,-2628.324,-37.786,377.523
-37.34,-2484.488,-36.78,621.125
-36.33,-2267.423,-35.774,497.419
-35.319,-2233.206,-34.768,328.221
-34.308,-2108.675,-33.761,154.092
-33.298,-1976.589,-32.755,492.36
-32.287,-1802.01,-31.749,395.86
-31.276,-1681.571,-30.743,440.497
-30.266,-1500.707,-29.737,-40.687
-29.255,-1431.412,-28.73,117.299
-28.245,-1328.471,-27.724,-395.532
-27.234,-1201.931,-26.718,154.642
-26.223,-1149.547,-25.712,-8.767
-25.213,-987.556,-24.706,219.12
-24.202,-891.595,-23.7,8.494
-23.191,-776.336,-22.693,322.963
-22.181,-740.808,-21.687,59.665
-21.17,-630.298,-20.681,-101.529
-20.159,-576.921,-19.675,-55.797
-19.149,-518.751,-18.669,247.661
-18.138,-477.123,-17.662,-19.856
-17.128,-345.071,-16.656,146.306
-16.117,-310.795,-15.65,80.389
-15.106,-213.765,-14.644,-72.904
-14.096,-228.589,-13.638,268.067
-13.085,-246.411,-12.631,361.761
-12.074,-121.768,-11.625,-226.585
-11.064,-81.256,-10.619,-94.973
-10.053,-51.037,-9.613,-366.542
-9.042,-62.136,-8.607,9.428
-8.032,30.074,-7.6,-63.356
-7.021,25.593,-6.594,9.419
-6.011,-81.974,-5.588,235.729
-5.0,16.746,-4.582,-11.388
-3.989,-1.651,-3.576,-248.364
-2.979,29.166,-2.57,352.737
-1.968,25.432,-1.563,-115.891
-0.957,6.49,-0.557,-115.125
0.053,24.119,0.449,27.713
1.064,26.914,1.455,-110.791
2.075,-18.058,2.461,-132.847
3.085,-42.986,3.468,-70.32
4.096,-103.944,4.474,-258.053
5.106,-154.044,5.48,-67.866
6.117,-150.839,6.486,169.396
7.128,-235.027,7.492,329.734
8.138,-264.551,8.499,-318.837
9.149,-305.902,9.505,-201.837
10.16,-469.893,10.511,-51.265
11.17,-476.673,11.517,-65.58
12.181,-539.867,12.523,129.32
13.192,-558.207,13.53,142.507
14.202,-653.753,14.536,6.336
15.213,-748.068,15.542,11.66
16.223,-820.261,16.548,146.472
17.234,-908.169,17.554,-286.164
18.245,-1018.766,18.56,4.222
19.255,-1205.657,19.567,363.42
20.266,-1262.915,20.573,438.508
21.277,-1369.806,21.579,-51.672
22.287,-1490.302,22.585,-135.802
23.298,-1560.471,23.591,65.403
24.309,-1673.183,24.598,354.496
25.319,-1772.602,25.604,725.966
26.33,-1989.122,26.61,122.78
27.34,-2099.192,27.616,314.136
28.351,-2273.041,28.622,278.35
29.362,-2432.605,29.629,445.274
30.372,-2510.53,30.635,161.068
31.383,-2680.473,31.641,308.296
32.394,-2839.181,32.647,204.704
33.404,-3009.065,33.653,330.767
34.415,-3194.084,34.66,801.526
35.426,-3288.717,35.666,47.302
36.436,-3586.709,36.672,562.689
37.447,-3646.386,37.678,241.327
38.458,-3959.077,38.684,664.773
39.468,-4140.643,39.69,699.06
40.479,-4270.047,40.697,731.211
41.489,-4402.504,41.703,696.938
42.5,-4731.936,42.709,800.479
43.511,-4929.414,43.715,677.608
44.521,-5083.686,44.721,727.821
45.532,-5317.158,45.728,720.091
46.543,-5564.086,46.734,852.098
47.553,-5729.356,47.74,725.531
48.564,-6009.072,48.746,1073.526
49.575,-6206.023,49.752,856.863
50.585,-6545.465,50.759,891.343
51.596,-6713.634,51.765,903.681
52.606,-6987.438,52.771,711.575
53.617,-7210.396,53.777,850.751
54.628,-7446.148,54.783,924.991
55.638,-7726.993,55.79,1339.696
56.649,-7960.438,56.796,1052.244
57.66,-8242.893,57.802,954.141
58.67,-8565.152,58.808,1110.137
59.681,-8856.743,59.814,985.349
60.692,-9058.398,60.82,1257.542
61.702,-9400.621,61.827,1393.403
62.713,-9715.875,62.833,1172.697
63.723,-9991.391,63.839,1158.173
64.734,-10364.127,64.845,1590.935
65.745,-10605.714,65.851,1403.347
66.755,-10873.231,66.858,1620.497
67.766,-11291.1,67.864,1614.838
68.777,-11589.679,68.87,1730.315
69.787,-11894.838,69.876,1534.476
70.798,-12212.967,70.882,1668.835
71.809,-12532.675,71.889,1911.283
72.819,-12879.397,72.895,1773.488
73.83,-13231.872,73.901,1861.655
74.84,-13621.901,74.907,1616.828
75.851,-13912.728,75.913,2203.061
76.862,-14315.54,76.92,1848.446
77.872,-14672.046,77.926,2032.584
78.883,-15048.697,78.932,2092.648
79.894,-15311.283,79.938,2101.381
80.904,-15741.737,80.944,2088.246
81.915,-16141.26,81.95,2442.672
82.926,-16588.465,82.957,2375.948
83.936,-16920.904,83.963,2343.621
84.947,-17339.132,84.969,2386.895
85.957,-17642.255,85.975,2328.441
86.968,-18143.398,86.981,2482.909
87.979,-18551.936,87.988,2733.047
88.989,-18911.844,88.994,2218.285
90.0,-19377.248,90.0,2621.601
