0,bull-tongue,cytopenias,filibusters,mastiffs,rhomboids,Judaea,caramelisation,lungers,perennibranch,biblioclast,substitutes,spies,snowlines,streptothricin,limey,effacement,dissection,fluor-spar,augment,azithromycin
biblioclast,-15.7,-14.0,7.3,-14.7,4.9,5.7,-22.5,-10.0,-0.6,4.7,14.3,1.8,3.9,-5.2,16.6,-0.4,-1.6,6.0,-0.2,1.9
streptothricin,2.7,-14.1,26.3,-3.7,-5.3,-13.7,2.0,-11.0,-11.4,15.5,1.9,-28.9,10.0,11.5,-9.8,-0.0,-11.3,1.1,9.0,-12.1
cytopenias,-5.3,5.9,-7.9,-8.2,-3.6,-3.1,1.4,18.7,20.5,22.6,-0.0,15.2,-5.4,10.3,5.8,6.2,-11.7,12.1,-6.8,-24.0
fluor-spar,16.3,0.3,-11.5,-2.7,-13.6,-20.1,11.5,-19.0,-7.5,17.9,-19.2,-5.8,14.8,6.3,-8.4,0.4,-5.0,2.1,-5.4,-8.6
azithromycin,2.9,-10.5,0.6,7.2,22.5,-8.2,0.2,-3.1,-10.4,12.7,13.8,3.9,14.7,-9.3,-7.0,-11.0,7.1,17.8,-5.0,0.1
snowlines,20.1,17.8,-4.2,-14.5,-18.4,2.3,5.5,5.2,-10.8,13.4,4.8,-13.0,-6.9,15.5,-6.0,-2.8,6.4,-2.2,-7.0,-7.2
substitutes,-13.9,7.4,0.8,-16.2,-21.0,-1.4,1.8,5.7,21.3,-1.7,-2.9,-5.5,-20.9,8.3,6.0,-18.6,-1.1,7.7,-2.9,26.1
filibusters,0.9,14.1,27.1,0.0,2.6,14.8,-8.1,-16.9,-1.4,-2.8,-13.9,-14.4,-5.2,-0.5,-5.2,3.2,-17.8,15.9,6.2,15.5
Judaea,20.8,-13.6,3.4,10.0,-11.8,-0.8,-13.7,8.4,-21.0,16.5,11.8,-15.1,-11.6,7.8,-2.1,8.6,-3.2,-22.0,-3.5,-9.2
mastiffs,30.2,8.8,-3.9,-5.3,-4.5,-9.3,-1.3,-15.9,1.5,7.2,-9.1,2.0,9.1,-1.2,-9.8,17.9,-5.2,2.1,-6.7,-6.4
augment,-18.2,12.9,-2.1,1.2,8.4,7.3,-9.0,-6.4,9.3,10.0,2.6,-10.2,16.3,-14.7,-11.6,9.1,19.2,2.8,-6.0,-16.9
effacement,7.0,1.0,0.1,-3.3,2.1,-3.8,7.3,2.1,-7.1,4.0,-1.1,-5.9,-2.5,-0.3,-6.4,-5.3,7.4,-3.1,-4.5,1.1
caramelisation,-8.9,-3.1,6.2,11.2,-19.4,9.7,-3.3,-21.1,-9.3,-9.4,-6.6,-11.1,-25.2,4.9,-16.9,-13.6,7.4,18.1,-8.4,9.2
lungers,-0.5,-6.9,12.3,-1.0,-6.7,-7.1,-4.6,7.0,23.2,-1.1,4.3,-1.8,2.3,-6.9,-1.8,19.0,10.5,-1.9,8.9,-11.7
rhomboids,8.6,12.5,-2.8,-7.1,4.7,0.9,-14.8,-16.5,3.8,-11.1,14.1,5.8,8.4,4.3,-2.0,-0.4,5.8,9.3,-11.0,-1.9
limey,5.8,14.3,-1.2,0.8,-6.1,4.0,2.9,12.0,-9.7,6.1,5.2,13.0,-9.6,-0.5,-18.2,1.7,3.9,1.6,-15.7,-6.2
spies,1.8,-12.4,1.4,16.0,-3.0,10.5,-14.8,-12.9,7.5,-4.7,9.0,7.6,9.7,3.2,1.6,22.3,11.5,-5.0,-10.7,5.2
dissection,8.7,0.9,-3.3,-5.2,0.3,6.5,7.7,-0.6,25.4,-9.6,5.9,10.0,-5.7,-14.2,-6.4,7.4,10.8,-10.1,7.9,8.8
bull-tongue,25.1,7.9,-6.9,12.3,-1.6,-8.2,5.3,-14.5,-6.9,23.3,2.0,-7.3,15.4,17.1,-7.5,9.6,0.3,24.1,-2.8,7.7
perennibranch,15.5,3.1,2.7,0.4,16.7,-0.3,-4.1,-13.2,-4.5,3.9,18.1,-8.4,15.8,-12.0,-9.5,10.4,0.0,5.6,-3.3,10.5
