0,biblioclast,streptothricin,cytopenias,fluor-spar,azithromycin,snowlines,substitutes,filibusters,Judaea,mastiffs,augment,effacement,caramelisation,lungers,rhomboids,limey,spies,dissection,bull-tongue,perennibranch
augment,2.1,4.5,6.2,0.9,-0.6,-1.0,-7.2,-10.1,0.6,-2.2,3.6,7.3,0.1,-3.5,6.7,2.4,5.1,-0.8,-4.2,4.5
dissection,3.6,-1.3,-12.6,7.1,2.3,20.6,-0.4,-6.1,-0.9,-7.8,2.3,1.8,0.6,3.9,2.4,-9.6,-9.6,5.6,5.2,-11.3
lungers,-12.9,-2.7,-6.2,-3.1,5.1,4.5,7.4,-15.8,-3.9,4.1,0.9,2.1,-10.8,4.4,-5.5,9.5,-6.6,0.5,4.3,6.9
caramelisation,17.8,-13.0,10.2,-4.4,-1.7,-4.1,0.8,-18.3,2.5,1.4,-1.9,4.1,-1.6,2.3,-1.3,5.9,-8.8,-15.9,1.9,15.8
limey,-7.5,2.4,4.3,-1.9,1.7,3.4,-4.6,1.7,2.6,4.7,-10.5,-1.3,-0.9,0.5,-4.3,2.0,-0.8,-2.7,5.4,-4.1
substitutes,7.6,9.1,15.6,1.4,-5.8,-7.5,0.9,-6.3,-6.5,12.2,-1.5,13.7,19.5,11.2,-12.2,-0.3,-2.6,-3.0,-8.3,-2.2
biblioclast,-5.8,-0.9,2.4,-2.4,-8.7,-4.3,-8.2,1.8,3.9,-3.1,7.9,14.5,-2.9,-7.2,2.2,5.7,-8.7,-6.0,-17.2,17.3
azithromycin,-1.9,-4.9,-3.9,-1.0,4.3,-2.9,-9.2,2.8,1.7,5.4,6.7,7.3,-4.0,14.3,-5.9,0.7,4.7,3.4,11.4,4.8
spies,-2.8,-1.9,-3.8,4.5,3.9,-11.2,-3.0,9.1,10.2,3.3,4.0,2.8,-9.1,7.8,-8.6,3.9,13.7,-7.8,1.8,-0.9
bull-tongue,-16.9,-7.0,2.2,-19.4,12.2,-0.9,-7.6,4.2,-0.5,12.4,-2.4,2.2,-0.8,5.4,-0.9,1.9,-5.6,-0.9,-3.2,7.4
mastiffs,-14.5,-2.3,1.0,5.9,-7.7,-1.8,-7.3,4.7,16.1,-4.1,2.4,-20.9,-5.3,1.3,-9.1,-2.0,-4.6,-13.2,-1.2,0.5
snowlines,-0.8,7.7,-4.7,-14.2,-8.6,-1.4,-1.0,0.5,-5.8,-8.3,7.0,12.6,7.8,-6.3,-3.7,4.4,-2.5,4.3,-4.2,4.4
cytopenias,0.4,-11.1,-2.7,-1.6,2.7,6.1,11.2,1.6,3.8,-15.4,0.3,-8.5,9.6,-12.1,2.7,8.8,5.4,2.5,11.4,1.7
filibusters,-7.4,3.2,4.9,-1.2,2.2,4.7,6.1,-2.5,2.4,-0.4,1.1,-1.3,2.3,1.2,2.7,5.0,6.8,13.0,12.4,10.3
fluor-spar,-1.2,-17.9,5.0,-8.3,17.4,-0.5,3.0,2.6,-2.8,-8.4,8.1,10.8,0.4,-8.0,1.1,6.4,13.7,1.9,7.1,0.8
streptothricin,12.3,0.2,4.6,1.7,6.7,-13.6,2.7,-10.1,-5.2,-12.1,12.2,-7.9,2.1,1.7,-3.6,4.3,-4.4,1.5,-10.9,3.4
perennibranch,5.3,-5.3,4.8,-4.5,0.8,9.6,13.3,-1.8,-4.7,-9.0,-6.4,12.2,2.7,3.9,-2.0,-1.2,3.9,-11.6,8.9,-5.6
Judaea,1.3,-13.3,3.3,6.4,-14.5,-11.8,2.1,-7.1,-3.3,-2.4,-9.6,0.8,2.9,-3.6,5.7,-1.1,-4.7,-2.8,-8.6,-10.7
