cytopenias,caramelisation
effacement,-15.58790217150439
effacement,-15.137590403790126
effacement,-14.612813420389207
effacement,-13.187559253802794
effacement,-11.996176906147909
effacement,-11.18928844921669
effacement,-11.117080252387822
effacement,-11.046941673333357
effacement,-10.731380875345671
effacement,-10.62991438210679
effacement,-8.734917847161487
effacement,-8.506855839848228
effacement,-8.46425774766379
effacement,-8.152271677112061
effacement,-7.892363832006147
effacement,-7.815167260099572
effacement,-7.223950342135692
effacement,-7.140588431657224
effacement,-7.036322608661956
effacement,-6.315529310626214
effacement,-6.249882915342279
effacement,-6.143029513693478
effacement,-5.835862895598869
effacement,-5.831951099476144
effacement,-5.625387034700224
effacement,-5.471354627094642
effacement,-5.264148509427337
effacement,-5.146683368189389
effacement,-5.0014234678523986
effacement,-4.954335043481971
effacement,-4.825753290642419
effacement,-4.7587719322542705
effacement,-4.72374380732071
effacement,-4.692383023523549
effacement,-4.616393316697103
effacement,-4.534193936618686
effacement,-4.1214040711043225
effacement,-3.8971617019910196
effacement,-3.8447134664145612
effacement,-3.613063335998389
effacement,-3.5518994663967574
effacement,-3.4770693147731584
effacement,-3.4560481074832703
effacement,-2.7906588127273158
effacement,-2.3381394210024453
effacement,-2.2543633077612064
effacement,-2.2324071323573604
effacement,-2.0794183351693603
effacement,-1.5855517778584394
effacement,-1.3645446551513236
effacement,-1.2556325549679925
effacement,-1.0409565340091942
effacement,-1.0214518166569682
effacement,-1.0029833864360662
effacement,-0.9805013110332435
effacement,-0.5593245904054359
effacement,-0.31495400774002075
effacement,-0.2686713783787755
effacement,-0.10341502640781801
effacement,-0.06242314851816902
effacement,-0.05194868378264928
effacement,-0.03270015085004986
effacement,0.20528863341091663
effacement,0.616371980509449
effacement,0.7276211715597849
effacement,1.051020477099391
effacement,1.068752144604021
effacement,1.1827448710065436
effacement,1.2377463726037248
effacement,1.5084181030693826
effacement,1.6656648368029634
effacement,1.6667962967149175
effacement,2.070668658324908
effacement,2.2800067453837216
effacement,2.44141538736443
effacement,2.6855720658246485
effacement,2.8664659692597474
effacement,2.898059963395089
effacement,3.0752053534788124
effacement,3.3181826642941865
effacement,3.589276886769875
effacement,3.7012006825767356
effacement,3.7112623333371726
effacement,3.912920116485969
effacement,3.9299885265456354
effacement,4.528978274164754
effacement,4.574387503983647
effacement,4.959266023295991
