0,augment,dissection,lungers,caramelisation,limey,substitutes,biblioclast,azithromycin,spies,bull-tongue,mastiffs,snowlines,cytopenias,filibusters,fluor-spar,streptothricin,perennibranch,Judaea,rhomboids
fluor-spar,7.5,0.6,2.8,-1.1,5.6,-3.2,0.0,-0.7,-1.5,-0.0,8.4,3.1,-0.4,1.0,7.0,12.2,11.1,12.0,2.0
substitutes,-1.6,1.6,6.0,3.6,5.6,-4.9,5.9,-0.6,-3.3,3.5,-3.0,-1.5,3.8,1.8,-13.7,-2.9,-0.6,7.6,5.4
mastiffs,-1.8,-3.7,1.5,0.0,-11.9,10.4,-6.0,6.6,-8.7,0.7,2.7,12.4,3.8,3.1,7.5,0.9,1.1,0.1,9.4
caramelisation,-21.1,-2.0,-0.1,-5.8,6.8,-1.8,6.6,-5.5,3.9,5.3,-9.4,0.1,-13.1,-6.0,1.5,3.7,0.6,3.3,3.2
Judaea,-7.9,-6.7,11.3,1.6,12.9,6.7,1.8,-0.9,0.0,3.5,-0.9,6.0,-11.4,11.4,-2.2,-2.1,-3.9,5.6,-6.7
perennibranch,-3.0,4.0,2.9,-1.7,-7.4,15.9,2.2,9.1,0.6,1.3,1.2,6.9,7.2,-0.0,3.8,-4.3,11.8,-10.1,-5.2
spies,1.2,-1.8,10.0,4.1,-6.6,0.7,-5.4,6.8,-3.6,-2.3,3.9,-8.4,3.4,4.1,-7.8,2.3,2.2,-1.9,-9.3
bull-tongue,2.2,3.2,-10.4,3.1,1.8,3.6,-9.3,1.0,-0.4,1.9,7.8,-3.6,-11.3,20.9,9.5,5.0,1.7,7.1,2.7
cytopenias,-0.3,-1.3,6.6,-6.8,0.5,-4.4,8.6,-8.3,-16.5,-9.1,7.6,-8.9,5.0,-5.0,-4.8,-6.9,3.3,-1.8,-10.4
snowlines,-4.3,2.4,1.0,-5.8,11.2,2.0,5.0,7.1,-1.5,-2.2,-6.4,2.8,-0.4,-6.9,6.4,1.6,-6.4,1.2,-9.8
