perennibranch,caramelisation
Judaea,-21.45879198752493
Judaea,-16.83018815913345
Judaea,-16.233931036789084
Judaea,-14.329057007361307
Judaea,-14.19211865393131
Judaea,-12.94219858680073
Judaea,-11.717080357523423
Judaea,-11.524640663889352
Judaea,-11.31376574129559
Judaea,-11.213980819114523
Judaea,-11.141551218784503
Judaea,-10.356145893559587
Judaea,-10.199034960936338
Judaea,-9.900619628445256
Judaea,-9.781659428243172
Judaea,-9.488668693113627
Judaea,-9.41673905612119
Judaea,-8.620629109335978
Judaea,-8.56112524907488
Judaea,-8.397041060241552
Judaea,-8.283705469977338
Judaea,-8.241667795992905
Judaea,-8.155781854171142
Judaea,-8.146238452715705
Judaea,-7.4131712595511825
Judaea,-7.125069408352425
Judaea,-6.56717033765672
Judaea,-6.45977280526712
Judaea,-6.134188937461889
Judaea,-6.043720719141679
Judaea,-5.983311152117266
Judaea,-5.562659227814736
Judaea,-5.195669439671038
Judaea,-5.040031786367449
Judaea,-4.63451424488716
Judaea,-4.621082475936599
Judaea,-4.577920608317334
Judaea,-4.403603947008081
Judaea,-4.094455058411355
Judaea,-3.7921973254099575
Judaea,-3.5316983553684564
Judaea,-3.4359662640080475
Judaea,-3.39896033126602
Judaea,-3.1665162884496927
Judaea,-2.9913362434098554
Judaea,-2.823149859277908
Judaea,-2.625685170712662
Judaea,-1.7565998990409073
Judaea,-1.4966391865658162
Judaea,-1.445369792522305
Judaea,-1.1088818514484722
Judaea,-1.0653032634114208
Judaea,-1.006680691015159
Judaea,-0.9426517958923919
Judaea,-0.8921200078399046
Judaea,-0.8452082133465272
Judaea,-0.6222328954153354
Judaea,-0.6108888522107023
Judaea,-0.23615377813962696
Judaea,-0.1551150137596241
Judaea,-0.12990276765845768
Judaea,-0.015199415456974643
Judaea,-0.0018880419820808307
Judaea,0.9086456779324741
Judaea,0.9596184065059972
Judaea,1.2292315319445497
Judaea,2.060455214236444
Judaea,2.1838157450508895
Judaea,2.362744232267896
Judaea,2.367138764644846
Judaea,2.517590543113048
Judaea,2.582452720393806
Judaea,2.7337762993235404
Judaea,2.9779924669477946
Judaea,3.03420082299971
Judaea,3.312226250045678
Judaea,3.3362956065022114
Judaea,3.786851269519666
Judaea,3.9343125180737
Judaea,3.96785354082591
Judaea,4.361900017806568
Judaea,4.405567446901882
Judaea,4.451945342022184
Judaea,4.4924249274908945
Judaea,4.621498625030081
Judaea,4.739878337508847
Judaea,5.494889901163559
Judaea,5.563049507859984
Judaea,5.736414070341857
Judaea,6.252127564014025
Judaea,6.654022935229891
Judaea,6.743253593088329
Judaea,6.769805456225334
Judaea,7.037344765765065
Judaea,7.255529816888347
Judaea,7.271868034486376
Judaea,7.38837094360996
Judaea,7.607986899058688
Judaea,7.763333171339301
Judaea,8.062442411682962
Judaea,11.134490581012704
Judaea,12.24620295756519
Judaea,12.624820736142157
Judaea,14.705312500226873
Judaea,15.352763713582528
Judaea,15.795299236829175
Judaea,16.359539033143754
Judaea,16.859277236412034
substitutes,-18.5088404301333
substitutes,-16.510565510086558
substitutes,-12.988164304283375
substitutes,-12.142859347490768
substitutes,-11.246630586739109
substitutes,-10.917470651755858
substitutes,-10.121036743267062
substitutes,-9.955061908535905
substitutes,-9.38897556311026
substitutes,-9.192040893850837
substitutes,-8.78066751198821
substitutes,-8.638385445858603
substitutes,-8.304218888245057
substitutes,-8.235643972597524
substitutes,-8.018048931732915
substitutes,-7.891189823833654
substitutes,-7.87086133303933
substitutes,-7.559817288909279
substitutes,-7.414962559453064
substitutes,-7.281794372895388
substitutes,-7.273625427995813
substitutes,-7.14121436907466
substitutes,-6.785557421654595
substitutes,-6.534036795260461
substitutes,-6.5209985858181545
substitutes,-6.518314977301431
substitutes,-6.224317966607779
substitutes,-4.97881810226403
substitutes,-4.874199419882056
substitutes,-4.654637869378506
substitutes,-4.426470622860634
substitutes,-3.781096000323669
substitutes,-3.578031304402796
substitutes,-3.5375526610851096
substitutes,-3.5243655324730248
substitutes,-3.445182218810621
substitutes,-2.7758956179968552
substitutes,-2.7549445608740584
substitutes,-2.504363137942733
substitutes,-2.4632957046663866
substitutes,-2.4623660339831823
substitutes,-2.3983801012175334
substitutes,-2.244662521925967
substitutes,-1.9038342440788842
substitutes,-1.739165496681751
substitutes,-0.34643490085306405
substitutes,-0.21177393808691228
substitutes,0.17879898456632823
substitutes,0.27500043418057013
substitutes,0.34220572808152094
substitutes,0.4739341023883796
substitutes,0.5810837787472344
substitutes,0.9735589017454565
substitutes,1.1702226287256674
substitutes,1.1917199059663584
substitutes,1.7776158534267408
substitutes,1.7782367697953787
substitutes,1.836893248181315
substitutes,1.930549726511312
substitutes,2.167421835653851
substitutes,2.2461252300289742
substitutes,2.468052734507024
substitutes,2.735029588394275
substitutes,3.495930082418287
substitutes,3.501756640950483
substitutes,3.9484267815776812
substitutes,4.328852918046681
substitutes,4.368583297439044
substitutes,4.422255298925326
substitutes,4.526354399279431
substitutes,6.0581202218975445
substitutes,6.389446898713713
substitutes,6.4285136768891595
substitutes,6.511034108292477
substitutes,6.735510616692405
substitutes,6.904703984019347
substitutes,7.371834102262001
substitutes,8.05504965920956
substitutes,8.245193397259612
substitutes,8.283008823107908
substitutes,8.840013944740312
substitutes,8.86666909715437
substitutes,9.087032998268095
substitutes,9.105687055255105
substitutes,9.391206829787624
substitutes,9.853876572970242
substitutes,11.179696183921228
substitutes,13.27671314768009
substitutes,14.02304730934042
substitutes,14.688875230355812
substitutes,14.798306080871109
substitutes,18.36091709589992
streptothricin,-24.168643097757695
streptothricin,-18.534721333962942
streptothricin,-18.207467102888238
streptothricin,-17.493000659215152
streptothricin,-15.021029495757414
streptothricin,-14.774213548908739
streptothricin,-13.277796122835568
streptothricin,-13.080286328152189
streptothricin,-12.984999080324885
streptothricin,-12.479232382098523
streptothricin,-11.844001970947934
streptothricin,-11.594238378180641
streptothricin,-11.460738160931749
streptothricin,-11.424757188451883
streptothricin,-10.200512890769737
streptothricin,-9.740715729297605
streptothricin,-9.526906592964904
streptothricin,-7.977421756624098
streptothricin,-7.578649787678751
streptothricin,-6.947136916467229
streptothricin,-6.688979253364928
streptothricin,-6.540110204764403
streptothricin,-6.422406071704492
streptothricin,-5.439852798457157
streptothricin,-5.26186965087824
streptothricin,-5.206093177090579
streptothricin,-4.637616772686927
streptothricin,-4.574304813881285
streptothricin,-4.205243072148343
streptothricin,-4.108396521183316
streptothricin,-3.9640223645023482
streptothricin,-3.9255441631886923
streptothricin,-3.2893910020347916
streptothricin,-3.164109551097504
streptothricin,-3.035492598121765
streptothricin,-2.8558103618645325
streptothricin,-2.777059328917521
streptothricin,-2.7675990200777574
streptothricin,-2.6703998878930237
streptothricin,-2.6695255589077975
streptothricin,-2.2400489982962175
streptothricin,-1.848634085593312
streptothricin,-1.2019902982425887
streptothricin,-1.0806065753526966
streptothricin,-0.9505930891121283
streptothricin,-0.8004132017514457
streptothricin,-0.7230543512377844
streptothricin,-0.1961068052861199
streptothricin,0.33920508695463103
streptothricin,0.40532524111384083
streptothricin,0.5631750709212305
streptothricin,0.6519925125414161
streptothricin,0.7952793039679137
streptothricin,1.075989362747079
streptothricin,1.0841349217259713
streptothricin,1.2113064309274593
streptothricin,1.4402096915014355
streptothricin,2.354563532432701
streptothricin,2.426771764331174
streptothricin,2.4796280388914056
streptothricin,2.4817515369065246
streptothricin,3.4192915499482925
streptothricin,3.4521622891613832
streptothricin,3.84023598842539
streptothricin,4.366645398837423
streptothricin,4.391771785172823
streptothricin,4.635674377141495
streptothricin,5.09210722185548
streptothricin,5.42224774654495
streptothricin,5.702894118148164
streptothricin,6.299037868944274
streptothricin,6.542525899476288
streptothricin,6.761909418296262
streptothricin,6.8957020001588205
streptothricin,7.385059859383538
streptothricin,7.850225078454465
streptothricin,7.980455171589189
streptothricin,8.050832093140059
streptothricin,8.920679123546655
streptothricin,9.218882167814849
streptothricin,10.239064115518115
streptothricin,10.667486533469285
streptothricin,10.910465706385619
streptothricin,11.030638125203946
streptothricin,11.079993230232434
streptothricin,11.212093960485905
streptothricin,11.431239641305101
streptothricin,12.109733731093112
streptothricin,12.329935920591764
streptothricin,12.420584282998076
streptothricin,16.168337915868356
streptothricin,19.590519812503416
