filibusters\perennibranch,Judaea,substitutes,streptothricin,caramelisation
7,38.309952053664,58.85636360437258,45.842573158605816,43.81442403627548
8,35.023753088218534,56.35587124160789,42.36154293715593,38.67103319812188
9,33.7376958771691,43.972471740134544,40.49855431703557,49.46266897684803
10,38.191095110608416,40.78642754833516,42.52405808145461,42.96634710842616
11,39.068873943306436,52.17213240769864,46.00471723036994,44.46493921179596
12,40.84801214021725,46.78453849279118,43.57083429030117,49.08635076352266
13,35.36030608869086,46.6673262349103,45.415880572331076,48.00068065502925
14,40.64128763695127,48.70145209188666,46.98285414074734,43.871829534983135
15,37.08340234871739,37.03416767224079,43.7161703220098,40.60035803863675
16,28.965796934897693,53.687110732514505,45.47397882539676,40.07139982768917
17,35.16525508697723,34.379748666093384,43.77497882975014,41.70127909355066
18,27.350903015576826,67.27174651921437,45.38476052827418,45.45990531220977
