limey\cytopenias,perennibranch,azithromycin,augment,bull-tongue,lungers
-6,81.90279882804789,66.11218204241243,85.0787638162485,70.71584116955506,67.07562274845095
-5,59.99913935106612,70.26288914256781,50.25354372272814,66.51541908937966,69.72649173980747
-4,73.01294516714037,80.271246131799,53.29345451310702,75.92342367635071,71.21046420501486
-3,68.30381863140315,56.28869093971154,65.6413323222715,63.56751826892097,57.765108197674195
-2,71.2777030087537,57.01301479227675,77.38297593190126,68.64952017258993,63.370044119858946
-1,62.47874039766272,72.9338509115237,62.282594256477914,66.45072795895013,56.28981188029907
0,76.40336522219712,62.715906640865725,90.35809507980761,73.55935153069467,68.51040403315334
1,58.805029761922455,53.54816482193577,98.25578091858097,73.8178421505693,73.3948903868688
2,60.700838583554884,83.7162445831226,68.2411591149941,77.59165743095078,52.223200503244236
3,70.39818720858669,55.17663583650729,67.16122543768678,73.36321466892134,44.30377523215037
4,73.04495954979609,61.89348406798817,76.62691978571877,76.63240377005478,56.63245238426707
