x_perennibranch,y_perennibranch,x_azithromycin,y_azithromycin,x_augment,y_augment,x_bull-tongue,y_bull-tongue,x_lungers,y_lungers
-0.051,5.156598005991168,-5.396,25.017,0.512,-24.026,1.358,2.7872585014222766,0.229,10.9086432307345
-7.174,4.468196208247317,3.979,1.825,-3.515,16.147,2.347,-2.2424173552488287,-5.978,0.4511469787784801
2.65,31.837093546894906,5.264,35.347,-7.987,-67.328,1.175,0.6852929387398001,-7.186,12.086338029340242
2.326,-34.39177521759605,2.506,148.486,-0.343,-26.92,3.107,-1.7412381223882503,0.205,-22.51686241003097
-5.189,12.566112067462408,-0.124,97.44,28.239,147.434,-0.263,4.7003827331977615,-4.33,21.457416579735682
0.248,-35.90776395215274,-7.009,31.072,7.5,71.266,-1.099,-3.195414826682462,8.038,-8.370767996515948
1.162,-2.086602765339622,-2.047,87.388,-13.322,-97.332,2.241,5.595072335143,6.084,-13.638053600592713
1.623,4.163093236219958,-1.976,161.297,-2.175,-21.09,-0.82,2.8768321320936097,6.082,15.434037022273419
1.505,10.655574517511484,0.538,-60.571,5.658,54.055,1.424,0.9927926227650103,-6.745,-20.464295770095827
3.782,11.710886477351275,-3.64,0.714,-4.312,-14.716,-2.066,0.5567835170031699,-4.927,-4.431171163735027
-17.169,1.5676992262591398,-2.096,-18.26,0.948,60.609,-7.204,9.606935057857564,-3.035,-3.3920877633801902
-0.663,2.974781920369436,-2.23,5.375,5.219,53.808,-15.995,-0.3226527706084865,-0.48,17.002856254605266
8.252,22.77546403359956,-0.173,78.915,1.287,61.398,2.217,-1.298946585188625,0.23,37.945457528095204
2.133,11.863030832944318,-1.676,43.741,5.892,-15.458,8.439,-7.213645825053163,-0.319,-27.145354843540872
-3.684,-5.894031149094342,1.522,-35.715,4.008,75.51,-8.342,9.888638696571693,-2.553,-2.582823438164242
0.146,-14.441976970976711,-0.937,77.494,-5.328,-66.742,2.609,-0.9949956083670092,1.87,-14.800170312629065
-5.105,-56.92450500121447,0.404,27.193,2.017,-4.603,2.593,-0.54796989417218,1.067,-10.750514633807871
5.371,7.734339038040346,-2.422,54.635,12.369,49.296,-4.125,2.9036574114112113,-6.57,-2.8411064150916028
-1.69,11.310380107845322,-4.387,16.619,-0.159,-43.615,-2.694,-4.458884249531743,6.696,95.62454398552316
-2.518,28.67219153659343,-0.186,-31.448,-3.066,47.916,-0.091,3.934488999564517,-8.437,63.7499823347072
-2.914,1.2804186425383506,-3.928,34.26,1.913,109.417,2.252,-2.286865900943521,-2.442,-20.864315572477114
-4.621,-54.19639983311106,7.623,162.82,2.381,67.087,3.135,0.1065909681442101,0.254,19.708349651747326
0.265,36.911769367836186,-10.304,66.042,-0.315,13.191,-1.008,4.95793879178783,2.443,-26.69821786873206
5.738,11.29659308994768,4.29,-91.014,-1.332,-3.816,-8.833,-1.2061012175505443,0.807,-13.832604892678887
0.01,-7.163079145062895,-2.642,39.19,-0.304,3.777,6.567,-1.8016687566657743,-3.261,-48.22828858194217
-4.586,-8.089064502013327,-1.143,-47.673,-4.153,-0.685,2.16,-2.476395843936503,1.398,23.12005184375882
2.044,1.5085963524159371,-0.041,25.02,-1.005,-35.661,2.345,-4.828938679709556,3.191,-39.86250203911362
-0.31,-57.92527427233601,-12.112,73.182,-22.017,-195.282,1.041,-8.28745655153318,-0.357,-6.500835274381572
10.531,-6.301378758854922,5.109,13.194,0.394,14.841,-3.18,1.9449441550642441,2.329,11.857602848140036
-5.277,20.29003021851136,8.578,-148.789,-6.465,-64.791,-4.45,-5.906169482657374,2.053,-22.09577667642742
1.385,30.151569230171027,4.229,-4.426,4.308,53.089,-11.747,4.26367607565423,3.057,-15.453093991748707
1.763,-8.539952077902845,7.229,28.964,-2.675,51.328,-1.615,-5.314785264610029,-0.058,-2.44903896747928
-0.377,64.84145158376114,0.056,16.045,-0.087,3.037,-3.278,-1.5908776569401444,3.003,11.449280217522501
-26.043,-6.6320333011864125,-2.55,-11.954,-0.446,23.726,-16.332,-3.743779062519554,-0.289,-2.684310170361524
5.088,-45.130893300611035,6.325,-52.529,-2.987,27.927,-3.992,-1.7371598345168868,2.553,-26.231579283183155
-4.346,-18.968984353889123,4.062,-1.251,-7.919,-83.967,-12.402,-0.5370855179743138,-0.261,28.153033805998753
5.614,-18.29520994516948,-0.08,43.51,1.674,61.465,13.616,12.077119633959102,0.135,5.314838195794557
