cytopenias,lungers
limey,-19.374589721153207
limey,-17.800664292995044
limey,-16.398788310394014
limey,-15.59883646596802
limey,-13.527940456391374
limey,-11.751539359868232
limey,-10.281880545790544
limey,-9.90008439770813
limey,-9.768226170266818
limey,-9.299592166170015
limey,-9.069133552560382
limey,-7.9115757473664825
limey,-7.768767564827852
limey,-7.670836023229653
limey,-7.5592350020763455
limey,-7.172554779810631
limey,-6.683706608174159
limey,-6.663727050866763
limey,-6.55097501386883
limey,-6.271418674185674
limey,-5.900019148721415
limey,-5.6907176516231255
limey,-5.348132702495554
limey,-5.270924656709233
limey,-4.929990395186966
limey,-4.4290460737607455
limey,-4.164661705541925
limey,-3.855966819160741
limey,-3.7774246668560694
limey,-3.502773274746329
limey,-3.104296666535919
limey,-2.9875886768740774
limey,-2.5411654201804885
limey,-2.469685423653609
limey,-2.429676124362155
limey,-2.3148203193275974
limey,-2.195110168420413
limey,-1.7094435636018501
limey,-1.565658345732407
limey,-1.4867568466150534
limey,-1.2975318717206483
limey,-0.9549213524525825
limey,-0.7891758069520186
limey,-0.7137062044473859
limey,-0.5919821666758349
limey,-0.34393115958972625
limey,-0.33141321992882644
limey,-0.29786710064516836
limey,-0.2707555021791586
limey,-0.08038244864080674
limey,0.05513584411134591
limey,0.12467464801929001
limey,0.15796167307354003
limey,0.5133028181309401
limey,0.6385250877898184
limey,0.7196142853103055
limey,0.791493307000586
limey,0.9294543226854922
limey,1.1734221165074363
limey,1.3733246300782938
limey,1.5538824838482799
limey,1.6911885989643782
limey,1.719416987488426
limey,1.8150868459234755
limey,1.8561959859657653
limey,2.0283168521643655
limey,2.054554106277442
limey,2.061801867252365
limey,2.4294309757481045
limey,2.49103116466055
limey,3.3056881211779054
limey,3.495785022583092
limey,4.167944854591475
limey,4.358285470802364
limey,4.575763323517659
limey,4.690572250551748
limey,4.923327716670319
limey,5.439626876220675
limey,5.749956965154645
limey,5.916017716903873
limey,6.036030136291854
limey,6.159781073885891
limey,6.188677660041556
limey,6.841739964914871
limey,7.441097281719681
limey,7.469555562900863
limey,7.910693564272741
limey,8.280466899284173
limey,8.777681686410794
limey,9.737822142841642
limey,9.739796616304481
limey,10.412852702808108
limey,10.971234022371585
limey,11.293072427538197
limey,12.527628378896937
limey,13.026887446506473
limey,14.576621981675457
limey,15.532194790333453
limey,15.82525388596732
limey,16.365743175576128
bull-tongue,-6.880537755610563
bull-tongue,-6.245789982947384
bull-tongue,-5.405288160078967
bull-tongue,-5.005218780129975
bull-tongue,-4.653155281247
bull-tongue,-4.130885584550847
bull-tongue,-3.827839906927827
bull-tongue,-3.7413753191757766
bull-tongue,-3.6938664183150025
bull-tongue,-3.309065490077331
bull-tongue,-3.239048531844149
bull-tongue,-3.1999231223386175
bull-tongue,-2.866519889648313
bull-tongue,-2.6812964214576485
bull-tongue,-2.6333606881272753
bull-tongue,-2.5990864261914486
bull-tongue,-2.561032512595822
bull-tongue,-2.2920488763990883
bull-tongue,-2.252602221763592
bull-tongue,-2.0072291618973392
bull-tongue,-1.8561856894531827
bull-tongue,-1.849886281348897
bull-tongue,-1.736520687695227
bull-tongue,-1.696111836438503
bull-tongue,-1.6679286858215254
bull-tongue,-1.6440651790317578
bull-tongue,-1.5377019918477521
bull-tongue,-1.4587212798007247
bull-tongue,-1.4389449815325597
bull-tongue,-1.3721922683566672
bull-tongue,-1.313820668166281
bull-tongue,-1.2281178588086237
bull-tongue,-1.2083087393609213
bull-tongue,-1.0819968460538767
bull-tongue,-0.8371837721157652
bull-tongue,-0.7067663041789777
bull-tongue,-0.5785479287948615
bull-tongue,-0.5778415410219232
bull-tongue,-0.5090673187722455
bull-tongue,-0.4838844190234025
bull-tongue,-0.2958170411536191
bull-tongue,-0.2555897265925549
bull-tongue,-0.2486275898641883
bull-tongue,-0.24681609575568428
bull-tongue,-0.2331564133715441
bull-tongue,0.13709475680216565
bull-tongue,0.15562622079750782
bull-tongue,0.19187001300791487
bull-tongue,0.22268234251015548
bull-tongue,0.2892013646576216
bull-tongue,0.6200726289376982
bull-tongue,0.6909035580725118
bull-tongue,0.7191181959430307
bull-tongue,0.7456397937993894
bull-tongue,0.7605591439513053
bull-tongue,0.7692402534808296
bull-tongue,0.8266735294331451
bull-tongue,0.8834639505473143
bull-tongue,0.9120392209515911
bull-tongue,0.9609424058465071
bull-tongue,1.1861345043544302
bull-tongue,1.2486204868683906
bull-tongue,1.2531143654946706
bull-tongue,1.4083259739380651
bull-tongue,1.432328468441415
bull-tongue,1.4347041959671256
bull-tongue,1.5269059892278192
bull-tongue,1.527517256988645
bull-tongue,1.5782969411622172
bull-tongue,1.6418032019403168
bull-tongue,1.7154761588294603
bull-tongue,1.8205214218083214
bull-tongue,1.9163777247907487
bull-tongue,2.104907598015673
bull-tongue,2.2800867777304767
bull-tongue,2.2872428072462507
bull-tongue,2.3173868081402795
bull-tongue,2.329287511651441
bull-tongue,2.3355711293935633
bull-tongue,2.378292172777336
bull-tongue,2.438561580450956
bull-tongue,2.6830716620872708
bull-tongue,2.763161473993391
bull-tongue,2.7648255188556776
bull-tongue,2.992571040445867
bull-tongue,2.994254226124262
bull-tongue,3.342469892146043
bull-tongue,3.5871933017332123
bull-tongue,3.8718587849394552
bull-tongue,4.068953346589877
bull-tongue,4.695233508391587
bull-tongue,5.2885159035528595
bull-tongue,5.503862212087087
bull-tongue,5.5877303267518075
bull-tongue,5.8331882309135334
bull-tongue,5.915780832554023
bull-tongue,6.027190491054292
rhomboids,-21.277146739794663
rhomboids,-21.193977588209297
rhomboids,-19.06441655703986
rhomboids,-18.643649839862192
rhomboids,-15.322197529969898
rhomboids,-14.86887129944259
rhomboids,-14.867550313349895
rhomboids,-14.80513830864849
rhomboids,-14.73009184247732
rhomboids,-14.59539875710193
rhomboids,-13.007870286811732
rhomboids,-12.453379997592515
rhomboids,-11.04302050213046
rhomboids,-10.733957695446769
