x_rhomboids,y_rhomboids,x_substitutes,y_substitutes,x_mastiffs,y_mastiffs,x_spies,y_spies
4.882,17.0839102982031,-5.304,-11.251,3.017,12.481771166948832,0.919,13.309
-2.401,-78.74960815271008,-18.214,1.709,4.691,-8.69560096540255,0.033,13.358
-7.721,12.258803892848857,23.691,-34.526,3.431,10.168809520486562,1.659,11.19
-9.5,20.595469491244746,20.72,-25.951,4.594,34.45663787262878,5.093,-0.104
13.577,3.0793400069920294,0.215,-9.204,0.716,3.3346941760537314,-2.411,20.222
13.222,65.9866489906982,0.573,-13.38,-8.417,-27.38704968291571,-3.545,28.327
-0.229,-23.02311365575421,-2.847,-7.356,-2.479,9.420592706252545,-6.315,34.056
0.271,27.52607890612635,-5.092,2.777,0.107,7.836226496225429,-8.125,39.053
0.261,-35.982972875394516,23.095,-30.797,0.077,1.4737677704769965,-25.433,93.316
-7.292,-7.719201353585843,-0.052,-6.448,1.683,-26.114332379682928,-0.478,16.903
-4.339,-3.477455212615021,-0.502,-9.568,0.48,-9.0683160594163,-4.514,30.37
6.763,26.53707952925771,-2.102,-9.052,9.557,-7.049603896241997,-0.972,19.614
6.391,4.985900997845753,-0.539,-7.051,1.251,2.957173836060547,9.144,-9.805
6.325,-41.251532064091144,10.773,-14.043,0.835,2.454708492981962,-0.93,19.717
-2.58,-24.891054602742802,1.947,-17.602,2.357,-26.145243694948206,10.974,-18.551
-10.286,0.9827133257760821,2.469,-20.609,5.905,-20.865815445698836,-2.694,25.044
-1.643,18.170182221117344,3.125,-13.787,17.087,-6.303592382741163,9.781,-15.483
-1.208,-32.351680570329734,-0.056,-4.554,7.495,-25.130105671040944,2.438,7.211
-20.971,11.239754863519531,-8.255,0.141,-0.52,-7.2470499657279435,-9.015,43.502
-4.253,46.13225542429866,-17.769,22.977,-0.253,-6.266420137200669,13.309,-23.166
1.163,-43.839300895324456,10.158,-19.996,-4.134,-6.142110805972579,0.665,11.836
0.672,-5.3727886080071485,1.133,-13.705,-10.496,20.884040451342255,-0.321,18.118
