streptothricin\snowlines,rhomboids,substitutes,mastiffs,spies
-1,50.399519686429635,54.90456639766674,72.54954822998083,61.97773736866899
0,58.56641623536748,58.89267980875568,66.7231554991087,53.92474797810471
1,54.16222588863023,60.42940398519372,74.91582622423846,50.79886266647552
2,54.00587457981681,51.78215177497123,79.22165849874256,59.42481668760708
3,54.04486529086053,62.89817536967383,63.826747832556464,49.815602321912465
4,47.52285173347791,48.39645160909946,85.53580045375432,56.84246830668899
5,48.50136458909295,71.46504063127169,70.45225370315816,49.928085791475816
6,55.70805024901945,56.5054651590802,72.45749394971314,53.89294158798171
7,52.57404752279471,59.82240174734306,74.97110419953347,55.00123588843039
8,58.055761763081094,65.38587283490398,85.53726032724518,54.42992861362504
9,42.23388175893911,46.95407723236977,71.80026671761541,59.972814341759495
