0,fluor-spar,azithromycin,lungers,substitutes,Judaea,caramelisation,dissection
caramelisation,-2.1,-1.4,0.6,0.2,1.6,2.1,2.3
mastiffs,0.5,1.4,0.7,0.2,-0.2,1.2,0.2
substitutes,1.1,-2.4,0.2,-0.2,3.3,0.2,-0.5
biblioclast,-1.4,-1.9,-0.9,-1.4,-0.5,-0.6,-1.5
Judaea,-0.2,-1.1,-1.7,-1.0,0.3,-1.7,-0.4
streptothricin,0.5,1.9,0.9,1.7,0.6,-2.0,-3.0
effacement,-0.3,-0.8,0.6,0.4,-0.2,-1.9,-1.7
limey,0.2,-1.5,-2.0,2.3,-2.3,4.1,1.5
azithromycin,1.7,0.1,1.1,-1.2,1.2,0.5,-1.7
snowlines,-3.0,0.6,-0.6,-0.1,-1.0,0.0,0.7
filibusters,-1.6,1.0,-1.5,-0.6,0.5,-0.1,-2.0
perennibranch,-1.2,0.7,-0.1,-1.4,-1.3,-0.8,-0.6
fluor-spar,-1.8,-0.3,-1.1,-1.3,0.1,0.2,-0.7
lungers,0.3,0.8,-0.9,0.9,1.3,-1.7,-2.0
