x_limey,y_limey,x_augment,y_augment,x_azithromycin,y_azithromycin
2.094,-0.986,3.996,230.229,-5.191,59.112
-0.452,-0.183,0.302,48.602,-0.675,-28.757
0.214,-0.525,-5.286,-489.596,-0.197,-79.321
2.396,-1.466,2.008,474.982,1.801,-79.504
-0.343,-0.347,4.774,6.481,-1.367,21.382
3.407,-1.556,2.317,48.161,-0.034,-37.875
2.705,-1.371,7.917,552.248,3.556,-49.463
-0.521,-0.605,-0.9,-160.478,0.045,8.534
18.492,-6.745,-3.402,-160.487,14.817,354.215
8.031,-3.192,0.561,-111.641,-4.094,-23.874
-0.893,-0.342,-1.124,194.695,-9.734,176.46
1.484,-1.095,1.808,-223.065,0.692,17.803
1.484,-0.653,1.427,-58.48,3.627,-0.339
3.405,-1.37,0.156,-460.427,-4.018,17.071
-6.079,1.647,-2.611,-134.077,3.466,47.809
1.034,-0.689,1.846,-75.699,11.599,229.088
0.461,-0.677,-7.309,-100.954,3.167,8.109
-18.637,5.737,-0.944,-80.51,8.415,190.497
1.939,-1.341,-1.114,-123.19,2.77,-49.64
-6.619,1.817,-3.72,-317.861,-5.907,56.438
-0.529,-0.432,-2.199,90.284,-3.583,-4.477
13.948,-5.234,-2.713,79.461,0.016,-4.32
-0.289,-0.324,-12.621,-2918.015,0.406,89.819
1.045,-1.048,5.975,116.648,2.494,-27.315
3.785,-1.748,0.537,391.619,6.018,-21.384
-1.343,-0.056,-1.642,191.877,-17.763,675.616
-0.733,-0.348,4.124,-183.756,3.676,-3.691
3.468,-1.552,0.159,23.535,1.544,104.585
-1.155,-0.184,0.193,91.979,2.243,-20.936
-2.246,0.331,1.285,50.193,-3.713,-42.099
1.784,-1.08,3.807,360.724,0.433,-13.045
-2.207,0.139,-5.898,-118.865,5.225,114.121
8.469,-3.341,-12.44,-2736.216,5.344,-8.424
-0.621,-0.546,1.761,161.307,4.307,-33.884
0.268,-0.595,0.408,-12.48,17.325,624.273
-0.339,-0.493,-7.95,-809.062,-0.386,33.252
-8.055,2.432,4.003,129.332,-0.93,-9.683
1.057,-0.8,5.744,267.961,4.735,57.859
-2.513,0.258,-3.424,-39.561,-2.309,2.239
1.33,-0.894,-7.156,-726.895,7.157,42.198
-5.817,1.657,4.288,488.08,-0.949,-63.69
-5.18,0.986,-0.994,-337.555,-1.598,56.792
0.542,-0.674,-0.879,62.353,1.125,-3.965
16.581,-6.251,-1.777,155.185,-9.754,169.669
2.692,-1.384,2.804,624.342,1.302,30.888
0.699,-0.701,-1.199,124.9,14.259,337.124
-3.801,0.742,0.496,-112.143,1.847,-76.52
-2.773,0.436,0.393,-18.725,3.445,-10.391
-2.947,0.193,4.514,679.365,4.87,87.085
-2.186,0.433,0.613,13.818,-2.784,-13.085
1.152,-0.749,-0.232,326.093,-0.508,-41.535
0.253,-0.688,-1.842,-1.84,14.624,331.444
8.116,-3.133,3.2,224.294,-0.737,-74.914
-5.073,1.3,1.997,659.243,-1.165,-99.096
7.43,-2.96,1.898,11.515,-2.085,-3.585
-2.58,0.087,1.456,423.56,1.968,-96.69
4.488,-1.697,2.494,35.442,-4.433,63.613
-3.378,0.687,-1.861,-219.6,1.394,-10.255
-0.081,-0.702,7.195,242.239,-2.412,50.944
0.153,-0.558,-8.091,-381.473,0.476,-65.628
-1.821,0.124,-1.769,86.852,-7.471,97.224
4.0,-1.874,0.393,39.306,4.919,-108.403
-2.468,0.341,6.744,321.88,-0.68,10.684
-8.699,2.676,0.747,-4.307,1.539,56.081
0.306,-0.528,-0.425,-110.378,-0.01,-48.509
5.406,-2.456,-1.674,31.694,8.529,50.119
4.762,-2.043,0.422,-92.666,1.028,-2.691
-2.894,0.344,-1.855,177.187,-1.881,20.386
-0.065,-0.409,-0.434,-42.815,-0.296,21.927
-22.449,6.621,-0.146,526.813,0.416,9.987
2.448,-1.355,-5.276,-179.959,1.74,18.595
-7.919,2.3,2.061,84.747,-4.574,25.605
-7.822,2.188,4.093,42.462,2.613,-82.854
1.03,-0.591,-0.321,-152.861,7.588,142.186
-6.424,1.575,0.103,-26.956,-2.029,-0.918
-6.702,1.752,-2.78,-245.944,1.189,7.46
4.409,-1.942,0.556,-522.674,-0.567,110.427
-2.2,0.258,10.239,1194.253,-4.48,103.275
1.944,-1.205,-4.796,-332.958,0.867,35.268
-9.378,2.592,-11.075,-2323.282,1.284,-74.412
2.816,-1.191,-6.513,-815.974,-7.498,91.063
6.414,-2.447,-6.659,-552.376,-0.048,-5.887
0.3,-0.445,-5.293,-307.898,-2.893,-56.916
-1.966,-0.244,-5.369,-320.362,-0.852,-32.966
-2.956,0.608,-0.165,-17.025,-0.028,-27.405
-2.181,0.349,2.429,101.881,-0.554,-59.29
2.569,-1.019,1.467,-55.56,-0.002,-9.748
1.087,-0.779,7.304,101.799,3.746,-77.786
6.913,-2.938,-10.113,-1697.259,1.356,-48.696
5.895,-2.103,-0.682,-62.88,-10.867,284.27
-4.067,1.003,-1.749,-95.616,-0.32,-24.1
-0.098,-0.629,-1.697,172.117,6.371,60.362
0.56,-0.746,3.879,72.209,11.818,311.939
6.438,-2.878,-14.869,-4834.816,0.253,37.153
-3.584,0.873,3.114,-165.906,1.391,-13.397
7.041,-2.34,12.892,2468.191,-0.597,-144.651
1.808,-0.995,2.817,-90.687,-1.308,-34.229
1.22,-0.479,2.763,-26.003,2.213,37.416
3.785,-1.979,-1.824,263.982,-0.121,64.414
-4.788,0.915,-9.866,-1534.043,2.011,-79.303
-1.794,0.188,-3.971,-218.369,-4.765,-37.986
