cytopenias\lungers,limey,bull-tongue,rhomboids,biblioclast,substitutes
2,88.22439033410856,49.49401051642463,55.272829016777195,66.74007151707497,65.71571094774477
3,85.4648455587339,58.095908844148695,49.00384720944383,67.04642894034913,60.64658278371864
4,63.83801827812495,55.49481277069298,51.437482230944426,68.70361197576652,59.03258089282565
5,64.18823230732846,53.47494092949582,63.653464068387365,69.67027220711738,58.01061286770125
6,51.9394981525124,54.39388838393756,48.972211636127795,71.18055111816102,55.97076439767668
7,72.0017134485574,61.18052300340357,65.70310770291998,74.75624680284403,57.85415055035319
8,73.99884333940598,59.51524819672368,60.5806713389391,69.75168317421587,57.256935150466035
9,61.32401949226997,50.67059480975739,50.35292770123701,74.44609841197439,65.06072253630634
10,79.08370635681852,56.791949283509275,72.3830842186315,68.54664983750239,53.38961100938954
11,77.12086942639199,39.980838395348755,59.880325170177144,76.54201667333014,59.76610024499307
