0,caramelisation,mastiffs,substitutes,biblioclast,Judaea,streptothricin,effacement,limey,azithromycin,snowlines,filibusters,perennibranch,fluor-spar,lungers,augment,spies,rhomboids,dissection
caramelisation,-8.3,-2.7,0.5,6.1,5.4,-0.2,5.9,-12.5,2.0,10.0,-7.2,4.0,12.0,-2.9,8.9,0.6,11.4,-0.2
bull-tongue,9.7,12.2,1.9,9.6,2.8,-8.1,14.5,-4.3,7.7,13.6,5.6,-3.2,10.6,-7.5,-9.2,1.8,5.1,2.1
effacement,-9.4,-7.2,-13.0,-4.2,-7.3,-3.5,16.4,-6.0,9.3,-9.1,7.2,-6.8,-9.5,-5.3,-20.0,-2.1,-9.1,-9.3
filibusters,0.6,-6.6,-0.6,4.3,2.4,12.4,3.0,-5.8,-2.0,1.1,-19.1,2.2,-17.0,8.2,0.3,-6.9,-1.8,15.6
streptothricin,-21.0,0.9,-4.6,-3.1,7.4,-8.2,5.7,-0.0,-6.2,-1.4,7.9,10.0,11.7,2.8,-0.6,-6.6,-6.2,-12.3
substitutes,-3.7,6.4,-2.2,2.2,8.8,-8.5,-12.2,6.7,-10.8,4.8,14.3,-6.2,-6.7,-14.5,-2.9,11.6,4.3,12.2
perennibranch,-2.2,-4.5,-0.0,5.7,0.5,-9.5,10.5,-1.9,1.9,5.9,-4.6,-8.9,2.4,3.9,-8.6,-9.6,3.3,-0.5
snowlines,-5.2,-23.3,8.8,-5.6,-6.8,22.4,-14.0,2.8,9.3,-9.6,2.2,-2.3,-1.6,-14.6,2.9,11.5,8.3,22.9
Judaea,5.1,-15.6,3.1,7.6,-1.7,0.8,5.4,11.2,-3.5,2.5,-3.2,-4.9,18.9,7.4,-10.1,-7.1,9.0,8.9
spies,-7.8,-13.1,-8.5,10.4,11.7,-8.8,10.3,-0.8,7.3,2.4,1.9,7.5,-12.9,11.4,8.2,-5.6,-11.3,-7.1
limey,4.5,-4.6,6.8,12.5,-17.9,-12.2,11.6,7.4,20.0,7.5,6.1,11.9,14.0,1.6,-0.4,-15.8,-7.3,9.6
augment,-4.8,-1.0,2.5,5.1,15.8,3.8,23.0,-7.0,8.1,4.0,2.2,8.2,-8.4,-7.3,13.6,3.3,18.6,-8.6
