0,caramelisation,bull-tongue,effacement,filibusters,streptothricin,substitutes,perennibranch,snowlines,Judaea,spies
substitutes,-4.3,-0.1,3.9,0.9,-13.3,7.1,-6.0,2.1,-7.7,-2.8
snowlines,15.2,-2.4,4.0,-13.6,2.2,-13.2,9.3,-1.0,-1.9,-1.6
fluor-spar,11.9,-2.4,0.5,-2.1,-1.2,0.9,-6.0,-10.4,5.2,11.6
filibusters,3.6,2.2,5.8,-6.1,1.3,8.0,-3.9,-0.9,9.9,-7.6
augment,-0.5,-3.8,-2.9,10.7,14.2,4.9,4.1,2.4,-6.7,7.7
rhomboids,6.9,2.2,2.8,10.3,3.9,-2.3,2.1,-10.4,6.3,-0.9
perennibranch,3.1,11.9,-6.4,-2.4,-0.3,18.5,-8.8,-16.8,-4.0,-1.4
effacement,-11.0,0.8,1.0,-11.8,-7.8,0.6,5.1,-3.7,-0.4,-0.0
cytopenias,0.1,10.3,-0.6,4.2,3.2,-5.5,2.7,6.7,2.4,-1.0
azithromycin,-4.3,-9.9,1.1,1.9,0.1,-6.1,-6.8,12.6,5.8,-6.1
Judaea,2.5,-7.5,-9.1,4.4,0.2,-1.6,-6.5,6.0,3.0,5.5
limey,6.9,-2.8,-2.1,-7.9,4.5,-4.4,-2.4,6.6,-8.4,6.8
biblioclast,4.7,1.4,-15.6,1.6,0.6,11.6,20.2,-3.1,3.0,3.5
