Judaea\lungers,mastiffs,perennibranch,azithromycin,rhomboids,caramelisation,filibusters
3,90.69250719237677,91.75184893457869,85.70280499339648,79.4459294750438,87.88637658369426,81.09018165810973
4,94.09631715259599,93.19998455275324,104.88615322225046,88.15393590416123,95.38498109591289,112.17876835714299
5,94.54618591335304,91.96069043454327,102.99342815306704,89.56167142550818,82.82408460079085,111.26462743237751
6,97.18656086184266,91.92396575715811,102.62105729953481,86.43560754156303,88.53980942857622,111.88779251756027
7,92.13822254494531,93.44093526961083,105.36034369385925,86.42699417088052,86.32577080695435,97.00273535137124
8,90.1269333601546,90.10688553291183,99.13200691110349,82.77550767490202,86.33020779866769,106.50566573097827
9,88.2388415880265,90.7879946652995,101.43419682413754,86.27967874895661,86.27936602208091,92.67665973946258
10,95.48309737528271,89.60938085014907,90.30394992345875,82.9117945180988,83.45805672878132,96.4655437667795
11,92.4539677333658,88.50644262184511,99.28429243016926,88.89578033951543,90.67663859234345,109.80744723064767
12,93.77056049270969,89.68994064154431,89.69991273260226,81.73825011138865,81.88293560764205,113.89914156012723
13,95.5656349363249,93.23915310486292,93.62224857069755,81.56599278438681,87.97945039489349,100.47163748400452
14,97.09905264823514,92.46436134144348,92.46818879727455,96.54132279801657,89.28946662960132,102.3814064154903
15,96.84052513028347,92.57720412661415,96.96718184554692,87.38234379236775,83.56982753016415,76.69642887897672
16,93.50181543235834,94.03922288240841,89.72058841538386,92.44148868816018,85.43759098668224,101.58124098676744
17,99.18842386082534,93.64506322232971,78.42882867940048,88.07973249662248,89.7686598024414,95.36821276263423
18,95.96451715492728,96.32146116497299,91.49139801202445,93.93464714806672,84.33613586880429,111.72420707787009
19,91.94822140402462,92.46232478011325,107.15445008039438,76.82422880203738,90.61721709244348,104.96165009223226
20,100.32584181209607,93.75236228543535,92.83739195753971,83.50994810781788,83.76590661042756,102.06410751156645
