Judaea,fluor-spar
cytopenias,-11.437556192194819
cytopenias,-10.036829620892757
cytopenias,-9.055593989054097
cytopenias,-7.905945147632776
cytopenias,-7.86294131131198
cytopenias,-7.581965926760986
cytopenias,-7.165571361679898
cytopenias,-6.6764941621095755
cytopenias,-5.689652265916571
cytopenias,-4.733544059893236
cytopenias,-4.496611346720036
cytopenias,-4.303679040799499
cytopenias,-4.258722973024974
cytopenias,-3.5710661026170456
cytopenias,-3.493664760705746
cytopenias,-3.460131483672077
cytopenias,-3.3228097943926316
cytopenias,-2.984876202450871
cytopenias,-2.8060234470096796
cytopenias,-2.562776909343652
cytopenias,-2.492123387851729
cytopenias,-2.298416989554841
cytopenias,-2.2592110652217094
cytopenias,-2.250854488370458
cytopenias,-2.2440436781249122
cytopenias,-2.2435980172446683
cytopenias,-2.2225762976906553
cytopenias,-2.210751872698077
cytopenias,-2.1232297078689375
cytopenias,-2.069552105087676
cytopenias,-2.0185851509906505
cytopenias,-1.8473247265566501
cytopenias,-1.7790448219258215
cytopenias,-1.6964868718143629
cytopenias,-1.6509270548389758
cytopenias,-1.6501388654687228
cytopenias,-1.611542235976372
cytopenias,-1.3200760472208615
cytopenias,-1.3045572159539651
cytopenias,-1.1969074798100021
cytopenias,-1.0293501256111963
cytopenias,-0.8681343329789464
cytopenias,-0.674695410885469
cytopenias,-0.6695798745237643
cytopenias,-0.633422604257246
cytopenias,-0.5461355991389895
cytopenias,-0.5087239238824357
cytopenias,-0.40324322243101174
cytopenias,-0.1590715979318468
cytopenias,-0.11477215185122894
cytopenias,-0.10114081037075658
cytopenias,-0.07712921342305085
cytopenias,-0.06782227073636365
cytopenias,-0.04912127559979733
cytopenias,0.195992225221233
cytopenias,0.21404367875866673
cytopenias,0.526459495212084
cytopenias,0.5555465959736928
cytopenias,0.6223743749863633
cytopenias,0.7550991701424632
cytopenias,0.8219840985431005
cytopenias,0.8232863627006419
cytopenias,1.0249009647531748
cytopenias,1.0709841172912677
cytopenias,1.3159154802519324
cytopenias,1.3687511769497989
cytopenias,1.5627994206132676
cytopenias,1.5876988698390873
cytopenias,1.6392583715353375
cytopenias,1.6691358800245313
cytopenias,1.8485383064078027
cytopenias,1.864640285352213
cytopenias,1.937685157928506
cytopenias,1.9486372861299475
cytopenias,2.169652905411895
cytopenias,2.512859367590636
cytopenias,2.8673491724654494
cytopenias,3.1031082187027605
cytopenias,3.9165387697533394
cytopenias,4.070983176268919
cytopenias,4.111091816801654
cytopenias,4.55672538728034
cytopenias,4.892639236187706
cytopenias,5.159736005171473
cytopenias,5.503463602364496
cytopenias,5.552348140538235
cytopenias,6.209058957299811
cytopenias,6.212177278848686
cytopenias,6.293481989062323
cytopenias,6.415180582638944
cytopenias,6.455644062168771
cytopenias,6.5576877274113485
cytopenias,6.781692861952796
cytopenias,6.8612167498227725
cytopenias,7.090379948420274
cytopenias,7.361699707677002
cytopenias,7.733847969227875
cytopenias,9.881236226375325
cytopenias,10.45026520889009
cytopenias,10.587747003810064
dissection,-16.170389031908766
dissection,-15.082196771886458
dissection,-14.614042241193369
dissection,-12.366563936331746
dissection,-11.485461040927452
dissection,-10.644725805447683
dissection,-10.226093341679679
dissection,-10.169229269957533
dissection,-9.519519520926478
dissection,-9.220349971011354
dissection,-9.090225032245847
dissection,-8.657974573862289
dissection,-8.645181563895928
dissection,-7.742491811662819
dissection,-7.611053517836578
dissection,-7.391858164778479
dissection,-7.101870619378243
dissection,-6.495219704407488
dissection,-6.281497187520788
dissection,-6.103578899413657
dissection,-5.735242793713503
dissection,-5.576289960591738
dissection,-5.527052565462945
dissection,-5.129148846029194
dissection,-4.9725849131895385
dissection,-4.8508228550850845
dissection,-4.559200288670773
dissection,-4.256890332429569
dissection,-4.138708143226582
dissection,-3.934677285536322
dissection,-3.677261892451661
dissection,-3.4023594883884463
dissection,-3.202941066017417
dissection,-3.0843555144350847
dissection,-2.830386103762529
dissection,-2.726840698646399
dissection,-2.5883489302769975
dissection,-2.4765472413102465
dissection,-2.3739781165754374
dissection,-2.2693153019332555
dissection,-2.170016467031814
dissection,-1.950812006638178
dissection,-1.8588128068536238
dissection,-1.756808882242366
dissection,-1.7562299036327949
dissection,-1.609337714817814
dissection,-1.2925723330501213
dissection,-0.5107616456516301
dissection,-0.4604458682366836
dissection,-0.4565286020278367
dissection,-0.33624153450084543
dissection,-0.29310890101068177
dissection,-0.16810777518531983
dissection,-0.1601810503463336
dissection,-0.03713023500067986
dissection,0.8795853806245982
dissection,0.9332594718417732
dissection,1.0752018243119636
dissection,1.1241987855560815
dissection,1.167327405416734
dissection,1.2928351204657127
dissection,1.3713227133432893
dissection,1.5385788477758453
dissection,1.660273689147646
dissection,2.4485736407406518
dissection,3.2525272610122453
dissection,3.2874636803596897
dissection,3.5118590651441703
dissection,3.865930803074557
dissection,4.2533491335499205
dissection,4.521256944688322
dissection,4.5905302439541025
dissection,4.687159881703057
dissection,4.810532850452436
dissection,5.310568759689454
dissection,5.7284308098711865
dissection,5.937718787028626
dissection,6.307109445120294
dissection,6.330347160060045
dissection,6.341923911681743
dissection,6.637708025543245
dissection,6.905216832654619
dissection,7.23630676394076
dissection,7.336814256924245
dissection,7.53908094144757
dissection,7.672155158594147
dissection,7.731273797605646
dissection,7.786061853699312
dissection,7.906751764643831
dissection,8.189401425454104
dissection,8.61475122020591
dissection,8.615786542941134
dissection,8.740630559395113
dissection,8.842927694825788
dissection,9.399467163161527
dissection,11.76588199085564
dissection,11.850291463183185
dissection,11.95689592761341
dissection,14.917524552481213
perennibranch,-20.506857447545475
perennibranch,-14.169425520799166
perennibranch,-12.478032005400312
perennibranch,-12.41560161320013
perennibranch,-12.318616437494738
perennibranch,-10.89752912980564
perennibranch,-10.633069157991068
perennibranch,-10.461646512430415
perennibranch,-10.042098013658892
perennibranch,-9.584199352354611
perennibranch,-9.310654424714254
perennibranch,-8.696644801178739
perennibranch,-7.746268817420366
perennibranch,-6.60865259834913
perennibranch,-6.446668697167289
perennibranch,-5.680458589372186
perennibranch,-5.652235038921081
perennibranch,-4.839499130855797
perennibranch,-4.443978285702963
perennibranch,-4.390031769858092
perennibranch,-4.195140433664141
perennibranch,-4.119521045103712
perennibranch,-4.072798775716656
perennibranch,-4.029613536734156
perennibranch,-4.013250445129974
perennibranch,-3.6059734932833694
perennibranch,-3.09512001141103
perennibranch,-2.332389920389197
perennibranch,-2.3016818899680596
perennibranch,-2.0402969154393515
perennibranch,-1.7483269493370353
perennibranch,-1.5172743269399802
perennibranch,-1.2561223663212915
perennibranch,-1.116289688828243
perennibranch,-1.0485742967116527
perennibranch,-0.825256526581749
perennibranch,-0.7114236479557866
perennibranch,-0.6491139140377635
perennibranch,-0.5051041973307833
perennibranch,0.36063279448988517
perennibranch,0.6942734316379746
perennibranch,0.7743355819488544
perennibranch,0.8757256002070903
perennibranch,1.1762763513934964
perennibranch,1.183068871076753
perennibranch,1.5433177666249513
perennibranch,2.0001638763753693
perennibranch,2.0758580403343356
perennibranch,2.7416984160595486
perennibranch,2.8190216386830604
perennibranch,2.8389153458902623
perennibranch,3.6215842074712534
perennibranch,3.6237005705006475
perennibranch,3.859220867974233
perennibranch,4.0291163252662985
perennibranch,4.119588709973998
perennibranch,4.207987758384038
perennibranch,4.321042393159767
perennibranch,4.332388143874604
perennibranch,4.5881139259679875
perennibranch,4.711564407180968
perennibranch,4.821817007256186
perennibranch,5.368393591838288
perennibranch,5.7058487576115295
perennibranch,5.721426966396365
perennibranch,5.77526559608333
perennibranch,5.991147795515375
perennibranch,5.9912133813904775
perennibranch,6.0870037143320745
perennibranch,6.705480234039343
perennibranch,6.730589173463248
perennibranch,7.023044535195557
perennibranch,7.335339954777779
perennibranch,7.546642324898359
perennibranch,7.830165070814505
perennibranch,7.9385192171184995
perennibranch,8.330027984190284
perennibranch,8.383042458953522
perennibranch,8.422105761436498
perennibranch,8.685815242952225
perennibranch,9.43025392311266
perennibranch,9.663691940256346
perennibranch,9.666732118761297
perennibranch,10.990332786788032
perennibranch,11.16671623351101
perennibranch,11.520118257831822
perennibranch,12.126357907051267
perennibranch,12.143194600357958
perennibranch,12.80484637556016
perennibranch,15.143114668978258
perennibranch,16.196474494677616
perennibranch,16.411133415251868
perennibranch,19.684183885400774
perennibranch,23.993051440460498
