Judaea,biblioclast
effacement,-18.208025733185842
effacement,-17.36386626284322
effacement,-17.227152820738628
effacement,-16.20061678366666
effacement,-14.531123170033105
effacement,-13.471761853928395
effacement,-13.025766710310092
effacement,-11.617643563865427
effacement,-10.987601300039861
effacement,-9.801210331616927
effacement,-9.763440300928162
effacement,-9.134952617231294
effacement,-8.859064110941834
effacement,-8.845870098481612
effacement,-7.88008862209045
effacement,-7.522338523382693
effacement,-6.213622247584913
effacement,-6.0578895375874895
effacement,-5.9666343444566206
effacement,-5.922678326312301
effacement,-5.742147582117886
effacement,-5.628030742476357
effacement,-5.577705748846511
effacement,-5.409272965025821
effacement,-5.401445842683494
effacement,-5.40070376586737
effacement,-5.377780633045181
effacement,-5.037593628712875
effacement,-5.011924175881705
effacement,-4.897520883546981
effacement,-3.9047120277449987
effacement,-3.5723302392277008
effacement,-3.4556967296534093
effacement,-3.3659640933128205
effacement,-3.297801564184884
effacement,-2.907447995144374
effacement,-2.745895152160383
effacement,-2.6463008078336685
effacement,-2.5357020510093795
effacement,-1.7610254809518278
effacement,-1.4672849428063532
effacement,-0.6118146914621652
effacement,-0.14260778604898
effacement,-0.12983423090616492
effacement,-0.10830932497946887
effacement,-0.056789874182618855
effacement,-0.0025634877856369983
effacement,0.32814946854414356
effacement,0.47546475549100486
effacement,0.5465540901782879
effacement,1.1192901559303425
effacement,1.3168532692874606
effacement,1.8873301914268363
effacement,1.8996579535962803
effacement,2.2631758590596367
effacement,2.265692372301386
effacement,2.306402063055286
effacement,2.3608913006798113
effacement,2.536252719171682
effacement,2.87762604995362
effacement,3.4359813412394193
effacement,3.7829887039672796
effacement,3.8217550663605473
effacement,4.017900861180913
effacement,4.137767481556359
effacement,4.141364019524368
effacement,4.48308302614039
effacement,4.587518286699726
effacement,4.652990736547574
effacement,4.889215229926136
effacement,5.031613279086
effacement,5.255507385642448
effacement,5.335743465642857
effacement,5.552836573468603
effacement,5.588326475942002
effacement,5.599663209324207
effacement,5.850956198993344
effacement,6.084431395540031
effacement,6.320266896797173
effacement,6.409540011367009
effacement,6.47933195631024
effacement,6.55590011851971
effacement,6.873932654683428
effacement,6.983658897843544
effacement,7.013295705746693
effacement,7.435861429582289
effacement,7.762013645017265
effacement,7.788222951993292
effacement,8.259080569344098
effacement,8.4263199566124
effacement,8.599968611211798
effacement,8.625472567214121
effacement,8.861304853322483
effacement,9.026194004587184
effacement,9.115524731840717
effacement,9.226825084628736
effacement,9.258297345474846
effacement,9.654581092716697
effacement,9.657085102253282
effacement,9.915760831963336
effacement,11.628252097731362
effacement,11.669111274975775
effacement,11.70683260065021
effacement,15.59690067024145
effacement,16.21926290524224
effacement,23.51147319785873
augment,-10.439359278742572
augment,-9.427484270995489
augment,-9.08539481558573
augment,-8.525943747085677
augment,-8.105903613702385
augment,-7.844206414172788
augment,-7.35762165002129
augment,-6.931933570207605
augment,-6.649801276914855
augment,-6.144361757830426
augment,-6.023601343495054
augment,-5.996566282016645
augment,-5.850380967851003
augment,-5.613285481539894
augment,-5.257949051629373
augment,-5.041770056502085
augment,-5.003591355490709
augment,-4.856232876263923
augment,-4.736803505148759
augment,-4.411824615685669
augment,-4.209606864526098
augment,-4.020091835800712
augment,-3.7832713867640817
augment,-3.7392309389807736
augment,-3.663040746764521
augment,-3.6595469663832225
augment,-3.4503654800974317
augment,-3.431570684338058
augment,-3.3306560632613182
augment,-3.1722260796892257
augment,-3.026178506359079
augment,-2.6789918544917373
augment,-2.6083656259334562
augment,-1.9631357115749977
augment,-1.9026827092739285
augment,-1.8076923753641705
augment,-1.7303211770385918
augment,-1.672977239541179
augment,-1.5972615757414972
augment,-1.4384801254210864
augment,-1.3857733632445655
augment,-1.28803134016154
augment,-1.2335693869302604
augment,-1.132847715484885
augment,-1.1094743664834004
augment,-1.0583842005708854
augment,-1.0413155252671644
augment,-1.0099735852705647
augment,-0.9780179060876654
augment,-0.97103682468834
augment,-0.8070802547796913
augment,-0.73520716011157
augment,-0.4857448832401204
augment,-0.4800448999883617
augment,-0.1783164029689074
augment,-0.16440072919351756
augment,0.6315882666846622
augment,0.6604644429111329
augment,0.7007291203984813
augment,1.2608777049384308
augment,1.3917135756165635
augment,1.4562272722350358
augment,1.5768470553504084
augment,1.6256663821476205
augment,1.6412989396834086
augment,1.6417634476134857
augment,1.7135417407921127
augment,1.7221809975103148
augment,1.7636283091137586
augment,1.9268888865906426
augment,2.140129498779368
augment,2.200615624972339
augment,2.288324210392539
augment,2.3549279666512732
augment,2.6410493059901246
augment,2.663694757626157
augment,2.671909339950631
augment,3.117790720962127
augment,3.2574075719892983
augment,3.2966240253061785
augment,3.7277297668525393
augment,3.993675271925078
augment,4.043971816655802
augment,4.187687938343141
augment,4.274808245807671
augment,4.551224335108072
augment,4.6965933214143645
augment,4.921054825870134
augment,5.307486736761526
augment,5.374036251367448
augment,5.406602786421654
augment,6.083700185597745
augment,6.111932347030413
augment,6.673675253368991
augment,6.817921391814313
augment,7.8565889737282815
augment,8.214671414721606
augment,11.326851969403851
caramelisation,-22.08307204218212
caramelisation,-17.95921449770309
caramelisation,-15.56134576369155
caramelisation,-13.910822749077518
caramelisation,-12.199528006775678
caramelisation,-10.01159777872074
caramelisation,-9.932754138474449
caramelisation,-9.80475256295906
caramelisation,-9.796784867696191
caramelisation,-9.302015998281712
caramelisation,-8.884742059491302
caramelisation,-8.713918323861954
caramelisation,-8.40637879163811
caramelisation,-7.942684512957119
caramelisation,-7.786990681044382
caramelisation,-7.6938802312333845
caramelisation,-7.480797448628099
caramelisation,-7.457252611963909
caramelisation,-7.140082485862255
caramelisation,-7.001619690572802
caramelisation,-6.524028515661173
caramelisation,-6.492715547452628
caramelisation,-6.384164039799929
caramelisation,-6.383630322190676
caramelisation,-6.185737896007255
caramelisation,-6.110504808786167
caramelisation,-5.8469315321353585
caramelisation,-5.730242136726281
caramelisation,-5.5430001695920765
caramelisation,-5.468548208915224
caramelisation,-5.301950189315101
caramelisation,-5.114335634975709
caramelisation,-4.766771487804836
caramelisation,-4.657199948789265
caramelisation,-4.277247719265165
caramelisation,-2.912457737369514
caramelisation,-2.8851136440205836
caramelisation,-2.8815309608774613
caramelisation,-2.698516317446925
caramelisation,-2.4873591054820388
caramelisation,-2.3159175088544264
caramelisation,-1.7589461281983765
caramelisation,-1.7130971692937225
caramelisation,-1.69714339011141
caramelisation,-1.6845469321396036
caramelisation,-1.2369667082825162
caramelisation,-1.0911520051229053
caramelisation,-0.9031722853973418
caramelisation,-0.37099130959121096
caramelisation,-0.10300600124423472
caramelisation,-0.09543763259850097
caramelisation,0.005701267809359009
caramelisation,0.45915971177003007
caramelisation,0.5031922194894495
caramelisation,0.6480080677361735
caramelisation,0.6641203883595793
caramelisation,0.7248973152355899
caramelisation,0.9333869813863104
caramelisation,0.9494387041837964
caramelisation,0.9620525166660142
caramelisation,1.4428271985482706
caramelisation,2.13661898509812
caramelisation,2.2703361137537676
caramelisation,2.2728007615261
caramelisation,2.3098406915799368
caramelisation,2.5223781413392015
caramelisation,3.1018765606222902
caramelisation,3.380603235810658
caramelisation,3.41025185483882
caramelisation,3.4903883599561496
caramelisation,3.5174045903700897
caramelisation,3.969353717020767
caramelisation,4.139013543808251
caramelisation,4.163127333423622
caramelisation,4.664071514039548
caramelisation,5.735763331621159
caramelisation,5.972029744290102
caramelisation,6.042042000381035
caramelisation,6.357112137344041
caramelisation,6.5512722480587735
caramelisation,6.558848924087482
caramelisation,6.5637407961754874
caramelisation,7.069819327756986
caramelisation,7.075008657362759
caramelisation,7.10439954992217
caramelisation,7.8034798429096535
caramelisation,7.9900452127032064
caramelisation,8.487580175743512
caramelisation,8.538130488031479
caramelisation,8.705904817497027
caramelisation,9.053528240452728
caramelisation,9.927204271612888
caramelisation,10.362812157862551
caramelisation,11.068806583465214
caramelisation,11.137913377668253
caramelisation,11.402550849536727
caramelisation,12.284747911209497
caramelisation,12.6911576916857
caramelisation,14.20200783211108
caramelisation,17.5217663998131
caramelisation,18.575033777764517
azithromycin,-21.015609507385722
azithromycin,-17.2317197660741
azithromycin,-16.724482851337147
azithromycin,-14.54634274502703
azithromycin,-13.332539637284306
azithromycin,-12.54162825614667
azithromycin,-12.500076632015888
azithromycin,-11.955091820246318
azithromycin,-10.559251494953369
azithromycin,-10.539748657008166
azithromycin,-9.164513626927336
azithromycin,-8.737930662758105
azithromycin,-8.3080903477713
azithromycin,-7.50935509130222
azithromycin,-7.413433176302766
azithromycin,-6.922194650913819
azithromycin,-5.038622215624732
azithromycin,-4.9876707025283915
azithromycin,-4.969787118125016
azithromycin,-4.489499086835796
azithromycin,-4.269047841441815
azithromycin,-4.201886518872138
azithromycin,-4.162805542612389
azithromycin,-3.9924770862567707
azithromycin,-3.640902055387775
azithromycin,-3.340449623534104
azithromycin,-3.2753641324862137
azithromycin,-2.7755564258767134
azithromycin,-2.0450271840735272
azithromycin,-1.8148984821489453
azithromycin,-1.5969057667421922
azithromycin,-1.4966975723931926
azithromycin,-1.356097550265513
