0,substitutes,filibusters,fluor-spar,snowlines,lungers,Judaea,effacement
cytopenias,-4.0,6.9,-3.7,1.7,3.6,-4.5,4.1
snowlines,-4.4,7.2,2.9,5.8,1.7,0.2,-2.1
filibusters,8.9,-1.8,-2.9,-2.4,-5.6,6.5,-1.2
azithromycin,-0.3,7.8,-8.4,4.4,0.8,0.9,-6.0
dissection,1.1,1.5,5.8,-2.0,4.6,-5.6,-1.0
limey,0.8,5.6,0.9,4.8,1.2,-4.3,-11.0
substitutes,2.8,4.3,-7.6,-2.2,-0.4,-1.6,-1.4
spies,-1.0,1.0,9.4,6.5,0.5,3.8,3.8
fluor-spar,5.0,2.5,0.1,3.9,-1.0,2.2,2.5
Judaea,-2.2,0.8,3.8,-4.6,-2.7,-4.7,1.8
streptothricin,5.0,4.0,-2.2,-9.1,-6.7,-3.8,3.7
bull-tongue,-3.6,4.6,-1.5,1.9,6.6,7.8,-9.0
perennibranch,-3.1,2.0,0.7,1.4,-3.1,1.1,-2.5
