x,y,label
8.339,13.507,dissection
0.985,6.908,dissection
1.088,-34.785,dissection
-0.216,33.982,dissection
-3.167,-17.758,dissection
-1.793,-25.736,dissection
-12.042,24.643,dissection
4.059,2.594,dissection
4.686,-10.328,dissection
-0.284,-20.178,dissection
1.842,-29.408,dissection
0.235,-17.391,dissection
-2.581,37.049,dissection
3.447,-3.225,dissection
-4.322,18.866,dissection
15.948,-2.477,dissection
5.093,-37.581,dissection
0.012,16.65,dissection
7.584,32.233,dissection
-2.011,25.193,dissection
1.171,27.967,dissection
4.497,-53.767,dissection
9.849,-27.338,dissection
-5.397,11.834,dissection
7.463,-3.686,dissection
3.287,10.257,dissection
-1.223,12.149,dissection
1.866,-31.412,dissection
-0.165,12.132,dissection
-3.773,-67.13,dissection
3.001,-70.487,dissection
0.944,-39.23,dissection
-4.077,-23.045,dissection
0.533,32.462,dissection
-2.066,-11.888,dissection
-5.564,-26.568,dissection
-1.357,-3.44,dissection
0.243,18.363,dissection
-9.102,-29.111,dissection
-1.643,-68.146,dissection
-5.676,-1.358,dissection
-18.705,41.629,dissection
-0.041,0.108,dissection
3.497,-26.757,dissection
3.844,-29.791,dissection
-0.162,-17.457,dissection
-6.046,48.63,dissection
-0.806,2.417,dissection
-0.086,-14.631,dissection
6.056,-5.847,dissection
4.836,-32.642,dissection
6.013,-7.037,dissection
-4.215,64.953,dissection
-1.334,-27.025,dissection
-0.08,20.676,dissection
5.384,-57.816,dissection
-9.908,8.469,dissection
12.384,48.758,dissection
-0.0,6.607,dissection
-6.147,-40.263,dissection
-5.475,-8.401,dissection
2.986,-32.015,dissection
2.373,76.236,dissection
5.108,10.746,dissection
-0.999,-2.336,dissection
-2.58,-33.944,dissection
-3.099,35.178,dissection
1.772,-10.002,dissection
4.822,-70.925,dissection
7.799,35.039,dissection
-2.647,28.829,dissection
-0.591,32.833,dissection
5.105,22.555,dissection
6.174,-1.228,dissection
2.66,18.585,dissection
5.725,-38.255,dissection
0.767,-55.304,dissection
-3.758,17.811,dissection
6.969,13.079,dissection
0.357,-38.435,dissection
0.416,70.189,dissection
6.631,27.725,dissection
-1.466,59.016,dissection
-4.378,17.984,dissection
8.336,-5.844,dissection
0.036,84.528,dissection
-3.267,36.579,dissection
0.367,-54.063,dissection
0.346,-27.126,dissection
-1.5,-6.821,dissection
11.232,17.853,dissection
-0.949,-6.896,dissection
5.621,36.333,dissection
-0.729,-18.341,dissection
-12.521,41.236,dissection
0.277,37.85,dissection
-10.043,-12.813,dissection
-2.456,28.876,dissection
12.931,-35.697,dissection
3.87,98.772,dissection
0.544,33.922,dissection
1.99,-26.491,dissection
16.608,24.115,dissection
-1.436,22.026,dissection
-7.479,20.436,dissection
0.014,-30.773,dissection
-2.501,3.505,dissection
1.99,-27.768,dissection
0.789,35.684,dissection
3.8,14.4,dissection
20.247,-45.947,dissection
0.705,-32.507,dissection
-0.125,-35.206,dissection
4.152,21.124,dissection
-1.703,21.456,dissection
20.169,-30.852,dissection
4.044,49.958,dissection
