x_dissection,y_dissection,x_augment,y_augment
31.945,398.301,32.048,2962.282
32.951,350.22,33.054,3370.354
33.957,412.708,34.059,3312.932
34.963,496.684,35.065,3596.268
35.969,451.072,36.07,3936.11
36.975,504.692,37.076,4132.802
37.981,524.498,38.081,4418.907
38.988,550.694,39.087,4573.406
39.994,561.136,40.092,4808.796
41.0,665.142,41.098,4818.291
42.006,657.739,42.103,5310.817
43.012,763.333,43.109,5409.684
44.018,703.248,44.114,6003.061
45.024,768.456,45.12,6110.766
46.031,781.905,46.126,6325.707
47.037,774.593,47.131,6627.936
48.043,838.882,48.137,6723.458
49.049,915.925,49.142,7065.247
50.055,919.265,50.148,7725.08
51.061,914.303,51.153,7824.438
52.067,993.564,52.159,8125.479
53.073,1010.672,53.164,8480.376
54.08,1083.168,54.17,8763.481
55.086,1066.473,55.175,9188.691
56.092,1183.914,56.181,9365.361
57.098,1271.856,57.186,9802.83
58.104,1225.577,58.192,10086.098
59.11,1378.412,59.197,10409.43
60.116,1343.918,60.203,10735.141
61.123,1392.589,61.209,11155.768
62.129,1394.314,62.214,11562.677
63.135,1477.771,63.22,11924.181
64.141,1553.501,64.225,12309.969
65.147,1650.078,65.231,12865.303
66.153,1610.52,66.236,12993.644
67.159,1722.245,67.242,13533.767
68.165,1720.17,68.247,13886.509
69.172,1794.147,69.253,14299.202
70.178,1862.41,70.258,14959.322
71.184,1917.282,71.264,15183.748
72.19,1965.507,72.269,15664.864
73.196,2044.243,73.275,16097.105
74.202,2104.292,74.28,16592.337
75.208,2128.339,75.286,17111.537
76.215,2169.794,76.292,17570.568
77.221,2269.028,77.297,17925.761
78.227,2296.673,78.303,18612.092
79.233,2365.565,79.308,18979.683
80.239,2453.859,80.314,19401.453
81.245,2501.538,81.319,19855.197
82.251,2554.463,82.325,20391.159
83.258,2597.7,83.33,20698.251
84.264,2653.402,84.336,21312.578
85.27,2728.702,85.341,21963.645
86.276,2850.244,86.347,22330.481
87.282,2884.191,87.352,22951.778
88.288,2939.883,88.358,23532.37
89.294,3017.351,89.363,23907.545
90.3,3116.489,90.369,24628.898
91.307,3196.541,91.375,25263.273
92.313,3232.254,92.38,25741.388
93.319,3311.562,93.386,26303.979
94.325,3381.092,94.391,26930.162
95.331,3474.678,95.397,27421.5
96.337,3528.063,96.402,27983.144
97.343,3622.399,97.408,28768.655
98.35,3724.085,98.413,29181.173
99.356,3779.19,99.419,29770.901
100.362,3813.089,100.424,30352.683
101.368,4002.018,101.43,31031.669
102.374,4028.676,102.435,31640.648
103.38,4092.207,103.441,32249.532
104.386,4267.924,104.447,32739.652
105.393,4256.385,105.452,33454.396
106.399,4353.997,106.458,34149.919
107.405,4503.041,107.463,34806.489
108.411,4445.463,108.469,35537.855
109.417,4591.961,109.474,36110.234
110.423,4611.821,110.48,36854.071
111.429,4720.458,111.485,37578.168
112.435,4876.706,112.491,38079.722
113.442,4952.907,113.496,38770.502
114.448,5025.949,114.502,39548.588
115.454,5128.464,115.507,40222.17
116.46,5160.176,116.513,41016.954
117.466,5301.253,117.518,41678.469
118.472,5370.085,118.524,42460.863
119.478,5524.317,119.53,43093.898
120.485,5607.163,120.535,43866.098
121.491,5730.221,121.541,44734.498
122.497,5761.355,122.546,45491.203
123.503,5885.159,123.552,46074.651
124.509,5974.682,124.557,46779.984
125.515,6043.41,125.563,47779.328
126.521,6202.542,126.568,48406.425
127.528,6250.937,127.574,49333.081
128.534,6338.209,128.579,49984.895
129.54,6465.938,129.585,50830.647
130.546,6556.937,130.59,51586.8
131.552,6681.669,131.596,52332.135
132.558,6766.553,132.601,53159.841
133.564,6874.993,133.607,54159.978
134.57,7006.021,134.613,54739.351
135.577,7092.382,135.618,55588.472
136.583,7227.065,136.624,56498.658
137.589,7323.208,137.629,57220.42
138.595,7408.461,138.635,57987.444
139.601,7523.622,139.64,58847.982
140.607,7658.844,140.646,59721.107
141.613,7752.69,141.651,60650.383
142.62,7879.668,142.657,61501.791
143.626,7987.411,143.662,62434.27
144.632,8099.126,144.668,63358.523
145.638,8153.884,145.673,64240.944
146.644,8323.66,146.679,65124.116
147.65,8430.488,147.685,65949.783
148.656,8580.316,148.69,66918.333
149.663,8669.987,149.696,67863.214
150.669,8743.098,150.701,68851.652
151.675,8940.737,151.707,69724.941
152.681,9038.168,152.712,70469.313
153.687,9153.193,153.718,71483.57
154.693,9302.16,154.723,72385.139
155.699,9388.897,155.729,73477.236
156.705,9536.438,156.734,74400.798
157.712,9698.855,157.74,75304.304
158.718,9740.855,158.745,76264.496
159.724,9914.216,159.751,77192.662
160.73,10030.593,160.756,78189.831
161.736,10130.901,161.762,79383.022
162.742,10317.247,162.768,80172.783
163.748,10383.119,163.773,81238.943
164.755,10440.181,164.779,82290.915
165.761,10638.551,165.784,83259.016
166.767,10819.025,166.79,84381.933
167.773,10948.024,167.795,85312.457
168.779,11026.926,168.801,86322.74
169.785,11227.203,169.806,87313.72
170.791,11329.226,170.812,88417.739
171.798,11433.955,171.817,89468.952
172.804,11613.828,172.823,90612.062
173.81,11783.319,173.828,91524.791
174.816,11892.751,174.834,92576.628
175.822,12025.175,175.839,93611.703
176.828,12180.66,176.845,94755.412
177.834,12283.499,177.851,95848.695
178.84,12432.038,178.856,96888.276
179.847,12553.785,179.862,97874.982
180.853,12784.502,180.867,99074.254
181.859,12864.081,181.873,100254.236
182.865,13009.251,182.878,101348.921
183.871,13216.161,183.884,102490.942
184.877,13343.448,184.889,103709.338
185.883,13450.32,185.895,104755.893
186.89,13609.47,186.9,105833.294
187.896,13750.574,187.906,107132.222
188.902,13819.135,188.911,108369.266
189.908,14066.857,189.917,109408.023
190.914,14138.69,190.923,110581.509
191.92,14355.621,191.928,111580.528
192.926,14515.618,192.934,112896.807
193.933,14668.038,193.939,114110.253
194.939,14812.489,194.945,115236.561
195.945,15000.737,195.95,116431.361
196.951,15170.709,196.956,117646.253
197.957,15285.2,197.961,118783.41
198.963,15418.882,198.967,120076.237
199.969,15571.792,199.972,121131.976
200.975,15733.204,200.978,122577.839
201.982,15873.125,201.983,123713.096
202.988,16043.909,202.989,124943.819
