0,cytopenias,snowlines,filibusters,azithromycin,dissection,limey,substitutes,spies,fluor-spar
spies,-14.8,4.2,2.2,18.7,-0.2,-5.9,-8.3,-0.0,-0.2
streptothricin,-7.5,-9.0,7.7,20.2,10.3,-0.2,-1.1,-10.3,-10.2
mastiffs,-10.7,2.7,4.9,19.0,-3.8,-17.6,1.1,-7.7,-21.1
fluor-spar,2.9,-17.9,1.7,0.1,7.1,-18.1,-23.2,2.0,-2.7
caramelisation,-14.5,-10.2,-9.6,7.4,-9.3,-3.8,-3.4,-5.0,10.9
lungers,-0.5,12.9,-8.2,17.7,-12.7,0.6,1.6,-6.7,-23.6
filibusters,-0.7,18.8,4.3,-12.3,7.5,-7.5,-1.6,-21.2,-3.5
Judaea,12.4,10.5,-15.2,11.7,-4.1,-17.9,-3.7,-9.7,-12.4
limey,9.3,23.2,4.8,-7.2,14.5,-14.3,-30.3,-12.9,3.8
bull-tongue,0.2,-4.2,8.9,4.3,-3.0,10.8,4.5,3.7,14.5
perennibranch,-4.8,3.2,18.0,-3.2,14.5,-5.4,12.5,0.5,1.9
