x_snowlines,y_snowlines,x_effacement,y_effacement,x_dissection,y_dissection,x_rhomboids,y_rhomboids
-4.858,-15.302,9.697,-87.552,-0.305,16.637,-8.602,-53.842
4.864,-40.99,-1.447,-31.058,0.37,-11.336,6.244,22.007
6.894,-56.387,-14.408,76.964,-0.953,13.397,-2.499,27.214
-16.328,162.23,-2.458,3.527,-1.859,2.336,4.421,-5.58
9.361,-102.666,1.015,-15.183,0.028,-26.59,2.745,-40.42
0.326,-1.989,-0.71,-27.946,6.39,29.452,2.693,41.109
0.618,70.349,0.079,-34.593,5.79,34.575,3.412,14.687
-14.175,89.641,6.283,-35.564,5.109,38.309,3.722,-15.856
0.001,26.102,8.354,-61.7,8.343,43.651,-4.5,-1.89
0.392,45.098,-3.521,1.39,2.408,-8.013,6.37,18.331
-1.591,19.6,0.33,-20.038,0.177,1.196,0.341,57.458
-3.817,80.118,-2.082,1.121,-5.783,24.81,0.249,26.078
4.214,-34.619,5.205,-9.896,0.876,0.474,-1.958,36.498
2.551,-56.688,0.299,3.377,-8.629,46.571,-0.068,36.51
2.289,-43.612,-3.202,-2.426,7.11,33.094,3.442,21.619
-6.866,50.23,2.599,-28.656,-1.843,17.857,-5.816,-8.961
-0.571,-52.629,2.524,-28.027,-1.152,28.683,5.301,4.966
-0.572,3.571,-8.349,54.713,-8.869,55.536,-3.078,-2.721
-0.185,39.869,0.993,-12.242,-7.79,41.482,-5.468,-11.866
-0.971,19.037,-4.708,24.023,-5.152,16.771,8.236,-32.382
-3.444,-31.056,2.455,-32.676,-2.879,0.99,-3.647,-29.369
0.803,26.801,0.661,-24.834,-1.739,-10.917,-0.017,-69.972
1.017,-91.73,-0.049,11.626,-15.775,216.873,-2.891,-3.206
-3.27,75.348,-0.076,-21.007,-5.648,16.253,14.417,35.2
2.714,-34.386,1.313,0.943,-4.874,44.686,-12.157,34.494
3.176,41.371,-3.196,17.063,-12.224,135.585,-16.834,-0.147
-0.874,-5.643,2.105,-60.441,0.093,17.058,-1.793,-36.933
0.586,-26.329,0.634,-23.451,2.357,1.375,3.428,-13.709
1.489,31.124,30.426,-161.974,-3.52,36.421,0.109,-18.666
1.691,-15.133,-2.387,-11.102,5.006,15.415,7.386,36.106
9.052,-17.426,-2.733,22.942,-1.296,-10.072,0.192,0.493
7.157,-28.158,-2.92,-6.002,3.28,4.098,0.256,30.551
-5.532,73.952,1.309,2.314,0.145,-3.152,-7.247,7.807
7.945,-71.218,0.129,1.378,-0.295,16.05,-21.314,13.247
2.853,10.225,-1.294,-32.271,3.984,2.188,-2.59,30.157
0.368,-2.314,-2.232,4.342,2.856,15.284,-0.027,2.287
-16.416,98.613,1.577,-8.934,0.415,2.272,1.32,12.539
-0.17,79.974,0.015,-8.268,9.499,80.019,-3.459,4.313
0.702,50.501,13.159,-86.787,-4.675,19.513,5.387,6.233
-0.002,-41.292,0.163,-6.707,-0.35,-15.144,0.648,-45.508
2.896,-36.817,3.113,-27.529,-1.872,31.552,-9.898,-34.418
-0.401,36.149,-17.168,98.133,-0.691,16.316,-8.281,-39.501
-10.261,71.813,-10.398,91.764,-11.263,122.789,0.618,-5.565
3.215,-39.267,5.955,-19.4,1.309,5.465,8.416,-8.432
-1.32,42.593,5.949,-32.698,3.605,21.975,3.124,-19.878
5.924,-31.456,8.079,-68.154,1.118,3.726,-3.036,14.986
2.971,-101.686,2.404,-40.001,-17.351,241.285,-8.251,-67.422
0.733,-51.589,0.087,-10.586,-1.38,20.57,-0.55,-46.397
-4.207,-0.11,-3.74,10.384,4.706,4.245,0.356,36.499
-0.745,61.161,0.3,25.066,1.896,-1.419,-5.121,56.759
-1.027,18.723,13.838,-61.019,-13.748,133.696,7.528,3.444
0.075,27.903,-2.695,10.78,4.015,-5.416,-2.955,26.332
2.048,-33.135,1.56,5.499,2.077,28.364,2.045,73.317
-1.239,44.576,-15.195,95.221,-8.547,83.936,1.179,47.51
0.387,-2.25,1.991,-18.906,12.137,72.634,-5.256,-60.104
1.834,-63.215,0.424,-27.225,-0.488,-17.137,-1.03,-15.56
0.032,37.762,1.739,-29.534,9.414,78.483,11.959,64.3
-0.296,-53.138,-4.041,6.965,4.517,42.808,9.46,-15.571
-0.854,20.388,-0.05,-0.947,7.318,40.294,4.357,44.028
3.354,28.973,5.581,-28.443,0.814,5.96,-0.189,-5.259
0.87,-18.525,4.016,-66.915,-8.98,55.614,-7.985,-8.054
-1.987,43.384,14.327,-96.388,-2.114,-8.78,1.073,27.906
0.864,-10.923,4.695,3.749,-0.018,-12.432,1.31,60.513
0.644,12.32,0.303,-29.895,0.14,-4.979,3.54,0.114
8.867,-47.738,1.513,-40.172,0.111,-6.165,5.301,3.331
-15.051,87.151,5.539,-38.929,0.772,-12.528,0.524,22.161
-3.554,-14.583,4.385,-27.839,-2.997,10.2,-8.871,-43.639
0.545,30.111,-7.832,41.063,0.397,5.99,-2.309,23.354
-1.437,-91.918,3.457,-34.962,-0.584,15.831,-2.139,42.453
0.161,29.363,-2.109,4.926,-15.145,190.464,0.309,-12.664
-9.176,30.664,-0.221,-20.876,-0.692,-2.786,3.405,21.541
-0.087,-16.288,-0.369,-5.295,-2.875,-10.808,-0.503,-13.931
1.42,-20.118,-0.937,5.742,14.466,169.96,2.7,51.243
1.225,-5.296,-2.233,3.42,-1.645,0.166,-4.315,-47.707
1.772,28.851,3.763,-8.422,0.096,-24.205,5.979,6.732
-2.445,33.755,2.216,-11.65,0.707,-13.435,3.488,2.649
-7.697,97.608,-5.712,-4.987,11.839,103.953,5.577,88.361
0.377,48.844,-11.879,125.799,-11.745,103.525,6.057,46.877
1.012,-77.583,-1.326,-4.446,-1.184,-8.018,-10.802,-25.058
-3.446,35.263,7.703,-49.281,6.546,27.394,0.053,28.672
-3.938,35.798,6.026,-59.144,-8.88,69.157,6.464,-6.922
12.401,-34.02,-0.369,-2.03,0.509,-3.734,4.846,30.804
1.975,-28.762,-4.988,11.006,-0.172,30.417,2.61,50.282
-0.107,-18.826,4.222,8.255,-6.898,39.582,-4.092,-67.667
-10.193,41.736,5.524,-40.726,2.094,-4.883,0.983,-44.739
-12.603,66.674,-3.798,8.598,-0.203,4.219,1.32,9.965
12.594,-133.943,0.776,-0.491,-0.081,4.666,0.084,-37.191
3.966,-22.345,-2.267,45.941,-6.774,61.54,9.61,34.516
-1.653,9.527,-0.47,3.678,0.007,12.046,-0.861,44.958
-12.063,32.362,5.757,-14.79,3.362,4.711,-10.17,5.963
13.567,-80.134,-1.892,6.097,-2.296,17.662,1.566,2.148
-8.712,68.208,8.641,-54.45,-10.016,119.005,-5.004,-28.12
-0.429,21.196,-0.257,53.513,-0.144,-30.433,-1.838,25.947
0.878,25.381,-0.39,0.86,-10.91,119.085,5.828,42.308
-3.749,21.042,4.977,-50.492,-0.067,19.701,2.243,56.282
-0.233,14.582,-0.206,-5.609,-0.46,0.869,-0.293,-1.676
4.503,-18.318,-1.556,-12.747,-5.586,36.57,0.127,-35.966
-3.494,43.449,-2.47,-4.807,-0.27,11.071,-0.055,51.912
-6.042,-3.603,0.162,-13.516,-0.069,-2.631,-13.903,-21.943
1.29,-55.763,0.724,6.954,15.205,152.385,-0.747,-6.691
0.192,-58.521,4.489,-26.733,1.488,-3.66,-2.109,18.932
1.469,8.483,2.424,-27.936,2.442,2.875,3.914,1.525
-0.309,31.723,-0.996,2.736,1.192,-2.097,0.606,24.277
1.097,56.736,0.588,-38.865,4.409,20.396,-2.422,-0.685
-4.825,25.934,-3.026,32.215,-9.561,74.006,8.952,80.548
6.655,-65.37,-0.07,-2.31,0.053,1.12,-0.707,10.198
-1.427,10.32,5.129,-39.332,9.77,63.947,-3.174,10.188
2.218,17.091,-2.143,-5.728,4.527,10.73,-7.651,15.353
9.639,-39.166,-2.969,24.65,-5.031,22.863,-4.025,1.23
-3.976,4.711,8.809,-60.233,-2.022,14.149,-2.633,35.855
-7.808,74.831,3.627,-45.087,15.579,196.012,0.57,-30.337
-0.602,15.803,0.89,10.041,2.022,25.52,11.201,54.486
-0.24,37.732,1.581,-10.125,0.936,-6.57,0.722,23.474
-0.653,14.468,-8.512,73.687,-2.47,24.163,-1.758,-37.014
1.268,-5.626,11.051,-79.249,-0.23,-11.991,0.221,-8.39
-0.029,73.86,-2.144,-19.905,-1.408,7.639,-1.38,22.439
0.109,11.856,0.383,-23.42,6.594,30.548,-0.076,-16.761
-0.012,-0.53,-0.985,-17.067,4.107,17.091,-0.879,-33.025
0.621,-11.857,0.293,-21.84,-3.155,0.834,5.333,69.164
-0.822,14.559,-5.837,1.564,0.586,5.96,-3.046,-19.076
-1.578,30.106,-3.297,-28.575,-8.804,93.318,-3.191,-8.179
-4.325,67.93,4.266,-31.03,0.241,10.818,-1.09,-30.421
-0.931,-2.721,4.94,-52.336,-8.815,61.096,1.527,-4.547
-0.125,-14.844,-0.242,19.203,3.525,2.295,9.454,38.194
2.082,2.877,0.078,-25.737,-3.38,-10.084,4.298,-30.818
-5.669,51.541,-4.597,20.6,4.388,45.883,0.117,40.676
-1.994,11.963,-1.921,0.764,0.104,24.334,3.694,-10.846
2.634,-2.699,-3.338,11.532,2.683,4.917,-0.539,-13.735
0.182,58.569,1.01,25.579,-7.017,42.703,2.275,68.403
-1.364,-49.686,-0.115,9.219,-1.919,-6.312,5.076,66.235
0.913,-44.518,0.082,-24.783,2.356,10.428,4.499,-52.697
10.933,-89.315,-3.029,26.405,-13.652,167.173,-15.603,-82.799
3.61,-50.065,4.999,-51.847,5.271,11.53,-5.692,46.86
-1.003,39.598,-1.203,1.563,2.292,-1.076,-1.594,-29.089
0.462,-3.934,-0.077,-23.354,-2.831,1.124,-1.999,26.508
-2.992,23.083,-2.082,2.364,6.658,20.686,13.311,25.057
-2.838,36.23,-4.812,55.904,2.041,6.262,6.286,42.412
1.992,6.461,-1.329,3.355,1.228,3.648,0.15,63.095
0.444,49.718,-0.031,20.112,5.267,20.787,-7.713,-3.032
5.149,-73.377,6.572,-34.526,1.068,10.399,2.648,26.966
0.742,27.259,-13.601,80.496,-4.323,55.906,11.574,-20.181
-4.6,17.496,-2.988,22.946,-4.286,28.435,0.7,-5.756
0.405,-45.356,3.426,-53.41,-17.993,275.515,4.155,55.204
4.897,-43.237,-6.296,34.752,1.98,14.987,5.137,17.595
