x_lungers,y_lungers,x_cytopenias,y_cytopenias,x_augment,y_augment
-140.875,-12441.5,-141.272,-529.349,-141.374,35410.791
-139.863,-12249.087,-140.258,-534.426,-140.36,34803.251
-138.852,-12080.006,-139.244,-520.918,-139.346,34155.116
-137.841,-11879.501,-138.23,-481.616,-138.331,33896.313
-136.829,-11704.699,-137.217,-491.834,-137.317,33456.373
-135.818,-11563.047,-136.203,-456.173,-136.302,32723.476
-134.807,-11347.028,-135.189,-509.393,-135.288,32348.213
-133.795,-11175.507,-134.175,-466.806,-134.274,31849.991
-132.784,-11010.157,-133.162,-480.404,-133.259,31449.056
-131.773,-10866.401,-132.148,-452.177,-132.245,30873.789
-130.761,-10678.111,-131.134,-481.37,-131.23,30622.008
-129.75,-10492.799,-130.12,-483.314,-130.216,29840.657
-128.738,-10365.332,-129.106,-466.772,-129.202,29444.613
-127.727,-10166.114,-128.093,-424.388,-128.187,29044.293
-126.716,-9990.491,-127.079,-410.882,-127.173,28488.564
-125.704,-9842.639,-126.065,-433.915,-126.158,28102.136
-124.693,-9689.919,-125.051,-475.133,-125.144,27724.105
-123.682,-9528.821,-124.038,-424.62,-124.13,27217.171
-122.67,-9351.512,-123.024,-474.087,-123.115,26557.856
-121.659,-9179.07,-122.01,-450.064,-122.101,26230.005
-120.648,-9025.426,-120.996,-413.205,-121.087,25911.529
-119.636,-8891.374,-119.983,-408.416,-120.072,25503.091
-118.625,-8734.009,-118.969,-422.59,-119.058,24966.471
-117.613,-8589.315,-117.955,-410.174,-118.043,24763.675
-116.602,-8418.616,-116.941,-391.796,-117.029,24094.53
-115.591,-8286.894,-115.927,-423.293,-116.015,23787.668
-114.579,-8126.258,-114.914,-378.975,-115.0,23381.927
-113.568,-8009.696,-113.9,-418.908,-113.986,23034.884
-112.557,-7835.122,-112.886,-377.002,-112.971,22604.906
-111.545,-7679.333,-111.872,-403.145,-111.957,22114.935
-110.534,-7563.933,-110.859,-354.456,-110.943,21829.497
-109.523,-7410.704,-109.845,-377.702,-109.928,21420.643
-108.511,-7287.295,-108.831,-372.945,-108.914,21071.739
-107.5,-7134.757,-107.817,-372.107,-107.899,20608.07
-106.488,-6994.8,-106.804,-365.316,-106.885,19942.095
-105.477,-6850.442,-105.79,-308.749,-105.871,19779.824
-104.466,-6670.792,-104.776,-356.491,-104.856,19633.28
-103.454,-6587.484,-103.762,-355.91,-103.842,19133.368
-102.443,-6457.242,-102.748,-352.731,-102.828,18784.117
-101.432,-6330.744,-101.735,-332.867,-101.813,18348.761
-100.42,-6157.87,-100.721,-327.677,-100.799,17871.954
-99.409,-6098.322,-99.707,-329.018,-99.784,17638.919
-98.398,-5915.935,-98.693,-336.934,-98.77,17246.681
-97.386,-5812.261,-97.68,-331.054,-97.756,16924.957
-96.375,-5695.431,-96.666,-347.293,-96.741,16859.058
-95.363,-5563.594,-95.652,-309.889,-95.727,16176.464
-94.352,-5432.485,-94.638,-327.634,-94.712,15787.438
-93.341,-5344.938,-93.625,-260.454,-93.698,15537.871
-92.329,-5194.471,-92.611,-310.979,-92.684,15266.88
-91.318,-5086.751,-91.597,-296.603,-91.669,14600.34
-90.307,-4997.087,-90.583,-297.243,-90.655,14582.356
-89.295,-4848.43,-89.569,-276.674,-89.64,14175.818
-88.284,-4751.635,-88.556,-307.26,-88.626,13839.899
-87.273,-4629.235,-87.542,-287.304,-87.612,13490.142
-86.261,-4514.897,-86.528,-255.005,-86.597,13252.321
-85.25,-4406.219,-85.514,-287.463,-85.583,12972.922
-84.238,-4308.139,-84.501,-238.997,-84.568,12863.759
-83.227,-4178.426,-83.487,-268.969,-83.554,12303.975
-82.216,-4116.561,-82.473,-247.841,-82.54,12188.404
-81.204,-3965.566,-81.459,-239.274,-81.525,11764.804
-80.193,-3932.492,-80.446,-251.517,-80.511,11422.071
-79.182,-3767.0,-79.432,-270.616,-79.497,11164.791
-78.17,-3661.874,-78.418,-236.529,-78.482,11074.527
-77.159,-3562.731,-77.404,-272.704,-77.468,10487.531
