fluor-spar\rhomboids,snowlines,effacement,dissection
1,76.04369860801967,65.17135827434613,66.79104137989751
2,76.64370528413629,69.38931001163132,79.45222281652966
3,81.30192012373486,58.25555871515346,72.5318166531602
4,66.80080514771367,82.63314536557479,63.62842188598654
5,82.36377622356696,55.06651795497248,64.95564878280213
6,80.73510648499982,75.62387324776628,72.31966175785048
7,71.44558688924226,72.9341396707006,91.96210171346456
8,92.87210591857344,74.18686061749577,61.08840153424333
9,69.48560525071723,80.44628082270421,74.06034168751593
10,77.06972873224319,48.18268668149016,78.4902547509085
11,73.90846790000684,87.38774414889788,68.24182186794188
12,85.42805493709575,58.27899184118432,66.92372259281603
