cytopenias,effacement
snowlines,-4.913110550479064
snowlines,-4.895741068542851
snowlines,-4.8875650806041655
snowlines,-4.7367239036879045
snowlines,-4.50851197003073
snowlines,-4.325343644948806
snowlines,-4.216548539872348
snowlines,-4.126391437016305
snowlines,-3.8151997926623364
snowlines,-3.790181865020639
snowlines,-3.6312400756448913
snowlines,-3.5040664335318
snowlines,-3.4989125920153685
snowlines,-3.3943372731969363
snowlines,-3.3611591670907126
snowlines,-3.327844979972441
snowlines,-3.1938484821521573
snowlines,-3.0959793003361082
snowlines,-2.9564511199453882
snowlines,-2.851852975160755
snowlines,-2.842442735426026
snowlines,-2.6436620581040864
snowlines,-2.541718294966869
snowlines,-2.369515621102893
snowlines,-2.270746577899002
snowlines,-2.054223690735327
snowlines,-2.0237550420690273
snowlines,-1.9833440369679074
snowlines,-1.8164046531680798
snowlines,-1.7538822856242453
snowlines,-1.6675876937554257
snowlines,-1.640058858409281
snowlines,-1.6332744779751975
snowlines,-1.607089323997194
snowlines,-1.5562205609143274
snowlines,-1.5292053683926676
snowlines,-1.27661123137417
snowlines,-1.221248408000825
snowlines,-1.204361009540841
snowlines,-1.1056954384671749
snowlines,-1.0869035718427988
snowlines,-1.0200322106457465
snowlines,-1.0016554473019488
snowlines,-0.9654987291045491
snowlines,-0.8697419096489124
snowlines,-0.8525485367268292
snowlines,-0.847385690547997
snowlines,-0.723831652879611
snowlines,-0.6456301876179062
snowlines,-0.6246830918048516
snowlines,-0.44216797048431805
snowlines,-0.37130687939753565
snowlines,-0.26617219421486266
snowlines,-0.15879003043646142
snowlines,-0.08060783514326081
snowlines,-0.04216586257891561
snowlines,0.12302652802240463
snowlines,0.20425812889389217
snowlines,0.21973103498787938
snowlines,0.25618330313028354
snowlines,0.3251962048621624
snowlines,0.3415317965517013
snowlines,0.414418689250277
snowlines,0.584876025898602
snowlines,0.6148638801043934
snowlines,0.7083808751990717
snowlines,0.8179492968709867
snowlines,0.8415107805184431
snowlines,0.8731817601457488
snowlines,0.8941098205265312
