snowlines\augment,rhomboids,spies,cytopenias,mastiffs
2,27.09325974911235,25.04960040546304,17.27865005078633,26.939404078656203
3,23.946078771683283,26.65409122596005,17.836006032292822,37.07233409832247
4,29.645616488604354,32.75655803104584,20.39570338518118,33.765436615222676
5,25.57994213297257,39.08965350233103,10.969582086743097,35.45863563846343
6,28.362817832719,27.996671338302182,17.688144560665123,20.07229428310012
7,30.78184141483407,26.205440433538293,20.729620134835876,30.425109053322746
8,22.604045109224106,47.190893096100126,18.82310864325409,12.177341972103662
9,23.45295510658165,37.88439659874651,17.36765078766206,35.90808209731359
10,35.85355296175845,32.15264077337049,19.013475217769212,34.690176781277046
11,30.744583776814835,33.23312977315034,17.300134189688833,35.85071370919917
12,28.32852067770073,25.967603424628503,18.063484419734056,20.275677079678104
13,25.533224065803914,30.514732244346465,12.553567990891148,36.60192171400988
14,24.032594976866548,33.9248935861938,17.652636997235586,49.67428464708816
15,28.3956347925443,42.93829691815435,22.340554047617758,37.22733112435427
