x_rhomboids,y_rhomboids,x_spies,y_spies
-17.12,123.249,-17.019,-125.965
-16.105,114.683,-16.005,-126.026
-15.09,109.262,-14.991,-126.097
-14.075,104.48,-13.977,-22.542
-13.06,90.375,-12.964,-122.473
-12.045,86.346,-11.95,-83.819
-11.029,74.981,-10.936,-96.664
-10.014,70.977,-9.922,-84.112
-8.999,63.299,-8.909,-87.289
-7.984,54.176,-7.895,-1.662
-6.969,52.522,-6.881,-46.768
-5.954,42.684,-5.867,-34.028
-4.939,33.38,-4.853,40.4
-3.923,23.117,-3.84,-18.152
-2.908,19.841,-2.826,8.741
-1.893,13.344,-1.812,-65.4
-0.878,4.507,-0.798,-7.547
0.137,0.708,0.215,-10.502
1.152,-11.053,1.229,7.614
2.167,-15.319,2.243,-28.759
3.182,-24.349,3.257,0.706
4.198,-31.16,4.27,95.676
5.213,-40.538,5.284,2.866
6.228,-45.719,6.298,17.849
7.243,-54.33,7.312,-34.918
8.258,-62.787,8.325,41.86
9.273,-67.928,9.339,123.346
10.288,-78.157,10.353,139.991
11.304,-85.159,11.367,47.116
12.319,-90.22,12.381,-44.703
13.334,-97.197,13.394,1.284
14.349,-103.572,14.408,89.012
15.364,-106.537,15.422,79.232
16.379,-119.473,16.436,126.035
17.394,-119.92,17.449,69.396
18.41,-131.448,18.463,159.826
19.425,-141.74,19.477,101.946
20.44,-150.012,20.491,4.293
21.455,-152.487,21.504,140.086
22.47,-164.893,22.518,52.695
23.485,-173.612,23.532,108.845
24.5,-177.343,24.546,136.524
25.516,-182.959,25.559,99.577
26.531,-190.859,26.573,121.646
27.546,-194.526,27.587,157.789
28.561,-202.357,28.601,109.951
29.576,-213.303,29.615,141.621
30.591,-218.46,30.628,158.623
31.606,-220.857,31.642,97.39
32.622,-233.887,32.656,108.335
33.637,-245.576,33.67,156.22
34.652,-248.078,34.683,184.97
35.667,-250.425,35.697,143.776
36.682,-264.525,36.711,71.943
37.697,-270.361,37.725,151.687
38.712,-277.49,38.738,122.629
39.727,-287.0,39.752,157.105
40.743,-290.258,40.766,91.128
41.758,-296.013,41.78,133.583
42.773,-311.03,42.794,228.121
43.788,-319.137,43.807,146.306
44.803,-321.003,44.821,172.956
45.818,-326.531,45.835,267.905
46.833,-336.161,46.849,82.757
47.849,-343.458,47.862,164.594
48.864,-348.901,48.876,271.215
49.879,-357.202,49.89,231.675
50.894,-361.105,50.904,210.587
51.909,-369.421,51.917,297.376
52.924,-379.102,52.931,208.926
53.939,-389.815,53.945,182.334
54.955,-390.269,54.959,134.618
55.97,-402.116,55.972,199.187
56.985,-410.591,56.986,306.85
58.0,-415.155,58.0,248.955
