azithromycin,effacement
streptothricin,-8.222637918339379
streptothricin,-5.105306899142709
streptothricin,-4.9816438952270365
streptothricin,-4.908642618363199
streptothricin,-4.781123858380643
streptothricin,-4.553835458105388
streptothricin,-4.313702135318592
streptothricin,-4.296507284637475
streptothricin,-4.149195133134531
streptothricin,-3.831728563418745
streptothricin,-3.608774178456109
streptothricin,-3.333739800742724
streptothricin,-3.3207681271556457
streptothricin,-3.2702440596950364
streptothricin,-3.254231286984169
streptothricin,-3.192124187714801
streptothricin,-3.18070851558468
streptothricin,-3.154383725242807
streptothricin,-3.1476109981704448
streptothricin,-3.1386062098078757
streptothricin,-3.123837479447299
streptothricin,-3.109424422973899
streptothricin,-2.844566997732063
streptothricin,-2.683347756625675
streptothricin,-2.4363967207007953
streptothricin,-2.368123021096835
streptothricin,-2.3143887834993184
streptothricin,-2.3020308186719496
streptothricin,-1.952380604227096
streptothricin,-1.8606849212478123
streptothricin,-1.8214101581728532
streptothricin,-1.6189504898553013
streptothricin,-1.6035985388870595
streptothricin,-1.541047099560602
streptothricin,-1.5228851750286063
streptothricin,-1.4941120456777162
streptothricin,-1.436695915156268
streptothricin,-1.1703230128413398
streptothricin,-1.0004719522459007
streptothricin,-0.9513392953807012
streptothricin,-0.9497934663625218
streptothricin,-0.8921377738340884
streptothricin,-0.7771261919967679
streptothricin,-0.7439284728180796
streptothricin,-0.7140489334248591
streptothricin,-0.38084447513708874
streptothricin,-0.36072593234807
streptothricin,-0.31957045700600534
streptothricin,-0.2642227541460319
streptothricin,-0.1768176076464814
streptothricin,-0.17350247185773152
streptothricin,0.047463301737979774
streptothricin,0.1323336792360063
streptothricin,0.20323411908200031
streptothricin,0.20564423099377308
streptothricin,0.20936676352117234
streptothricin,0.342809048000416
streptothricin,0.5721633261313946
streptothricin,0.7715638491493039
streptothricin,0.8041710319253926
streptothricin,0.829661353046865
streptothricin,0.8349863233398318
streptothricin,0.8788327858119078
streptothricin,0.9743566238391868
streptothricin,1.0027349384393482
streptothricin,1.0633929998998723
streptothricin,1.0647952556611786
streptothricin,1.094488685474536
streptothricin,1.2653862868693653
streptothricin,1.3427624078553035
streptothricin,1.4995737543364707
streptothricin,1.5227614157548406
streptothricin,1.6658634907869583
streptothricin,1.7727655487509242
streptothricin,2.0930471418092185
streptothricin,2.1319139779386997
streptothricin,2.2881193870567014
streptothricin,2.4405025943387164
streptothricin,2.4490634570489385
streptothricin,2.6264979537515916
streptothricin,2.636954597297177
streptothricin,2.6644047691296655
streptothricin,2.7076959748105742
streptothricin,2.7753862029804894
streptothricin,2.971814152425816
streptothricin,2.9866636558491955
streptothricin,3.0043488443224957
streptothricin,3.04647387286367
streptothricin,3.282619641683698
streptothricin,3.3111341154922447
streptothricin,3.3636886909106773
streptothricin,3.3675942652021496
streptothricin,3.49394269276864
streptothricin,3.6013795931804653
streptothricin,3.6773979229915756
streptothricin,4.199605357264445
streptothricin,4.200016322986215
streptothricin,4.576502264474634
streptothricin,4.653566191521858
streptothricin,4.881411716530051
streptothricin,4.914611712304557
streptothricin,4.942429099044353
streptothricin,5.553427811257773
substitutes,-20.876650564592925
substitutes,-17.620512874261166
substitutes,-17.536807789998008
substitutes,-16.737421547852943
substitutes,-15.273827352369478
substitutes,-15.27203897376981
substitutes,-15.08150457831402
substitutes,-14.919304998852036
