value,label
66.1,augment
65.97999999999999,augment
60.03,augment
70.97,augment
72.0,augment
72.22,augment
65.24000000000001,augment
75.1,augment
76.64,augment
71.05,augment
69.86999999999999,augment
75.89,augment
75.33,augment
80.03,augment
72.96,augment
77.58000000000001,augment
68.45,augment
82.60000000000001,augment
74.07,augment
69.38,augment
63.82,augment
66.6,augment
73.36,augment
81.11999999999999,augment
66.61,augment
56.269999999999996,augment
66.97,augment
66.63000000000001,augment
70.93,augment
74.74,augment
58.28,augment
69.96,augment
65.34,augment
78.94,augment
84.50999999999999,augment
69.28999999999999,augment
74.46000000000001,augment
60.379999999999995,augment
77.23,augment
79.22,augment
69.97,augment
65.53,augment
70.91,augment
73.75,augment
59.699999999999996,augment
69.49,augment
75.27,augment
72.88000000000001,augment
59.11000000000001,augment
71.67,augment
64.63,augment
66.31,augment
58.59,augment
81.39,augment
73.81,augment
71.25,augment
69.42,augment
93.57,augment
81.91,augment
73.19,augment
63.04,augment
72.88,augment
69.86,augment
77.6,augment
81.24000000000001,augment
77.28,augment
61.05,augment
74.68,augment
75.06,augment
70.03,augment
77.42999999999999,augment
59.52,augment
75.1,augment
76.37,augment
77.33999999999999,augment
71.02,augment
75.0,augment
58.44,augment
69.34,augment
77.77000000000001,augment
73.3,augment
68.9,augment
70.19999999999999,augment
66.13,augment
68.24,augment
71.09,augment
69.66,augment
83.28,augment
58.4,augment
62.519999999999996,augment
75.67,augment
64.39,augment
72.63,augment
84.64,augment
67.94,augment
68.14,augment
77.85000000000001,augment
77.53999999999999,augment
73.66,augment
68.34,augment
63.650000000000006,augment
68.33,augment
70.96,augment
70.9,augment
70.22,augment
14.33,dissection
18.18,dissection
18.400000000000002,dissection
17.12,dissection
15.64,dissection
16.81,dissection
15.38,dissection
18.78,dissection
18.439999999999998,dissection
19.05,dissection
16.96,dissection
17.02,dissection
16.12,dissection
18.23,dissection
17.67,dissection
16.09,dissection
15.209999999999999,dissection
16.69,dissection
19.57,dissection
15.360000000000001,dissection
14.89,dissection
17.48,dissection
16.830000000000002,dissection
15.379999999999999,dissection
14.01,dissection
16.63,dissection
15.95,dissection
18.09,dissection
15.84,dissection
18.840000000000003,dissection
13.41,dissection
16.36,dissection
17.2,dissection
14.190000000000001,dissection
15.319999999999999,dissection
14.790000000000001,dissection
14.49,dissection
19.970000000000002,dissection
17.63,dissection
19.82,dissection
15.969999999999999,dissection
16.05,dissection
16.02,dissection
17.54,dissection
13.54,dissection
17.06,dissection
17.51,dissection
13.73,dissection
18.36,dissection
17.720000000000002,dissection
14.799999999999999,dissection
16.77,dissection
18.5,dissection
16.11,dissection
17.73,dissection
17.990000000000002,dissection
19.15,dissection
16.89,dissection
15.65,dissection
17.490000000000002,dissection
17.89,dissection
16.14,dissection
16.14,dissection
17.13,dissection
17.7,dissection
19.150000000000002,dissection
15.58,dissection
14.28,dissection
18.009999999999998,dissection
16.02,dissection
14.54,dissection
15.77,dissection
17.06,dissection
17.27,dissection
13.799999999999999,dissection
17.46,dissection
16.76,dissection
17.89,dissection
16.75,dissection
18.79,dissection
15.16,dissection
16.419999999999998,dissection
15.16,dissection
15.889999999999999,dissection
18.45,dissection
17.04,dissection
15.08,dissection
16.849999999999998,dissection
15.01,dissection
15.100000000000001,dissection
13.31,dissection
19.45,dissection
17.009999999999998,dissection
19.01,dissection
14.58,dissection
15.18,dissection
17.43,dissection
17.97,dissection
15.290000000000001,dissection
16.57,dissection
17.509999999999998,dissection
15.5,dissection
15.61,dissection
18.42,dissection
15.04,dissection
136.95,Judaea
133.42,Judaea
130.26999999999998,Judaea
129.01999999999998,Judaea
170.12,Judaea
135.78,Judaea
128.26,Judaea
113.03999999999999,Judaea
118.98,Judaea
111.07000000000001,Judaea
123.78999999999999,Judaea
114.03,Judaea
153.77,Judaea
115.69,Judaea
122.26,Judaea
107.27000000000001,Judaea
151.45,Judaea
132.46,Judaea
137.91,Judaea
129.29,Judaea
150.18,Judaea
119.03999999999999,Judaea
102.13000000000001,Judaea
148.1,Judaea
134.98000000000002,Judaea
120.86999999999999,Judaea
114.14,Judaea
104.77,Judaea
139.74,Judaea
151.66,Judaea
134.25,Judaea
132.64,Judaea
147.19,Judaea
125.03,Judaea
146.06,Judaea
148.57,Judaea
99.03,Judaea
100.58,Judaea
131.61,Judaea
127.36,Judaea
146.64,Judaea
181.51,Judaea
136.22,Judaea
104.01,Judaea
91.22,Judaea
96.84,Judaea
149.75,Judaea
107.74,Judaea
128.24,Judaea
111.17,Judaea
155.14999999999998,Judaea
136.88,Judaea
121.24000000000001,Judaea
150.26999999999998,Judaea
145.59,Judaea
125.78,Judaea
132.72,Judaea
172.98,Judaea
125.59,Judaea
99.28,Judaea
153.15,Judaea
113.88,Judaea
