azithromycin\bull-tongue,snowlines,cytopenias,caramelisation,Judaea,rhomboids
5,67.03174951114443,64.70845064604832,68.69745147612966,54.984873955517045,51.423843535542
6,51.00484294052685,63.65907333759144,76.11623806787557,50.952804048791045,55.4562557060258
7,53.28187306405478,57.356003687285025,62.16785709314614,48.72132621767813,49.25551895234544
8,50.93551569921502,70.2292201774837,64.13438947910976,55.4519941175446,44.90085277102145
9,41.33799584800848,63.26579957994681,63.247283019122364,56.46965705742513,60.37164839798336
10,53.5166265023325,64.63331663434835,63.18040849803901,50.891211109216854,41.728218496577924
11,54.29289736739926,61.80091956118431,63.82295961096179,55.48759149260389,47.45179609289714
12,37.91565864419668,66.89467382741671,58.85374873792409,57.487972422792225,46.04387218294394
13,42.92373656230291,69.61621260698891,59.07430394348705,45.112826868424534,50.62610974412949
14,51.95839846370066,62.68600458344891,63.546259644165126,50.77726341436032,55.50873331753128
15,53.61279175911052,69.20277862078972,62.515208715412825,48.403116563039205,54.84529034312371
16,48.755664353891035,66.37202879048397,77.608254927225,56.384347551129835,49.790563321752145
17,51.298179159170346,61.09238448563376,63.71900148775898,55.91869713849613,60.826500035044916
18,56.63971844970375,74.84996035759283,60.32557595991694,60.330970750863244,59.61756226114414
19,33.20982266305044,63.73759209879226,58.37050475003471,54.74808285280234,54.42220103623297
20,47.59342259230348,58.55741983715186,67.35573832415736,53.977291769385346,58.43093867330731
21,61.148859676418645,72.61911035473598,63.18829458015135,55.62057035844024,61.36765907650154
