0,Judaea,effacement,snowlines,mastiffs,fluor-spar,filibusters,limey,augment,perennibranch,spies
rhomboids,-0.3,-1.1,-0.9,-0.7,0.2,-1.5,-0.3,-1.5,-0.3,-0.6
bull-tongue,0.0,-0.5,1.4,-0.3,0.6,-1.3,-1.1,-0.8,-0.8,1.5
Judaea,0.8,1.5,-0.6,0.2,0.6,-0.6,1.0,0.1,-0.7,-0.1
cytopenias,-0.0,-1.2,-0.0,-0.4,-0.3,1.4,-0.9,0.2,-0.0,1.2
limey,-0.9,0.8,-1.6,0.2,0.0,0.1,0.9,0.3,0.7,-0.2
streptothricin,0.6,0.3,0.8,1.3,0.1,-0.3,0.4,0.3,-0.4,0.0
mastiffs,-0.1,0.3,0.1,0.2,-0.4,-1.0,0.5,0.9,-0.5,-0.6
snowlines,-1.7,-1.5,0.1,0.5,-0.1,1.9,-1.7,0.7,0.1,1.6
biblioclast,0.5,-0.6,0.9,0.7,-0.2,-0.8,-0.1,0.7,-0.1,-0.3
caramelisation,-1.3,-1.4,-1.2,0.7,0.1,-0.0,1.4,0.6,1.6,0.4
azithromycin,0.4,-1.7,-0.8,0.1,-0.8,-0.2,-0.9,1.3,-0.2,-0.6
